period,district,31_03_2021,31_03_2022,31_03_2023,31_03_2024,31_03_2025,amount,average_disbursement_amount_in_lakh,average_ticket_size_31_03_2021,average_ticket_size_31_03_2023,average_ticket_size_of_outstanding_31_03_2020,disbursement_no,of_achievement_no,outstanding_as_on_31_03_2020,outstanding_as_on_31_03_2021,outstanding_as_on_31_03_2023,outstanding_no,sanction_no,target_2024_25_no
December 2023,Cooch Behar,,2.0,2.52,,,,,1.7,,,,,,44489.0,,,,
December 2023,Dakshin Dinajpur,,1.39,1.64,,,,,1.28,,,,,,20614.0,,,,
December 2023,Darjeeling,,4.14,2.57,,,,,1.84,,,,,,13160.0,,,,
December 2023,Hooghly,,1.58,1.98,,,,,1.46,,,,,,36841.0,,,,
December 2023,Howrah,,1.87,2.07,,,,,1.73,,,,,,31980.0,,,,
December 2023,Jalpaiguri,,1.85,2.35,,,,,1.56,,,,,,31020.0,,,,
December 2023,Jhargram,,1.57,1.75,,,,,1.3,,,,,,13050.0,,,,
December 2023,Kalimpong,,2.05,2.9,,,,,1.7,,,,,,2435.0,,,,
December 2023,Kolkata,,0.51,1.31,,,,,0.0,,,,,,0.0,,,,
December 2023,Malda,,1.52,1.72,,,,,1.41,,,,,,48014.0,,,,
December 2023,Murshidabad,,1.24,1.53,,,,,1.06,,,,,,71424.0,,,,
December 2023,Nadia,,1.41,1.57,,,,,1.19,,,,,,41543.0,,,,
December 2023,North 24 Parganas,,1.41,1.71,,,,,1.19,,,,,,55053.0,,,,
December 2023,Paschim Medinipur,,1.7,2.06,,,,,1.44,,,,,,53169.0,,,,
December 2023,Purba Medinipur,,2.18,2.82,,,,,1.74,,,,,,67263.0,,,,
December 2023,Purulia,,1.7,1.28,,,,,1.4,,,,,,20326.0,,,,
December 2023,South 24 Parganas,,1.89,1.73,,,,,1.27,,,,,,59701.0,,,,
December 2023,Uttar Dinajpur,,1.76,1.72,,,,,1.4,,,,,,31960.0,,,,
June 2024,Alipurduar,,,,,,29.66,1.44,,,,11798.0,103.86,,,,23012.0,2343.0,11359.0
June 2024,Bankura,,,,,,14.65,1.61,,,,12644.0,36.89,,,,58325.0,4461.0,34275.0
June 2024,Birbhum,,,,,,20.19,2.67,,,,14851.0,30.43,,,,67270.0,7668.0,48800.0
June 2024,Cooch Behar,,,,,,30.94,1.25,,,,33561.0,127.49,,,,54807.0,5716.0,26325.0
June 2024,Dakshin Dinajpur,,,,,,16.66,1.04,,,,9873.0,60.85,,,,26215.0,1955.0,16225.0
June 2024,Darjeeling,,,,,,31.75,2.09,,,,4001.0,66.25,,,,7483.0,1047.0,6039.0
June 2024,Hooghly,,,,,,29.59,1.67,,,,21974.0,70.52,,,,50553.0,6016.0,31160.0
June 2024,Howrah,,,,,,23.58,1.99,,,,13594.0,45.48,,,,37640.0,3889.0,29888.0
June 2024,Jalpaiguri,,,,,,30.74,1.57,,,,18895.0,91.92,,,,37144.0,2914.0,20557.0
June 2024,Jhargram,,,,,,20.96,2.0,,,,5648.0,41.84,,,,18869.0,4139.0,13500.0
June 2024,Kalimpong,,,,,,45.34,2.38,,,,2154.0,75.18,,,,3400.0,569.0,2865.0
June 2024,Kolkata,,,,,,100.0,1.15,,,,338.0,100.0,,,,3222.0,0.0,0.0
June 2024,Malda,,,,,,17.15,1.08,,,,19929.0,62.28,,,,59891.0,5403.0,31998.0
June 2024,Murshidabad,,,,,,16.35,1.26,,,,23329.0,65.73,,,,82658.0,8290.0,35493.0
June 2024,Nadia,,,,,,20.59,1.29,,,,18216.0,56.42,,,,61377.0,4685.0,32284.0
June 2024,North 24 Parganas,,,,,,17.81,1.2,,,,26604.0,55.86,,,,75214.0,6345.0,47629.0
June 2024,Paschim Bardhaman,,,,,,17.61,2.39,,,,2569.0,22.61,,,,11518.0,1339.0,11361.0
June 2024,Paschim Medinipur,,,,,,25.92,2.58,,,,18869.0,38.27,,,,64834.0,7369.0,49304.0
June 2024,Purba Bardhaman,,,,,,26.67,2.79,,,,17998.0,38.71,,,,62468.0,7531.0,46500.0
June 2024,Purba Medinipur,,,,,,22.99,3.01,,,,23163.0,43.47,,,,79480.0,8777.0,53285.0
June 2024,Purulia,,,,,,14.7,1.24,,,,8850.0,38.15,,,,40490.0,3343.0,23200.0
June 2024,South 24 Parganas,,,,,,24.91,1.53,,,,31963.0,66.67,,,,83987.0,7055.0,47942.0
June 2024,Uttar Dinajpur,,,,,,24.96,1.17,,,,14433.0,79.76,,,,40331.0,4006.0,18096.0
June 2025,Alipurduar,,,,2.7,3.08,,,,2.23,,,,,,21514.0,,,
June 2025,Bankura,,,,1.85,2.16,,,,1.7,,,,,,52571.0,,,
June 2025,Birbhum,,,,2.11,2.41,,,,1.9,,,,,,64029.0,,,
June 2025,Cooch Behar,,,,3.1,3.5,,,,2.52,,,,,,52533.0,,,
June 2025,Dakshin Dinajpur,,,,1.91,2.26,,,,1.64,,,,,,24016.0,,,
June 2025,Darjeeling,,,,3.06,3.71,,,,2.57,,,,,,6635.0,,,
June 2025,Hooghly,,,,2.32,2.75,,,,1.98,,,,,,44593.0,,,
June 2025,Howrah,,,,2.29,2.54,,,,2.07,,,,,,34755.0,,,
June 2025,Jalpaiguri,,,,2.69,2.84,,,,2.35,,,,,,46617.0,,,
June 2025,Jhargram,,,,2.14,2.47,,,,1.75,,,,,,17067.0,,,
June 2025,Kalimpong,,,,3.59,4.07,,,,2.9,,,,,,3165.0,,,
June 2025,Kolkata,,,,1.26,1.37,,,,1.31,,,,,,2857.0,,,
June 2025,Malda,,,,1.98,2.35,,,,1.72,,,,,,55104.0,,,
June 2025,Murshidabad,,,,1.77,2.07,,,,1.53,,,,,,79865.0,,,
June 2025,Nadia,,,,1.89,2.31,,,,1.57,,,,,,52553.0,,,
June 2025,North 24 Parganas,,,,1.95,2.37,,,,1.71,,,,,,63994.0,,,
June 2025,Paschim Medinipur,,,,2.58,3.2,,,,2.06,,,,,,60183.0,,,
June 2025,Purba Medinipur,,,,3.35,4.02,,,,2.82,,,,,,75547.0,,,
June 2025,Purulia,,,,1.44,1.71,,,,1.28,,,,,,37203.0,,,
June 2025,South 24 Parganas,,,,2.04,2.38,,,,1.73,,,,,,77264.0,,,
June 2025,Uttar Dinajpur,,,,2.08,2.46,,,,1.72,,,,,,36018.0,,,
