period,district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_fy_22_23,no_of_sponsored_application_in_fy_fy_23_24,no_of_sponsored_application_in_fy_fy_24_25,sep_group_no,sep_individual_no,shg_credit_linkage_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_shg_loan_to_be_disbursed_fy_22_24,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_fy_22_23,target_fy_23_24,target_fy_24_25
March 2020,Paschim Bardhaman,0.04,,,,,,2.0,58.0,355.0,,,,,,,,
March 2020,Paschim Medinipur,0.24,,,,,,12.0,205.0,881.0,,,,,,,,
March 2020,Purba Bardhaman,0.46,,,,,,23.0,156.0,484.0,,,,,,,,
March 2020,Purba Medinipur,0.3,,,,,,15.0,85.0,565.0,,,,,,,,
March 2020,Purulia,0.04,,,,,,2.0,80.0,155.0,,,,,,,,
March 2020,South 24 Parganas,0.44,,,,,,22.0,167.0,730.0,,,,,,,,
March 2020,Uttar Dinajpur,0.58,,,,,,29.0,131.0,473.0,,,,,,,,
March 2023,Alipurduar,2.88,552.0,2.0,154.0,,,,,,169.0,169.0,2.25,,,150.0,,
March 2023,Bankura,2.99,2425.0,3.0,181.0,,,,,,175.0,318.0,4.32,,,289.0,,
March 2023,Birbhum,10.99,3612.0,79.0,998.0,,,,,,644.0,595.0,14.84,,,978.0,,
March 2023,Cooch Behar,3.47,1641.0,30.0,257.0,,,,,,203.0,202.0,4.35,,,446.0,,
March 2023,Dakshin Dinajpur,3.69,1832.0,3.0,194.0,,,,,,216.0,317.0,4.86,,,263.0,,
March 2023,Darjeeling,4.97,2306.0,36.0,334.0,,,,,,291.0,293.0,7.48,,,498.0,,
March 2023,Hooghly,15.62,6041.0,157.0,1109.0,,,,,,915.0,854.0,18.89,,,1272.0,,
March 2023,Howrah,4.05,1449.0,22.0,250.0,,,,,,237.0,235.0,8.64,,,586.0,,
March 2023,Jalpaiguri,1.28,1575.0,7.0,221.0,,,,,,75.0,75.0,3.99,,,266.0,,
March 2023,Jhargram,0.9,486.0,9.0,58.0,,,,,,53.0,53.0,1.2,,,80.0,,
March 2023,Kalimpong,0.51,178.0,0.0,33.0,,,,,,30.0,29.0,1.04,,,70.0,,
March 2023,Kolkata,4.22,968.0,202.0,528.0,,,,,,247.0,244.0,3.0,,,250.0,,
March 2023,Malda,2.0,818.0,43.0,211.0,,,,,,117.0,118.0,2.9,,,193.0,,
March 2023,Murshidabad,10.57,5547.0,42.0,912.0,,,,,,619.0,631.0,16.86,,,1185.0,,
March 2023,Nadia,12.48,5842.0,212.0,931.0,,,,,,731.0,811.0,16.44,,,1094.0,,
March 2023,North 24 Parganas,34.28,15663.0,294.0,2317.0,,,,,,2008.0,2103.0,45.97,,,3169.0,,
March 2023,Paschim Bardhaman,5.67,2720.0,336.0,800.0,,,,,,332.0,345.0,12.53,,,835.0,,
March 2023,Paschim Medinipur,6.83,3988.0,87.0,588.0,,,,,,400.0,430.0,9.76,,,650.0,,
March 2023,Purba Bardhaman,8.77,3487.0,80.0,550.0,,,,,,514.0,515.0,7.11,,,543.0,,
March 2023,Purba Medinipur,6.04,3468.0,210.0,710.0,,,,,,354.0,464.0,6.18,,,420.0,,
March 2023,Purulia,1.57,1154.0,13.0,114.0,,,,,,92.0,93.0,2.63,,,175.0,,
March 2023,South 24 Parganas,7.53,3582.0,64.0,546.0,,,,,,441.0,497.0,10.17,,,741.0,,
March 2023,Uttar Dinajpur,4.22,2125.0,46.0,303.0,,,,,,247.0,246.0,4.38,,,451.0,,
March 2024,Alipurduar,163.79,1319.0,6.0,,109.0,,,,,83.0,91.0,,277.5,,,185.0,
March 2024,Bankura,576.23,2547.0,9.0,,268.0,,,,,292.0,366.0,,468.0,,,312.0,
March 2024,Birbhum,886.06,3931.0,4.0,,769.0,,,,,449.0,442.0,,1330.5,,,887.0,
March 2024,Cooch Behar,503.22,1818.0,54.0,,333.0,,,,,255.0,264.0,,660.0,,,440.0,
March 2024,Dakshin Dinajpur,325.61,1973.0,21.0,,201.0,,,,,165.0,316.0,,592.5,,,395.0,
March 2024,Darjeeling,625.57,2499.0,4.0,,324.0,,,,,317.0,328.0,,720.0,,,480.0,
March 2024,Hooghly,1553.07,6635.0,36.0,,1007.0,,,,,787.0,822.0,,1684.5,,,1123.0,
March 2024,Howrah,398.63,2013.0,61.0,,328.0,,,,,202.0,203.0,,816.0,,,544.0,
March 2024,Jalpaiguri,471.64,1841.0,116.0,,310.0,,,,,239.0,277.0,,445.5,,,297.0,
March 2024,Jhargram,102.62,529.0,20.0,,53.0,,,,,52.0,58.0,,130.5,,,87.0,
March 2024,Kalimpong,25.65,192.0,7.0,,20.0,,,,,13.0,18.0,,120.0,,,80.0,
March 2024,Kolkata,491.38,1801.0,177.0,,499.0,,,,,249.0,269.0,,450.0,,,300.0,
March 2024,Malda,256.54,912.0,32.0,,159.0,,,,,130.0,134.0,,393.0,,,262.0,
March 2024,Murshidabad,1264.95,6030.0,30.0,,719.0,,,,,641.0,639.0,,1531.5,,,1021.0,
March 2024,Nadia,1409.01,6459.0,49.0,,844.0,,,,,714.0,819.0,,1740.0,,,1160.0,
March 2024,North 24 Parganas,3512.65,17095.0,258.0,,2280.0,,,,,1780.0,1873.0,,4800.0,,,3200.0,
March 2024,Paschim Bardhaman,430.2,3184.0,174.0,,680.0,,,,,218.0,241.0,,903.0,,,602.0,
March 2024,Paschim Medinipur,921.58,4338.0,25.0,,571.0,,,,,467.0,486.0,,987.0,,,658.0,
March 2024,Purba Bardhaman,868.3,3751.0,32.0,,386.0,,,,,440.0,429.0,,753.0,,,502.0,
March 2024,Purba Medinipur,670.96,3417.0,39.0,,532.0,,,,,340.0,341.0,,549.0,,,366.0,
March 2024,Purulia,244.7,1250.0,5.0,,132.0,,,,,124.0,128.0,,285.0,,,190.0,
March 2024,South 24 Parganas,700.56,4075.0,50.0,,622.0,,,,,355.0,439.0,,1236.0,,,824.0,
March 2024,Uttar Dinajpur,548.61,2362.0,31.0,,431.0,,,,,278.0,283.0,,735.0,,,490.0,
September 2022,Alipurduar,0.76,552.0,25.0,68.0,,,,,,44.0,54.0,2.25,,,150.0,,
September 2022,Bankura,1.24,2425.0,0.0,95.0,,,,,,72.0,171.0,4.32,,,289.0,,
September 2022,Birbhum,6.18,3612.0,310.0,746.0,,,,,,360.0,316.0,14.84,,,978.0,,
September 2022,Cooch Behar,2.8,1641.0,5.0,172.0,,,,,,163.0,157.0,4.35,,,446.0,,
September 2022,Dakshin Dinajpur,2.03,1832.0,5.0,92.0,,,,,,118.0,181.0,4.86,,,263.0,,
September 2022,Darjeeling,2.78,2306.0,79.0,244.0,,,,,,162.0,164.0,7.48,,,498.0,,
September 2022,Hooghly,7.82,6041.0,341.0,798.0,,,,,,455.0,381.0,18.89,,,1272.0,,
September 2022,Howrah,1.17,1449.0,46.0,138.0,,,,,,68.0,67.0,8.64,,,586.0,,
September 2022,Jalpaiguri,0.69,1575.0,80.0,170.0,,,,,,40.0,41.0,3.99,,,266.0,,
September 2022,Jhargram,0.29,486.0,0.0,13.0,,,,,,17.0,18.0,1.2,,,80.0,,
September 2022,Kalimpong,0.15,178.0,0.0,13.0,,,,,,9.0,10.0,1.04,,,70.0,,
September 2022,Kolkata,1.19,968.0,202.0,269.0,,,,,,69.0,80.0,3.0,,,250.0,,
September 2022,Malda,0.65,818.0,82.0,119.0,,,,,,38.0,39.0,2.9,,,193.0,,
September 2022,Murshidabad,6.25,5547.0,120.0,630.0,,,,,,364.0,358.0,16.86,,,1185.0,,
September 2022,Nadia,6.75,5842.0,133.0,577.0,,,,,,393.0,413.0,16.44,,,1094.0,,
September 2022,North 24 Parganas,18.45,15663.0,434.0,1525.0,,,,,,1074.0,1078.0,45.97,,,3169.0,,
September 2022,Paschim Bardhaman,4.66,2720.0,186.0,434.0,,,,,,271.0,270.0,12.53,,,835.0,,
September 2022,Paschim Medinipur,3.92,3988.0,142.0,362.0,,,,,,228.0,239.0,9.76,,,650.0,,
September 2022,Purba Bardhaman,5.45,3487.0,15.0,301.0,,,,,,317.0,282.0,7.11,,,543.0,,
September 2022,Purba Medinipur,3.4,3468.0,191.0,381.0,,,,,,198.0,251.0,6.18,,,420.0,,
September 2022,Purulia,0.79,1154.0,9.0,70.0,,,,,,46.0,48.0,2.63,,,175.0,,
September 2022,South 24 Parganas,3.88,3582.0,154.0,395.0,,,,,,226.0,247.0,10.17,,,741.0,,
September 2022,Uttar Dinajpur,2.28,2125.0,88.0,195.0,,,,,,133.0,132.0,4.38,,,451.0,,
September 2024,Alipurduar,60.53,1353.0,4.0,,,27.0,,,,29.0,23.0,,,262.5,,,175.0
September 2024,Bankura,202.46,2482.0,3.0,,,112.0,,,,97.0,109.0,,,301.5,,,201.0
September 2024,Birbhum,369.43,4163.0,86.0,,,264.0,,,,177.0,178.0,,,936.0,,,624.0
September 2024,Cooch Behar,146.1,1912.0,6.0,,,117.0,,,,70.0,67.0,,,439.5,,,293.0
September 2024,Dakshin Dinajpur,173.24,2083.0,0.0,,,89.0,,,,83.0,89.0,,,436.5,,,291.0
September 2024,Darjeeling,219.15,2681.0,9.0,,,114.0,,,,105.0,105.0,,,691.5,,,461.0
September 2024,Hooghly,770.17,7067.0,54.0,,,419.0,,,,369.0,365.0,,,1543.5,,,1029.0
September 2024,Howrah,231.68,1746.0,119.0,,,231.0,,,,111.0,112.0,,,598.5,,,399.0
September 2024,Jalpaiguri,256.72,2113.0,0.0,,,201.0,,,,123.0,112.0,,,381.0,,,254.0
September 2024,Jhargram,62.62,541.0,0.0,,,31.0,,,,30.0,31.0,,,91.5,,,61.0
September 2024,Kalimpong,4.17,218.0,0.0,,,7.0,,,,2.0,2.0,,,112.5,,,75.0
September 2024,Kolkata,233.76,1829.0,0.0,,,255.0,,,,112.0,122.0,,,390.0,,,260.0
September 2024,Malda,100.18,1104.0,6.0,,,56.0,,,,48.0,46.0,,,310.5,,,207.0
September 2024,Murshidabad,369.43,6391.0,10.0,,,197.0,,,,177.0,187.0,,,1366.5,,,911.0
September 2024,Nadia,605.28,6842.0,68.0,,,442.0,,,,290.0,374.0,,,1543.5,,,1029.0
September 2024,North 24 Parganas,1454.76,17461.0,123.0,,,883.0,,,,697.0,760.0,,,4305.0,,,2870.0
September 2024,Paschim Bardhaman,400.74,2859.0,73.0,,,259.0,,,,192.0,175.0,,,855.0,,,570.0
September 2024,Paschim Medinipur,544.75,4629.0,0.0,,,240.0,,,,261.0,240.0,,,667.5,,,445.0
September 2024,Purba Bardhaman,425.78,3943.0,0.0,,,197.0,,,,204.0,197.0,,,640.5,,,427.0
September 2024,Purba Medinipur,296.38,3698.0,21.0,,,161.0,,,,142.0,140.0,,,352.5,,,235.0
September 2024,Purulia,73.05,1305.0,17.0,,,52.0,,,,35.0,35.0,,,285.0,,,190.0
September 2024,South 24 Parganas,384.04,4276.0,54.0,,,233.0,,,,184.0,179.0,,,1111.5,,,741.0
September 2024,Uttar Dinajpur,275.51,2560.0,14.0,,,150.0,,,,132.0,136.0,,,600.0,,,400.0
