period,district,camp_conducted_by_rural_branches_during_the_quarter,camp_conducted_by_rural_branches_during_the_quarter_no_of_branches,camp_conducted_by_rural_branches_during_the_quarter_no_of_total_rural_branches,camps_by_rural_branches_no_of_total_rural_branches,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_no_of_flc_camps_conducted,fy_2023_24_no_of_flc_camps_conducted,fy_2024_25_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_camps,no_of_camps_conducted,no_of_flcs,no_of_flcs_in_district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_3,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_4,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_5,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_6,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_8,no_of_participants,no_of_participants_attended,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter_284,no_of_persons_participated_in_literacy_camps_during_the_quarter_312,no_of_persons_participated_in_literacy_camps_during_the_quarter_326,no_of_persons_participated_in_literacy_camps_during_the_quarter_342,no_of_persons_participated_in_literacy_camps_during_the_quarter_347,no_of_persons_participated_in_literacy_camps_during_the_quarter_478,no_of_persons_participated_in_literacy_camps_during_the_quarter_544,no_of_rsetis,no_of_rural_branches_in_district,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,no_of_special_camps_conducted_by_flcs_during_the_quarter,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_by_flcs_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_166,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_184,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_206,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_212,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_241,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_258,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_284,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_306,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_37,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_41,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_52,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_54,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_58,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_64,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_68,sl_no_1,special_camps_by_flcs_no_of_no_of_target_camps_participants_conducted_attended,special_camps_by_flcs_target,special_camps_conducted_by_flcs_during_the_quarter_no_of_camps,target,target_group_addressed,target_specific_camps_by_flcs_target,target_specific_camps_conducted_by_flcs_during_the_quarter_no_of_camps,total_camps_conducted_during_the_quarter
December 2020,Howrah,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,115.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,77.0,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,124.0,,,
December 2020,Jhargram,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,82.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Kalimpong,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,14.0,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Kolkata,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Malda,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,184.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Murshidabad,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,293.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Nadia,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,212.0,,,,11.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,124.0,,,
December 2020,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,255.0,,,,7.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,1234.0,,,
December 2020,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,238.0,,,,,,,,,,,106.0,,,,0.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,1234.0,,,
December 2020,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,249.0,,,,5.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,12456.0,,,
December 2020,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,719.0,,,,,,,,,,,203.0,,,,13.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,12456.0,,,
December 2020,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,177.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Purulia,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,174.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,1234.0,,,
December 2020,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,304.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,799.0,,,,,,,,,,,92.0,,,,1.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,1246.0,,,
December 2021,Alipurduar,78.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0
December 2021,Bankura,15.0,,,,,,,,,,,,,,,,,,,,304.0,,,,,,,,,,,,,,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
December 2021,Birbhum,82.0,,,,,,,,,,,,,,,,,,,,2062.0,,,,,,,,,,,,,,19.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0
December 2021,Cooch Behar,21.0,,,,,,,,,,,,,,,,,,,,486.0,,,,,,,,,,,,,,21.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
December 2021,Darjeeling,58.0,,,,,,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,3.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0
December 2021,Hooghly,209.0,,,,,,,,,,,,,,,,,,,,1001.0,,,,,,,,,,,,,,36.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0
December 2021,Howrah,15.0,,,,,,,,,,,,,,,,,,,,1165.0,,,,,,,,,,,,,,5.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
December 2021,Jalpaiguri,82.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
December 2021,Jhargram,5.0,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
December 2021,Kalimpong,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
December 2021,Kolkata,3.0,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
December 2021,Malda,5.0,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
December 2021,Murshidabad,379.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0
December 2021,Nadia,11.0,,,,,,,,,,,,,,,,,,,,697.0,,,,,,,,,,,,,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
December 2021,North 24 Parganas,115.0,,,,,,,,,,,,,,,,,,,,471.0,,,,,,,,,,,,,,5.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0
December 2021,Paschim Bardhaman,75.0,,,,,,,,,,,,,,,,,,,,248.0,,,,,,,,,,,,,,0.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
December 2021,Paschim Medinipur,147.0,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0
December 2021,Purba Bardhaman,56.0,,,,,,,,,,,,,,,,,,,,440.0,,,,,,,,,,,,,,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
December 2021,Purba Medinipur,303.0,,,,,,,,,,,,,,,,,,,,12988.0,,,,,,,,,,,,,,22.0,,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0
December 2021,Purulia,19.0,,,,,,,,,,,,,,,,,,,,304.0,,,,,,,,,,,,,,8.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
December 2021,South 24 Parganas,41.0,,,,,,,,,,,,,,,,,,,,386.0,,,,,,,,,,,,,,6.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
December 2021,Uttar Dinajpur,24.0,,,,,,,,,,,,,,,,,,,,563.0,,,,,,,,,,,,,,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
December 2022,Alipurduar,,,,51.0,,,,,,,,149.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,153.0,,0.0,,
December 2022,Bankura,,,,168.0,,,,,,,,363.0,1.0,,,,,,,,,1251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,504.0,,15.0,,
December 2022,Birbhum,,,,212.0,,,,,,,,285.0,1.0,,,,,,,,,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,636.0,,15.0,,
December 2022,Cooch Behar,,,,136.0,,,,,,,,128.0,2.0,,,,,,,,,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,408.0,,30.0,,
December 2022,Dakshin Dinajpur,,,,79.0,,,,,,,,352.0,2.0,,,,,,,,,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,237.0,,30.0,,
December 2022,Darjeeling,,,,76.0,,,,,,,,101.0,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,228.0,,30.0,,
December 2022,Hooghly,,,,237.0,,,,,,,,327.0,1.0,,,,,,,,,1404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,711.0,,15.0,,
December 2022,Howrah,,,,115.0,,,,,,,,242.0,2.0,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,345.0,,30.0,,
December 2022,Jalpaiguri,,,,79.0,,,,,,,,250.0,1.0,,,,,,,,,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,237.0,,15.0,,
December 2022,Jhargram,,,,83.0,,,,,,,,121.0,1.0,,,,,,,,,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,249.0,,15.0,,
December 2022,Kalimpong,,,,14.0,,,,,,,,18.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,42.0,,15.0,,
December 2022,Kolkata,,,,7.0,,,,,,,,21.0,1.0,,,,,,,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,21.0,,15.0,,
December 2022,Malda,,,,189.0,,,,,,,,450.0,2.0,,,,,,,,,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,567.0,,30.0,,
December 2022,Murshidabad,,,,339.0,,,,,,,,324.0,2.0,,,,,,,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1017.0,,30.0,,
December 2022,Nadia,,,,230.0,,,,,,,,339.0,1.0,,,,,,,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,690.0,,15.0,,
December 2022,North 24 Parganas,,,,313.0,,,,,,,,958.0,1.0,,,,,,,,,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,939.0,,15.0,,
December 2022,Paschim Bardhaman,,,,91.0,,,,,,,,152.0,1.0,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,273.0,,15.0,,
December 2022,Paschim Medinipur,,,,248.0,,,,,,,,393.0,1.0,,,,,,,,,566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,744.0,,15.0,,
December 2022,Purba Bardhaman,,,,203.0,,,,,,,,460.0,1.0,,,,,,,,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,609.0,,15.0,,
December 2022,Purba Medinipur,,,,177.0,,,,,,,,491.0,2.0,,,,,,,,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,531.0,,30.0,,
December 2022,Purulia,,,,158.0,,,,,,,,199.0,1.0,,,,,,,,,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,474.0,,15.0,,
December 2022,South 24 Parganas,,,,304.0,,,,,,,,548.0,1.0,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,912.0,,15.0,,
December 2022,Uttar Dinajpur,,,,78.0,,,,,,,,184.0,1.0,,,,,,,,,1319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,234.0,,15.0,,
December 2023,Alipurduar,,,,,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Bankura,,,,,118.0,48.0,189.0,,,5282.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Birbhum,,,,,208.0,304.0,310.0,,,9919.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2023,Cooch Behar,,,,,62.0,122.0,135.0,,,4190.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
