period,district,aadhaar_seeded,apy_sourced,apy_subscribed,female_a_c,male_a_c,no_of_nominations_done_in_pmjdy_acc,no_of_nominations_done_other_than_pmjdy_acc,no_of_pmjjby_claim_disbursed,no_of_pmsby_claim_disbursed,no_of_re_kyc_done_for_other_than_pmjdy_acc,no_of_re_kyc_done_for_pmjdy_acc,of_enrolment,pmjdy_opened,pmjdy_sourced,pmjjby_enrolled,pmjjby_sourced,pmsby_enrolled,pmsby_sourced,rupaycard_issued,rural_a_c,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,zero_balance_a_c_s,zero_balance_account
December 2025,Hooghly,,,,,,,,,,,,,,,,,,,,,,,3432245.0,411348.0,878825.0,2142072.0,2651333.0,,,
December 2025,Howrah,,,,,,,,,,,,,,,,,,,,,,,2639584.0,295328.0,657531.0,1686725.0,2245170.0,,,
December 2025,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,2022888.0,238324.0,563651.0,1220913.0,1486671.0,,,
December 2025,Jhargram,,,,,,,,,,,,,,,,,,,,,,,625574.0,54672.0,163440.0,407462.0,510395.0,,,
December 2025,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,99620.0,7767.0,30837.0,61016.0,59976.0,,,
December 2025,Kolkata,,,,,,,,,,,,,,,,,,,,,,,3198015.0,262872.0,687831.0,2247312.0,1031847.0,,,
December 2025,Malda,,,,,,,,,,,,,,,,,,,,,,,2947459.0,374441.0,777653.0,1795365.0,3735829.0,,,
December 2025,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,5140294.0,626270.0,1312319.0,3201705.0,5167024.0,,,
December 2025,Nadia,,,,,,,,,,,,,,,,,,,,,,,3396564.0,393026.0,843171.0,2160367.0,3412499.0,,,
December 2025,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,5472994.0,590364.0,1348460.0,3534170.0,4917089.0,,,
December 2025,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,2031499.0,90333.0,542473.0,1398693.0,1574624.0,,,
December 2025,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,2975312.0,367778.0,719452.0,1888082.0,2844136.0,,,
December 2025,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,2703933.0,394129.0,759106.0,1550698.0,2460978.0,,,
December 2025,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,3190048.0,472718.0,757939.0,1959391.0,2778200.0,,,
December 2025,Purulia,,,,,,,,,,,,,,,,,,,,,,,1761890.0,191570.0,451492.0,1118828.0,2232494.0,,,
December 2025,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,4789395.0,515224.0,1119188.0,3154983.0,5622117.0,,,
December 2025,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,1918977.0,220042.0,505184.0,1193751.0,2969015.0,,,
June 2022,Alipurduar,204676.0,,,133157.0,102080.0,,,,,,,,,,,,,,186497.0,161425.0,235237.0,73.65,,,,,,73812.0,25169.0,
June 2022,Bankura,1715711.0,,,1158047.0,922518.0,,,,,,,,,,,,,,1168679.0,1821202.0,2080565.0,963.13,,,,,,259363.0,112609.0,
June 2022,Birbhum,1748265.0,,,1230478.0,908052.0,,,,,,,,,,,,,,1300085.0,1716214.0,2138530.0,723.46,,,,,,422316.0,139562.0,
June 2022,Cooch Behar,1221950.0,,,819415.0,639254.0,,,,,,,,,,,,,,1144521.0,1027902.0,1458669.0,329.7,,,,,,430767.0,86371.0,
June 2022,Dakshin Dinajpur,893916.0,,,626220.0,468959.0,,,,,,,,,,,,,,618024.0,908194.0,1095179.0,294.89,,,,,,186985.0,70456.0,
June 2022,Hooghly,1877209.0,,,1291572.0,893107.0,,,,,,,,,,,,,,1354586.0,1483976.0,2184679.0,933.23,,,,,,700703.0,99838.0,
June 2022,Howrah,1579832.0,,,1100375.0,765073.0,,,,,,,,,,,,,,1230846.0,1231796.0,1865448.0,751.28,,,,,,633652.0,86971.0,
June 2022,Jalpaiguri,1417439.0,,,968002.0,715288.0,,,,,,,,,,,,,,1286594.0,1098724.0,1683290.0,581.12,,,,,,584566.0,100023.0,
June 2022,Kolkata,623930.0,,,436871.0,352731.0,,,,,,,,,,,,,,576910.0,6292.0,789602.0,303.96,,,,,,783310.0,73863.0,
June 2022,Malda,2526173.0,,,1717856.0,1249790.0,,,,,,,,,,,,,,1504143.0,2540918.0,2967646.0,924.56,,,,,,426728.0,262877.0,
June 2022,Murshidabad,3352211.0,,,2298971.0,1717760.0,,,,,,,,,,,,,,2664517.0,2898964.0,4016731.0,1195.38,,,,,,1117767.0,249035.0,
June 2022,Nadia,2271523.0,,,1625288.0,1195667.0,,,,,,,,,,,,,,1798686.0,1898960.0,2820955.0,984.38,,,,,,921995.0,189145.0,
June 2022,North 24 Parganas,3322021.0,,,2320253.0,1655684.0,,,,,,,,,,,,,,2642413.0,2313917.0,3975937.0,1598.78,,,,,,1662020.0,200569.0,
June 2022,Paschim Medinipur,2336142.0,,,1611155.0,1189436.0,,,,,,,,,,,,,,1590858.0,2375645.0,2800591.0,1233.2,,,,,,424946.0,129107.0,
June 2022,Purba Bardhaman,2750107.0,,,2097441.0,1274479.0,,,,,,,,,,,,,,2138654.0,2331973.0,3371920.0,1075.82,,,,,,1039947.0,167095.0,
June 2022,Purba Medinipur,2067321.0,,,1385805.0,1086898.0,,,,,,,,,,,,,,1456554.0,2269153.0,2472703.0,1129.32,,,,,,203550.0,103454.0,
June 2022,Purulia,1534225.0,,,1009711.0,828183.0,,,,,,,,,,,,,,1066609.0,1541732.0,1837894.0,825.73,,,,,,296162.0,137563.0,
June 2022,South 24 Parganas,3837208.0,,,2646955.0,1954336.0,,,,,,,,,,,,,,2796700.0,3831309.0,4601291.0,1659.1,,,,,,769982.0,314063.0,
June 2022,Uttar Dinajpur,1936702.0,,,1373343.0,1067433.0,,,,,,,,,,,,,,1224256.0,1921871.0,2440776.0,514.95,,,,,,518905.0,224015.0,
June 2024,Alipurduar,,,,342164.0,258095.0,,,,,,,,,,,,,,,394122.0,600259.0,279.61,,,,,,206137.0,,35895.0
June 2024,Bankura,,,,1271633.0,1019942.0,,,,,,,,,,,,,,,1978506.0,2291575.0,1267.43,,,,,,313069.0,,126296.0
June 2024,Birbhum,,,,1373797.0,1026633.0,,,,,,,,,,,,,,,1933656.0,2400430.0,1050.32,,,,,,466774.0,,146807.0
June 2024,Cooch Behar,,,,934274.0,736884.0,,,,,,,,,,,,,,,1201626.0,1671158.0,516.01,,,,,,469532.0,,97229.0
June 2024,Dakshin Dinajpur,,,,697569.0,529879.0,,,,,,,,,,,,,,,999007.0,1227448.0,426.09,,,,,,228441.0,,77264.0
June 2024,Darjeeling,,,,383045.0,268290.0,,,,,,,,,,,,,,,305370.0,651335.0,386.56,,,,,,345965.0,,40269.0
June 2024,Hooghly,,,,1458675.0,1000983.0,,,,,,,,,,,,,,,1683922.0,2459658.0,1285.61,,,,,,775736.0,,115198.0
June 2024,Howrah,,,,1236454.0,868288.0,,,,,,,,,,,,,,,1385604.0,2104742.0,1026.35,,,,,,719138.0,,93157.0
June 2024,Jalpaiguri,,,,903349.0,669239.0,,,,,,,,,,,,,,,1047817.0,1572588.0,652.35,,,,,,524771.0,,101690.0
June 2024,Jhargram,,,,266304.0,214671.0,,,,,,,,,,,,,,,448559.0,480975.0,278.19,,,,,,32416.0,,23029.0
June 2024,Kalimpong,,,,17726.0,14384.0,,,,,,,,,,,,,,,19318.0,32110.0,22.97,,,,,,12792.0,,1325.0
June 2024,Kolkata,,,,542149.0,433862.0,,,,,,,,,,,,,,,7398.0,976011.0,412.37,,,,,,968613.0,,93669.0
June 2024,Malda,,,,1952939.0,1471411.0,,,,,,,,,,,,,,,2941860.0,3424350.0,1264.19,,,,,,482490.0,,292192.0
June 2024,Murshidabad,,,,2634671.0,2053284.0,,,,,,,,,,,,,,,3468586.0,4687955.0,1649.25,,,,,,1219369.0,,315537.0
June 2024,Nadia,,,,1815626.0,1357036.0,,,,,,,,,,,,,,,2142447.0,3172662.0,1330.46,,,,,,1030215.0,,213162.0
June 2024,North 24 Parganas,,,,2661523.0,1931666.0,,,,,,,,,,,,,,,2694381.0,4593189.0,2175.21,,,,,,1898808.0,,241152.0
June 2024,Paschim Bardhaman,,,,1017071.0,528778.0,,,,,,,,,,,,,,,892296.0,1545849.0,563.13,,,,,,653553.0,,94682.0
