period,district,10_km_to_20_km_2000,2000_5000,5000,59_min_loan_sanctioned_in_camp_in_principal_approval,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,amount,amount_disbursed,amount_sanctioned,cgtsme_cover_no,ddiissbb_aammtt,disb_amt,kishore_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_in_handloom_cluster_interest_subvention_scheme_gowb_no,mm_claimed_no,mm_disbursed_no,mudra_pmmy_sanctioned_no,no_of_farmers_members_of_fpo,no_of_fpc,no_of_general_camps_conducted_during_the_quarter,no_of_loans_sanctioned,no_of_participants,no_of_rural_branches_in_district,no_of_target_specific_camps_conducted_during_the_quarter,pmjdy,pmjjby,pmsby,proposals_sponsored_generate_in_msme_cluster_no,restructure_of_msme_no,returned_no,sanc_amt,sanctioned_no,shishu_no,sponsored_in_fy_2022_23_no,target_for_2022_23_no,target_no,tarun_no,total,total_gp,total_no,total_no_of_camps,total_no_of_participants,total_of_gp_hqs_above_5_km_2000
June 2021,Nadia,,,,,,,,,,,,,,,,,,,,1346.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,5002.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,3573.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,,,1100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purulia,,,,,,,,,,,,,,,,,,,,5060.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,4836.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2019,Alipurduar,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,17.0,,,,
March 2019,Bankura,4.0,17.0,2.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,46.0,,,,10.0
March 2019,Birbhum,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,22.0,,,,7.0
March 2019,Cooch Behar,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,34.0,,,,
March 2019,Dakshin Dinajpur,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,
March 2019,Darjeeling,,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,37.0,,,,
March 2019,Hooghly,,7.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,26.0,,,,1.0
March 2019,Howrah,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.0,,,,
March 2019,Jalpaiguri,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,,,,1.0
March 2019,Kalimpong,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
March 2019,Malda,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,23.0,,,,
March 2019,Murshidabad,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,27.0,,,,
March 2019,Nadia,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,37.0,,,,
March 2019,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
March 2019,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,
March 2019,Purba Bardhaman,,3.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,29.0,,,,3.0
March 2019,Purba Medinipur,,3.0,3.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,57.0,,,,5.0
March 2019,Purulia,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,79.0,,,,
March 2019,Uttar Dinajpur,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,32.0,,,,
March 2020,Alipurduar,,,,,,,,0.18,,,,,,,0.0,44.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Bankura,,,,,,,,0.0,,,,,,,68.0,0.0,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,
March 2020,Birbhum,,,,,,,,0.36,,,,,,,52.0,71.0,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,
March 2020,Cooch Behar,,,,,,,,0.45,,,,,,,6.0,89.0,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,
March 2020,Dakshin Dinajpur,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Darjeeling,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
March 2020,Hooghly,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,
March 2020,Howrah,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Jalpaiguri,,,,,,,,0.0,,,,,,,44.0,0.0,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,
March 2020,Jhargram,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Kalimpong,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Kolkata,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Malda,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Murshidabad,,,,,,,,0.42,,,,,,,0.0,74.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Nadia,,,,,,,,2.59,,,,,,,0.0,484.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,North 24 Parganas,,,,,,,,0.0,,,,,,,52.0,0.0,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,
March 2020,Paschim Bardhaman,,,,,,,,0.0,,,,,,,32.0,0.0,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,
March 2020,Paschim Medinipur,,,,,,,,0.0,,,,,,,433.0,0.0,,,,,,,,,,,,,,603.0,,,,,,,,,,,,,,,
March 2020,Purba Bardhaman,,,,,,,,0.73,,,,,,,1.0,130.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
March 2020,Purba Medinipur,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
March 2020,Purulia,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,
March 2020,South 24 Parganas,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
March 2020,Uttar Dinajpur,,,,,,,,0.0,,,,,,,288.0,0.0,,,,,,,,,,,,,,302.0,,,,,,,,,,,,,,,
March 2021,Bankura,,,,,,,,,,,,,,,,,,,,4024.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Birbhum,,,,,,,,,,,,,,,,,,,,2694.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Cooch Behar,,,,,,,,,,,,,,,,,,,,3000.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,2000.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Hooghly,,,,,,,,,,,,,,,,,,,,2559.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Jalpaiguri,,,,,,,,,,,,,,,,,,,,7500.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Malda,,,,,,,,,,,,,,,,,,,,617.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Nadia,,,,,,,,,,,,,,,,,,,,1346.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,5002.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,3573.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,,,1100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Purulia,,,,,,,,,,,,,,,,,,,,5060.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2021,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,4836.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
March 2023,Alipurduar,,,,,,,,441.9,,,,,,,,,86.0,82.0,,,,,,,,,,,,,,147.0,,113.0,,286.0,145.0,,,,,,,,
March 2023,Bankura,,,,,,,,352.73,,,,,,,,,39.0,37.0,,,,,,,,,,,,,,100.0,,65.0,,203.0,138.0,,,,,,,,
March 2023,Birbhum,,,,,,,,701.85,,,,,,,,,85.0,76.0,,,,,,,,,,,,,,259.0,,154.0,,502.0,168.0,,,,,,,,
March 2023,Cooch Behar,,,,,,,,1564.94,,,,,,,,,120.0,113.0,,,,,,,,,,,,,,519.0,,163.0,,756.0,167.0,,,,,,,,
March 2023,Dakshin Dinajpur,,,,,,,,260.39,,,,,,,,,26.0,33.0,,,,,,,,,,,,,,62.0,,50.0,,137.0,137.0,,,,,,,,
March 2023,Darjeeling,,,,,,,,643.36,,,,,,,,,59.0,50.0,,,,,,,,,,,,,,165.0,,88.0,,293.0,120.0,,,,,,,,
March 2023,Hooghly,,,,,,,,875.72,,,,,,,,,74.0,69.0,,,,,,,,,,,,,,259.0,,92.0,,403.0,133.0,,,,,,,,
March 2023,Howrah,,,,,,,,923.48,,,,,,,,,124.0,114.0,,,,,,,,,,,,,,332.0,,178.0,,597.0,120.0,,,,,,,,
March 2023,Jalpaiguri,,,,,,,,545.16,,,,,,,,,71.0,67.0,,,,,,,,,,,,,,173.0,,90.0,,300.0,125.0,,,,,,,,
March 2023,Kalimpong,,,,,,,,156.92,,,,,,,,,19.0,22.0,,,,,,,,,,,,,,53.0,,22.0,,100.0,100.0,,,,,,,,
March 2023,Kolkata,,,,,,,,184.35,,,,,,,,,7.0,15.0,,,,,,,,,,,,,,94.0,,15.0,,142.0,105.0,,,,,,,,
March 2023,Malda,,,,,,,,953.34,,,,,,,,,67.0,58.0,,,,,,,,,,,,,,252.0,,107.0,,477.0,112.0,,,,,,,,
March 2023,Murshidabad,,,,,,,,1738.93,,,,,,,,,244.0,231.0,,,,,,,,,,,,,,446.0,,342.0,,923.0,289.0,,,,,,,,
March 2023,Nadia,,,,,,,,652.58,,,,,,,,,57.0,58.0,,,,,,,,,,,,,,148.0,,124.0,,360.0,134.0,,,,,,,,
March 2023,Paschim Bardhaman,,,,,,,,29.23,,,,,,,,,13.0,8.0,,,,,,,,,,,,,,9.0,,13.0,,30.0,121.0,,,,,,,,
March 2023,Paschim Medinipur,,,,,,,,647.55,,,,,,,,,57.0,52.0,,,,,,,,,,,,,,192.0,,89.0,,363.0,205.0,,,,,,,,
March 2023,Purba Medinipur,,,,,,,,1633.82,,,,,,,,,467.0,460.0,,,,,,,,,,,,,,418.0,,591.0,,1767.0,530.0,,,,,,,,
March 2023,Purulia,,,,,,,,371.63,,,,,,,,,38.0,30.0,,,,,,,,,,,,,,113.0,,90.0,,269.0,113.0,,,,,,,,
March 2023,Uttar Dinajpur,,,,,,,,294.83,,,,,,,,,27.0,28.0,,,,,,,,,,,,,,105.0,,50.0,,170.0,132.0,,,,,,,,
September 2018,Alipurduar,,,,,,,,,,,,,,,,,,,,,,20.0,,449.0,73.0,22.0,,,,,,,,,,,,,,,,,42.0,1031.0,
September 2018,Bankura,,,,,,,,,,,,,,,,,,,,,,11.0,,798.0,231.0,8.0,,,,,,,,,,,,,,,,,19.0,1791.0,
September 2018,Birbhum,,,,,,,,,,,,,,,,,,,,,,10.0,,3946.0,210.0,118.0,,,,,,,,,,,,,,,,,128.0,4520.0,
September 2018,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,74.0,,779.0,142.0,70.0,,,,,,,,,,,,,,,,,144.0,1761.0,
September 2018,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,10.0,,422.0,79.0,8.0,,,,,,,,,,,,,,,,,18.0,933.0,
September 2018,Darjeeling,,,,,,,,,,,,,,,,,,,,,,28.0,,669.0,76.0,24.0,,,,,,,,,,,,,,,,,52.0,1338.0,
September 2018,Hooghly,,,,,,,,,,,,,,,,,,,,,,40.0,,2627.0,16.0,40.0,,,,,,,,,,,,,,,,,80.0,5254.0,
September 2018,Howrah,,,,,,,,,,,,,,,,,,,,,,45.0,,1392.0,177.0,107.0,,,,,,,,,,,,,,,,,152.0,2080.0,
September 2018,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,8.0,,450.0,77.0,9.0,,,,,,,,,,,,,,,,,17.0,872.0,
September 2018,Jhargram,,,,,,,,,,,,,,,,,,,,,,2.0,,75.0,20.0,2.0,,,,,,,,,,,,,,,,,4.0,150.0,
September 2018,Kalimpong,,,,,,,,,,,,,,,,,,,,,,6.0,,53.0,1.0,2.0,,,,,,,,,,,,,,,,,8.0,557.0,
September 2018,Malda,,,,,,,,,,,,,,,,,,,,,,78.0,,1127.0,184.0,40.0,,,,,,,,,,,,,,,,,118.0,3077.0,
September 2018,Murshidabad,,,,,,,,,,,,,,,,,,,,,,6.0,,1134.0,262.0,15.0,,,,,,,,,,,,,,,,,21.0,1656.0,
September 2018,Nadia,,,,,,,,,,,,,,,,,,,,,,64.0,,621.0,201.0,41.0,,,,,,,,,,,,,,,,,105.0,1623.0,
September 2018,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,141.0,,1892.0,374.0,74.0,,,,,,,,,,,,,,,,,215.0,5417.0,
September 2018,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,85.0,,1127.0,326.0,52.0,,,,,,,,,,,,,,,,,137.0,3148.0,
September 2018,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,104.0,,3297.0,267.0,104.0,,,,,,,,,,,,,,,,,208.0,4923.0,
September 2018,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,8.0,,1207.0,299.0,8.0,,,,,,,,,,,,,,,,,16.0,2414.0,
September 2018,Purulia,,,,,,,,,,,,,,,,,,,,,,12.0,,609.0,129.0,11.0,,,,,,,,,,,,,,,,,23.0,1330.0,
September 2018,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,45.0,,1611.0,94.0,36.0,,,,,,,,,,,,,,,,,81.0,3186.0,
September 2019,Alipurduar,,,,,,,,,,,,129.67,155.0,1198.0,,,,,,,,,,,,,,,,,,,155.2,,48302.0,,,,103.0,,,49603.0,,,
September 2019,Bankura,,,,,,,,,,,,68.17,128.13,2096.0,,,,,,,,,,,,,,,,,,,135.76,,28412.0,,,,357.0,,,30865.0,,,
September 2019,Birbhum,,,,,,,,,,,,121.93,312.55,7164.0,,,,,,,,,,,,,,,,,,,321.63,,46242.0,,,,4468.0,,,57874.0,,,
September 2019,Cooch Behar,,,,,,,,,,,,145.06,196.45,1949.0,,,,,,,,,,,,,,,,,,,200.72,,55592.0,,,,229.0,,,57770.0,,,
September 2019,Dakshin Dinajpur,,,,,,,,,,,,89.33,121.92,1194.0,,,,,,,,,,,,,,,,,,,124.26,,35060.0,,,,159.0,,,36413.0,,,
September 2019,Howrah,,,,,,,,,,,,207.6,393.26,6521.0,,,,,,,,,,,,,,,,,,,405.49,,73783.0,,,,804.0,,,81108.0,,,
September 2019,Jalpaiguri,,,,,,,,,,,,216.35,300.37,3376.0,,,,,,,,,,,,,,,,,,,311.34,,85393.0,,,,421.0,,,89190.0,,,
September 2019,Kolkata,,,,,,,,,,,,283.9,639.65,9096.0,,,,,,,,,,,,,,,,,,,664.03,,107827.0,,,,2688.0,,,119611.0,,,
September 2019,Malda,,,,,,,,,,,,191.89,309.09,3787.0,,,,,,,,,,,,,,,,,,,315.17,,73032.0,,,,12754.0,,,89573.0,,,
September 2019,Murshidabad,,,,,,,,,,,,386.8,536.78,6208.0,,,,,,,,,,,,,,,,,,,548.55,,160480.0,,,,11641.0,,,178329.0,,,
September 2019,Nadia,,,,,,,,,,,,292.43,448.91,5069.0,,,,,,,,,,,,,,,,,,,463.16,,114496.0,,,,13486.0,,,133051.0,,,
September 2019,North 24 Parganas,,,,,,,,,,,,392.88,648.6,9474.0,,,,,,,,,,,,,,,,,,,676.84,,144653.0,,,,13712.0,,,167839.0,,,
September 2019,Paschim Medinipur,,,,,,,,,,,,189.16,337.99,5268.0,,,,,,,,,,,,,,,,,,,355.92,,74025.0,,,,891.0,,,80184.0,,,
September 2019,Purba Bardhaman,,,,,,,,,,,,323.01,667.47,10554.0,,,,,,,,,,,,,,,,,,,684.82,,122420.0,,,,4512.0,,,137486.0,,,
September 2019,Purba Medinipur,,,,,,,,,,,,162.72,291.13,5029.0,,,,,,,,,,,,,,,,,,,304.5,,58480.0,,,,682.0,,,64191.0,,,
September 2019,South 24 Parganas,,,,,,,,,,,,282.86,461.03,7280.0,,,,,,,,,,,,,,,,,,,473.97,,,,,,10588.0,,,124905.0,,,
September 2019,Uttar Dinajpur,,,,,,,,,,,,95.66,153.95,1556.0,,,,,,,,,,,,,,,,,,,158.77,,39837.0,,,,4643.0,,,46036.0,,,
