district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Kamrup,167,6625,8206.95,487,378.59,558,481.19,287,279.61,23,13.9,1585,2057.64,907,1117.85,7720,7537.02,2039,1407.61,50,531.31,4,52.24
Kamrup Metro,417,2249,2445.73,139,123.6,171,114.42,833,1548.63,77,67.34,1101,1978.8,440,570.72,2898,3090.97,485,322.03,411,5544.74,39,530.09
Karbi Anglong,63,916,1325.59,580,667.66,11,8.81,5,8.01,1,1.91,376,411.23,169,110.44,3409,2863.73,894,298.55,23,428.27,2,8.64
Kokrajhar,51,1995,1944.64,263,100.5,84,51.25,152,231.4,19,24.23,1863,2320.38,1504,1824.23,2900,2834.02,733,653.7,16,308.61,0,0
Lakhimpur,89,5009,5722.27,590,590.5,351,213.3,122,142.18,10,5.14,1234,2282.42,544,939.52,6700,6850.65,971,691.83,48,681.26,11,123.58
Majuli,13,855,1141.02,84,71.07,35,22,1,0.09,0,0,151,150.6,64,68.84,1165,1300.16,270,131.99,4,32.63,0,0
Morigaon,69,2662,2602.18,242,261.62,464,268.14,494,413.03,141,34.07,825,1205.76,469,638.84,4931,3889.39,2189,1135.92,31,200.09,2,13.52
Nagaon,150,6036,7394.67,642,517.5,338,148.72,121,119.39,22,8.2,1731,2852.15,853,1243.18,8410,9373.8,1301,790.94,82,964.77,8,52.38
Nalbari,84,5473,7686.03,166,207.68,187,124.01,280,394.34,25,17.89,1147,2011.18,762,1260.28,6139,7683.28,1084,585.54,29,447.11,0,0
Sivasagar,95,2807,3306.64,222,162.94,140,62.92,142,192.95,9,7.49,907,1827.15,342,596.1,3979,4308.49,492,344.95,55,825.72,6,96.48
Sonitpur,122,4640,5270.25,412,298.97,403,195.97,141,573.3,8,7.37,1283,2316.35,571,858.76,6156,5551.65,2086,1063.32,141,1865.31,4,29.02
South Salmara,10,488,330.72,39,41.59,147,29,0,0,0,0,389,438.87,338,370.35,579,447.87,247,82.86,0,0,0,0
Tinsukia,149,4566,5424.56,482,535.73,259,159.21,625,596.73,114,78.42,1376,2197.33,629,809.19,5713,6028.85,696,371.37,95,1491.33,0,0
Udalguri,45,2170,2594.11,268,157.15,126,101.19,27,19.13,23,5.26,1689,2643.24,1622,2393.76,3242,3269.69,1016,742.88,10,150.01,9,97.34
West Karbi Anglong,22,392,524.8,247,234.78,11,16.78,62,103.87,9,12.78,16,13.97,13,10.71,2179,1248.55,1104,326.34,2,19.38,0,0
