district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Hailakandi,44,1676,1109.75,0,0,0,0,223,221.34,37,191.89,153,253.96,64,91.87,2458,1886.81,69,917.36,570,479.26,5250,5152.24
Hojai,61,2294,1762.52,0,0,0,0,272,223.43,105,308.91,230,267.45,66,83.73,3649,2857.29,177,152.93,1535,1125.97,8328,6782.23
Jorhat,135,5525,3798.46,105,58.43,2,95.6,221,194.29,29,205.78,570,591,153,339.76,8270,6594.03,58,68.32,1265,8529.59,16198,20475.26
KARIMGANJ,87,1882,1879.48,56,36.45,0,0,224,413.57,171,495.89,238,401.38,58,121.6,5591,4229.64,200,259.03,1274,880.51,9694,8717.55
Kamrup,167,9492,7994.08,273,226.92,0,0,1629,799.19,312,629.67,1111,1541.38,155,245.65,10345,7683.94,303,344.03,2594,1989.46,26214,21454.32
Kamrup Metro,417,2410,5108.91,211,224.87,2,15.82,317,492.93,223,814.9,1004,1417.9,611,460.98,3746,8195.43,211,630.28,1969,23563.98,10704,40926
Karbi Anglong,63,7855,4419.03,0,0,0,0,97,48.75,5,25,1269,967.05,2,0,3128,4398.04,9,14.25,1362,650.91,13727,10523.03
Kokrajhar,51,3486,4054.06,0,0,0,0,38,26.29,20,43.55,350,337.19,28,32.43,1746,2479.48,75,47.03,194,123.27,5937,7143.3
Lakhimpur,89,9606,6431.91,0,0,0,0,763,428.81,151,473.9,837,854.79,213,379.99,5854,6008.78,182,189.81,2738,2175.06,20344,16943.05
Majuli,13,670,977.94,0,0,0,0,43,34.18,20,85.35,201,544.15,50,65.75,194,237.63,22,28.15,183,136.12,1383,2109.27
Morigaon,69,3950,2243.95,4,3.24,0,0,239,297.22,131,252.46,688,572.94,25,39.13,4606,3426.4,159,142.88,857,726.5,10659,7704.72
Nagaon,150,7671,7548.19,2,1.27,0,0,1422,854.21,283,1747.99,941,1189.67,130,276.71,13523,10605.5,339,485.48,4497,4774.1,28808,27483.12
Nalbari,84,3262,3232.89,28,21.06,0,0,1677,542.3,108,272.83,433,854.66,37,85.5,3941,4765.22,85,127.61,793,1042.37,10364,10944.44
Sivasagar,95,3442,3276.67,11,8.08,0,0,858,335.71,104,313.89,517,729.93,68,380.34,8453,6175.13,120,120.62,1228,1376.84,14801,12717.21
Sonitpur,122,4930,4695.64,58,38.66,0,0,820,368.44,115,416.74,477,642.38,64,139.99,7077,6952.17,135,181.76,1868,2197.56,15544,15633.34
South Salmara,10,147,354.51,0,0,0,0,0,0,0,0,11,36,2,10,144,478.5,0,0,0,0,304,879.01
Tinsukia,149,9012,8758.89,56,33.44,0,0,1251,504.85,86,297.94,505,946.23,110,338.08,7278,6577.83,107,127.85,1416,6458.96,19821,24044.07
Udalguri,45,5099,3072.84,0,0,0,0,13,15.54,3,72.98,436,271.15,30,48.58,1525,1824.71,6,11.35,505,250.15,7617,5567.3
West Karbi Anglong,22,1044,570.1,0,0,0,0,0,0,0,0,145,123.65,0,0,663,1093.65,0,0,101,36.9,1953,1824.3
