District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Amt. %
Karbi Anglong,66,"3,454",792.88,664,109.91,"4,505","6,124.10",313,391.35,476,"2,635.88",33,174.02,"8,435","9,552.86","1,010",675.28,7.07
Karimganj,92,"17,330","3,824.36","2,330",595.91,"15,615","15,105.98","1,020","1,378.36","1,285","6,328.15",121,730.88,"34,230","25,258.49","3,471","2,705.15",10.71
Kokrajhar,57,"10,011","2,362.74",973,189.14,"5,387","6,821.88",957,"1,185.34",582,"3,042.25",23,114.18,"15,980","12,226.87","1,953","1,488.66",12.18
Lakhimpur,92,"15,031","2,972.09","3,902",971.14,"13,778","15,589.34","2,069","2,321.07","1,541","7,281.79",178,804.94,"30,350","25,843.22","6,149","4,097.15",15.85
Majuli,17,"2,522",596.82,476,80.72,984,"1,363.12",138,155.56,328,"1,155.61",39,120.86,"3,834","3,115.55",653,357.14,11.46
Morigaon,68,"6,632","1,595.67","1,310",385.06,"10,057","12,146.35","1,717","2,380.96","1,479","6,838.82",205,"1,118.23","18,168","20,580.84","3,232","3,884.25",18.87
Nagaon,156,"27,133","6,043.68","9,889","1,814.09","25,962","28,578.46","2,714","3,545.82","2,766","13,167.96",375,"1,833.19","55,861","47,790.10","12,978","7,193.10",15.05
Nalbari,88,"16,264","3,418.68","6,802","1,068.71","10,750","12,029.85","1,578","1,657.08",856,"4,870.12",77,423.63,"27,870","20,318.65","8,457","3,149.42",15.50
Sivasagar,103,"14,637","2,832.13","2,269",347.66,"17,386","18,127.12","1,135","1,346.92","1,817","8,088.19",88,438.49,"33,840","29,047.44","3,492","2,133.07",7.34
Sonitpur,133,"22,731","4,580.54","5,528",845.60,"24,415","24,784.47","1,768","2,213.36","2,039","11,005.71",200,"1,048.20","49,185","40,370.72","7,496","4,107.16",10.17
South Salmara,15,334,107.15,114,30.70,982,"1,445.59",339,361.19,136,766.36,14,67.09,"1,452","2,319.10",467,458.98,19.79
Tamulpur,26,475,136.79,254,83.38,"1,233","1,979.08",201,352.97,98,452.96,3,18.52,"1,806","2,568.83",458,454.87,17.71
Tinsukia,153,"20,691","4,051.72","3,662",446.54,"19,974","24,021.66","1,884","2,427.70","2,746","16,197.40",245,"1,435.86","43,411","44,270.78","5,791","4,310.10",9.74
Udalguri,51,"6,156","2,018.14",983,280.53,"4,220","5,734.00","1,481","2,041.70",308,"1,925.67",26,118.36,"10,684","9,677.81","2,490","2,440.59",25.22
West Karbi Anglong,22,967,222.65,137,9.91,366,557.75,26,38.67,69,316.37,4,20.21,"1,402","1,096.77",167,68.79,6.27
