district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Dibrugarh,187,"9,044","5,564.31",0,0,719,876.57,"4,124","1,741.09",360,400.42,97,204.61,1,2.87,22,67.48,"4,657","18,258.07","19,024","27,115.42"
Dima Hasao,32,112,67.75,0,0,17,11.14,6,10.00,140,74.36,8,4.64,0,0,0,0,170,270.42,453,438.31
Goalpara,73,"3,687","1,777.76",24,14.01,372,257.26,847,496.20,381,291.03,"1,221",304.91,7,0.95,0,0,"2,455","5,254.49","8,994","8,396.61"
Golaghat,124,"3,526","1,750.19",2,0.78,515,323.93,"6,147","2,379.47",126,270.04,40,53.81,3,442.89,0,0,"3,200","10,306.89","13,559","15,528.00"
Hailakandi,46,812,488.89,0,0,439,637.59,23,32.34,199,357.99,32,42.15,0,0,1,0.49,"1,535","2,534.11","3,041","4,093.56"
Hojai,60,"1,074",438.98,0,0,809,934.56,"1,465",596.67,101,117.16,176,184.79,0,0,0,0,"1,815","2,753.61","5,440","5,025.77"
Jorhat,140,"3,133","1,495.65",8,12.33,"1,179","1,058.72","1,465",554.45,179,343.60,87,158.22,0,0,2,4.68,"3,438","10,362.65","9,491","13,990.30"
Kamrup Metro,179,"12,590","7,930.19",3,1.04,995,"1,024.41","2,649","1,344.12",733,929.99,306,383.40,1,0.95,4,5.19,"6,398","12,923.79","23,679","24,543.08"
Karbi Anglong,66,"2,730",823.10,0,0,341,181.92,981,301.98,44,72.10,42,54.85,0,0,0,0,670,"3,050.88","4,808","4,484.83"
Karimganj,92,"1,220",848.53,3,1.51,592,845.45,507,175.31,113,245.22,284,534.68,0,0,0,0,"1,450","2,428.22","4,169","5,078.92"
Kokrajhar,57,519,339.73,0,0,524,493.69,813,101.72,271,315.17,48,114.88,0,0,1,7.26,"1,355","2,954.06","3,531","4,326.51"
Lakhimpur,92,677,659.14,4,1.69,491,706.62,"7,336","2,444.56",291,547.52,141,209.76,1,2.77,3,4.78,"3,121","5,167.34","12,065","9,744.18"
Majuli,17,39,18.84,0,0,8,15.43,23,33.71,9,23.61,5,3.87,0,0,0,0,88,122.47,172,217.93
Morigaon,68,"1,251","1,085.41",0,0,"1,031","1,339.23","2,708","1,683.29",255,344.04,296,679.78,1,13.53,1,4.9,"3,528","4,689.34","9,071","9,839.52"
Nagaon,156,"7,608","3,308.06",0,0,"1,944","1,736.43","10,824","4,464.77",242,379.38,137,398.99,0,0,20,38.02,"5,543","5,990.07","26,318","16,315.72"
Nalbari,88,"3,816","1,854.66",12,7.87,767,828.18,"5,702","2,533.70",595,507.69,156,161.13,1,1.49,4,10.02,"3,186","6,699.27","14,239","12,604.01"
Sivasagar,103,935,588.24,1,1.64,"9,261","3,369.02","1,516",776.25,"1,263","1,477.28",80,63.93,0,0,1,4.76,"10,663","8,360.94","23,720","14,642.06"
Sonitpur,133,"4,992","3,996.45",2,1.3,403,622.11,"6,180","2,843.24",491,591.23,82,133.73,0,0,3,15.37,"3,434","8,650.89","15,587","16,854.32"
South Salmara,15,0,0,0,0,-,-,1,0.90,1,5.76,-,-,0,0,0,0,16,27.15,18,33.81
Tamulpur,26,839,497.9,0,0,24,45.81,8,11.49,20,35.47,5,17.58,0,0,0,0,358,721.43,"1,254","1,329.68"
Tinsukia,153,"6,666","3,681.14",44,19.08,"1,234","1,899.67","2,300","1,217.79",422,931.24,80,78.25,0,0,7,70.23,"3,400","13,873.77","14,153","21,771.17"
Udalguri,51,"3,893","1,967.74",1,0.49,96,143.70,33,33.89,200,229.34,57,95.32,1,0.2,2,2.28,"1,172","2,179.86","5,455","4,652.82"
West Karbi Anglong,22,4,5.44,0,0,60,41.36,0,0,2,9.02,6,1.54,0,0,0,0,1,123.55,73,180.91
