district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Dhubri,89,"3,235","18,266.54","1,823","7,704.64",116,"8,699.04",38,"2,221.68",8,2006.11,1,390,7,13.17,0,0,1,10,161,6991.52,14,10.4,"5,404","46,313.10"
Dibrugarh,187,"5,693","39,610.23","5,290","37,622.53",333,"22,216.99",416,32275.45,54,5376.34,18,2823.97,59,259.05,12,66.47,5,11.52,178,10408.53,20,19.4,"12,078","1,50,690.48"
Dima Hasao,32,"1,414","3,006.30",312,"1,236.03",10,344.36,6,118.94,1,0.5,0,0,7,12.49,0,0,2,2.85,1,20,0,0,"1,753","4,741.47"
Goalpara,73,"2,568","9,850.26","1,331","7,165.11",84,"4,968.79",53,"2,524.62",6,275.92,1,16.07,37,67.59,4,9.83,1,8,86,4007.51,0,0,"4,171","28,893.70"
Golaghat,124,"3,768","16,385.95","2,018","11,432.08",88,"7,144.52",147,"6,852.14",5,219.78,0,2.37,17,123.13,1,0.25,0,0,110,6288.92,0,0,"6,154","48,449.14"
Hailakandi,46,"1,881","6,184.60","1,038","5,095.30",28,"1,364.47",27,"1,226.72",3,104.54,1,601.5,32,125.89,5,25.1,0,0,21,1266.84,0,0,"3,036","15,994.96"
Hojai,60,"2,806","14,225.73","1,799","11,242.10",113,"4,259.49",93,"4,066.61",7,302.37,2,172.62,5,18.57,1,9.55,1,7,28,788.29,0,0,"4,855","35,092.33"
Jorhat,140,"3,960","33,074.09","2,245","20,360.55",235,"23,749.80",192,"13,456.93",64,11651.16,8,7121.11,8,18.65,1,0.01,11,419.5,192,18104.31,0,0,"6,916","1,27,956.11"
Kamrup Metro,179,"4,050","22,520.89","2,819","27,851.66",219,"7,910.08",206,"16,077.27",19,962.7,10,5788.75,165,436.6,4,6.74,5,11.33,398,10891.68,32,25.4,"7,927","92,483.10"
Karbi Anglong,66,"3,055","7,611.14",626,"3,822.65",17,537.93,22,"1,733.39",3,4.25,0,0,35,119.28,3,2.55,1,1.92,33,483.23,0,0,"3,795","14,316.34"
Karimganj,92,"2,891","11,175.78","1,542","12,786.18",145,"7,157.02",115,"6,148.91",26,1261.59,2,165.39,49,142.2,12,38.14,1,0,89,4284.14,0,0,"4,872","43,159.35"
Kokrajhar,57,"1,903","7,939.83","1,157","6,536.32",54,"2,173.14",45,"3,385.69",1,7.5,1,35.5,11,25.41,0,0,2,401,51,1804.07,0,0,"3,225","22,308.46"
Lakhimpur,92,"3,030","11,897.44","2,650","15,173.35",123,"7,042.18",137,"7,741.90",30,1794.96,5,1415.74,38,836.71,4,10.27,2,6.45,89,4169.47,0,0,"6,108","50,088.47"
Majuli,17,253,"1,481.51",121,641.37,22,225.37,10,107.49,0,0,0,0,0,0,0,0,1,0.01,3,135.61,0,0,410,"2,591.36"
Morigaon,68,"1,163","7,053.96",926,"8,420.69",74,"1,901.06",73,"5,009.59",5,89.1,4,1227.51,7,21.38,0,0,12,9.8,84,1213.39,0,0,"2,348","24,946.48"
Nagaon,156,"5,188","26,318.76","2,468","21,233.01",239,"14,857.86",201,"9,415.27",46,6169.83,10,1272.73,56,251.38,10,52.81,6,5.91,187,8613.08,0,0,"8,411","88,190.64"
Nalbari,88,"2,539","12,978.80","1,508","10,664.07",91,"4,332.46",63,"4,563.82",6,155.7,3,2081,56,209.11,10,29.71,3,12.5,124,4446.33,0,0,"4,403","39,473.50"
Sivasagar,103,"3,224","17,446.84","2,557","18,130.68",138,"9,721.55",222,"17,538.96",21,2889.99,11,4034.48,17,55.02,0,0,2,40,149,5633.73,0,0,"6,341","75,491.25"
Sonitpur,133,"4,439","28,654.61","2,557","23,404.49",200,"12,692.71",140,"9,907.15",64,3186.28,11,1762.84,81,254.41,19,118.3,5,36.38,101,5679.77,0,0,"7,617","85,696.89"
South Salmara,15,238,"1,611.86",114,536.37,10,120.66,5,122.77,0,0,0,0,1,4.95,0,0,0,0,1,44.53,0,0,369,"2,441.14"
Tamulpur,26,589,"1,580.41",193,"1,014.94",6,221.48,6,50.37,0,0,1,45.96,3,16.33,0,0,1,67.66,1,33.21,0,0,800,"3,030.36"
Tinsukia,153,"6,064","42,711.96","4,247","37,493.81",402,"23,365.77",302,"21,648.55",47,4559.63,10,2119.75,37,169.92,8,37.18,20,0.4,230,16554.98,0,0,"11,367","1,48,661.95"
Udalguri,51,"1,370","5,368.83",384,"2,859.98",13,321.53,4,59.19,1,0.75,0,0.25,11,19.18,0,0,1,7.95,32,869.38,0,0,"1,816","9,507.04"
West Karbi Anglong,22,567,848.60,189,401.25,0,0,1,3.5,1,28.73,0,0,5,12.66,0,0,0,0,0,0,0,0,763,"1,294.74"
