district,CropProduction,WaterResources,Farm,Plantation,Animal Husbandry,Fishery,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSME Working,MSME Total,Export Credit,Education,Housing,Service Others,Social Infra,Services Total,Total Achievement
Dibrugarh,3278.89,626.83,1825.28,140.07,4327.93,296.34,6587.68,348.49,5337.3,22768.81,18943.76,9989.53,28933.29,20.8,715.57,1258.84,259.7,928.43,3183.34,54885.44
Dima Hasao,87.87,0,3.4,0,30.29,0,2,7.37,21.83,152.76,186.01,127.63,313.64,4.5,7.84,57.59,15,0.2,85.13,551.53
Goalpara,2745.24,129.42,430.66,41.43,1871.42,193.54,1313.82,283.89,952.64,7962.06,5604.96,793.52,6398.48,4.83,36.02,178.36,116.61,1.66,337.48,14698.02
Golaghat,3915.9,1811.91,2126.04,113.8,3224.84,284.84,9056.24,212.86,1985.34,22731.77,10025.66,1802.55,11828.21,7.43,389.64,377.96,357.13,210.55,1342.71,35902.689999999995
Hailakandi,1083.06,34.11,80.89,12.62,401.78,79.32,1564.92,220.61,201.78,3679.09,2984.35,437.74,3422.09,7.35,45.84,158.34,91.73,0,303.26,7404.4400000000005
Hojai,1732.62,128.93,45.09,4.81,375.8,48.12,59.53,332.59,856.94,3584.43,2342.71,965.81,3308.52,9.09,87.59,226.51,81.3,0,404.49,7297.44
Jorhat,3037.97,1849.75,965.09,113.07,7627.9,358.79,6573.89,346.73,4660.33,25533.52,16383.28,5901.19,22284.47,14.44,793.6,1360.62,312.71,715.58,3196.95,51014.94
Kamrup,2558.26,108.58,282.14,15.44,5049.23,1021.42,5115.31,32.14,1000.05,15182.57,37425.43,5713.36,43138.79,13.82,349.99,942.02,4433.1,140.67,5879.6,64200.96
Kamrup Metro,2134.25,59.16,75.24,22.07,907.48,87.19,1493.77,243.2,7646.31,12668.67,121567,49629.32,171196.32,39.54,3057.22,11587.43,7608.09,1531.09,23823.37,207688.36000000002
Karbi Anglong,2247.6,14.27,179.97,62.28,378.95,59.53,291.12,13.91,601.21,3848.84,964.91,371.88,1336.79,4.89,56.17,142.25,176.1,1.64,381.05,5566.68
Karimganj,2037.4,220.03,1342.35,1.82,1066.47,321.61,4101.27,405.45,658.09,10154.49,11281.82,3148.9,14430.72,6.8,99.42,165.2,494.74,0,766.16,25351.37
Kokrajhar,1774.87,52.48,55.93,6.15,115.47,35.25,95.37,17.54,674.15,2827.21,369.6,671.77,1041.37,13.04,88.16,322.23,193.41,2.64,619.48,4488.0599999999995
Lakhimpur,4278.39,205.68,176.07,19.98,5766.56,487.93,3144.46,45.97,609.92,14734.96,7914.65,2390.35,10305,8.15,401.31,1216.92,174.49,261.2,2062.07,27102.03
Majuli,1529.08,37.24,85,9.35,302.52,12.54,127.32,20.09,310.79,2433.93,397.59,53.53,451.12,12.33,306.82,47.61,121,168.75,656.51,3541.5599999999995
Morigaon,1845.48,767.07,317.23,41.83,3459.75,1583.5,10237.27,476.37,649.81,19378.31,5079.89,715.29,5795.18,23.93,512.27,284.99,119.66,0,940.85,26114.34
Nagaon,3370.56,1460.89,1018.34,46.79,8757.63,1748,15214.73,440.13,1150.15,33207.22,22092.85,3567.47,25660.32,14.43,418.17,820.65,800.65,114.94,2168.84,61036.380000000005
Nalbari,1693.61,158.27,325.45,31.88,2430.45,618.8,2112.64,34.81,898.46,8304.37,6903.69,2572.48,9476.17,9.83,201.5,653.71,609.41,224.78,1699.23,19479.77
Sivasagar,3235.39,487.96,1236.22,49.52,5919.17,402.75,5349.08,356.61,1317.61,18354.31,9933.34,4451.92,14385.26,10.95,342.33,724.76,260.07,187.07,1525.18,34264.75
Sonitpur,2548.76,1044.89,1415.67,84.52,5761.51,478.14,5737.53,165.98,981.28,18218.28,21267.37,3752.48,25019.85,8.93,491.63,1211.82,1003.08,464.2,3179.66,46417.78999999999
South Salmara,2312.21,113.96,190.58,20.96,579.85,242.11,54.07,2.4,805.98,4322.12,104.16,126.96,231.12,5.25,12.1,27.87,337.82,0,383.04,4936.28
Tinsukia,4373.73,259.47,654.1,165.43,2752.09,212.54,5036.24,370.56,2601.15,16425.31,21498.45,6266.79,27765.24,28.32,312.23,1012.65,243.67,713.51,2310.38,46500.93
Udalguri,2557.83,65.02,112.1,19.57,781.13,32.78,143.6,34.49,467.93,4214.45,1090.13,457.03,1547.16,6.34,67.57,142.55,178.65,5.57,400.68,6162.29
West Karbi Anglong,299.14,0,0,0,95.14,0,2.74,0,5.68,402.7,284.69,5.16,289.85,0,0,10.46,0,0,10.46,703.01
