district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Karbi Anglong,220,279.86,1091,1219.34,982,532.01,2773,2110.8,8,10,36,82.26,6,27.35,35,131.88,0,0,0,0,0,0,4,31.71,1216,849.22,3939,3575.99
Karimganj,10400,8114.91,52734,32878.98,223,210.61,743,540.6,0,0,35,114.79,5,4.75,9,7.21,0,0,0,0,1,9.24,24,113.75,10629,8339.51,53545,33655.33
Kokrajhar,850,1213.47,6181,6262.97,64,167.25,2971,2077.6,4,6,30,49.91,1,0.98,5,6.33,0,0,2,0.48,0,0,8,37.16,919,1387.7,9197,8434.45
Lakhimpur,5808,4106.19,32980,17891.4,240,187.44,1432,758.52,8,23.24,135,491.37,11,24.04,59,94.12,1,0.4,32,20.99,0,0,111,1650.55,6068,4341.31,34749,20906.95
Majuli,96,68.9,635,412.18,3,1.79,11,4.3,0,0,0,0,0,0,2,1.25,0,0,0,0,0,0,3,10,99,70.69,651,427.73
Morigaon,10385,8381.81,56333,29941.57,55,47.76,217,179.07,8,10,70,155.17,2,5.95,7,16.6,0,0,3,3.45,1,6,19,59.25,10451,8451.52,56649,30355.11
Nagaon,58269,26574.14,162080,99217.08,150,157.17,853,847.29,13,23.73,140,365.03,4,3.14,10,23.42,1,0.35,3,0.8,5,27.83,50,163.87,58442,26786.36,163136,100617.49
Nalbari,7024,5039.05,30844,18905.74,12,7.82,95,66.52,2,2.26,9,22.04,7,1.9,38,7.61,1,0.01,3,2.14,5,110.56,31,197.79,7051,5161.6,31020,19201.84
Sivasagar,5430,7229.58,22034,18895.13,194,143.51,820,909.65,7,12.34,61,111.58,28,17.38,136,168.29,0,0,22,25.69,6,20.3,135,1153.53,5665,7423.11,23208,21263.87
Sonitpur,12547,9591.57,56687,30576.72,392,509.67,2008,1892.64,11,25.2,79,232.56,17,9.47,121,210.02,4,2.55,25,10.88,7,48.6,44,194.24,12978,10187.06,58964,33117.06
South Salmara,409,444.22,2467,4576.51,1,11.06,5,26.6,4,6,26,57,0,0,1,0.26,0,0,0,0,0,0,0,0,414,461.28,2499,4660.37
Tinsukia,1977,2317.07,10705,9451.1,350,476.81,1574,2649.45,42,157.37,106,500.22,89,114.11,494,1025.82,2,1.5,22,19.63,18,380.37,537,1163.23,2478,3447.23,13438,14809.45
Udalguri,442,687.51,4434,4360.42,684,855.77,5060,7690.66,0,0,3,6.75,0,0,9,9.44,0,0,4,2.28,0,0,3,0.88,1126,1543.28,9513,12070.43
West Karbi Anglong,4,6.09,129,150.13,55,38.3,241,288.55,0,0,5,1.57,0,0,2,0.93,0,0,0,0,0,0,0,0,59,44.39,377,441.18
