district,period,acp_achievement__col_1,acp_achievement__col_10,acp_achievement__col_11,acp_achievement__col_12,acp_achievement__col_2,acp_achievement__col_3,acp_achievement__col_4,acp_achievement__col_5,acp_achievement__col_6,acp_achievement__col_7,acp_achievement__col_8,acp_achievement__col_9,animal_husbandry__achievement_no,animal_husbandry__amount_crore,animal_husbandry__target_no,atm_network__no_of_atm,bank_mitra__no_of_bank_mitra,cgtmse__amount_crore,cgtmse__no_of_accounts,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,fisheries__achievement_no,fisheries__amount_crore,fisheries__target_no,jansuraksha__col_1,jansuraksha__col_2,jansuraksha__col_3,jansuraksha__col_4,jansuraksha__col_5,jansuraksha__col_6,jansuraksha__col_7,jansuraksha__col_8,jansuraksha__col_9,kcc__achievement_amt,kcc__achievement_no,kcc__achievement_pct_amt,kcc__achievement_pct_no,kcc__target_amt,kcc__target_no,mudra__kishore_amt,mudra__kishore_no,mudra__shishu_amt,mudra__shishu_no,mudra__tarun_amt,mudra__tarun_no,mudra__total_amt,mudra__total_no,pmegp__disbursed_projects,pmegp__sanctioned_amt,pmegp__sanctioned_projects,pmegp__sponsored_projects,pmegp__target_employment,pmegp__target_margin_money,pmegp__target_projects,pmjdy__active_no,pmjdy__active_pct,pmjdy__balance_amt_crore,pmjdy__female_no,pmjdy__male_no,pmjdy__rupay_active_no,pmjdy__rupay_active_pct,pmjdy__rupay_issued_no,pmjdy__rural_no,pmjdy__total_pmjdy_no,pmjdy__urban_no,pmjdy__zero_balance_no,priority_sector__col_1,priority_sector__col_2,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,shg__achievement_amt,shg__achievement_no,shg__achievement_pct_amt,shg__achievement_pct_no,shg__target_amt,shg__target_no,social_security_apy__subscribers_fy15,social_security_apy__subscribers_fy16,social_security_apy__subscribers_fy17,social_security_apy__subscribers_fy18,social_security_apy__subscribers_fy19,social_security_apy__subscribers_fy20,social_security_pmjjby__claims_amount_crore,social_security_pmjjby__claims_paid_no,social_security_pmjjby__claims_pending_no,social_security_pmjjby__claims_rejected_no,social_security_pmjjby__claims_total_no,social_security_pmjjby__claims_under_process_no,social_security_pmsby__claims_amount_crore,social_security_pmsby__claims_paid_no,social_security_pmsby__claims_pending_no,social_security_pmsby__claims_rejected_no,social_security_pmsby__claims_total_no,social_security_pmsby__claims_under_process_no,stand_up_india__sc_st_amount,stand_up_india__sc_st_loans,stand_up_india__total_amount,stand_up_india__total_loans,stand_up_india__women_amount,stand_up_india__women_loans
Balrampur,March 2019,179920.0,,,,179628.4,99.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469.0,82339.92,82339.92,0.0,57.4,68.41,42.84,527.0,,,,,,,,22604.0,,239156.0,289449.0,336473.0,,,94.45,242391.0,116.46,94082.0,273393.0,,,,,,,,314.88,,,10.2,44.0,4852.0,3573.0,7518.0,5825.0,21768.0,,118.0,59.0,0.0,3.0,65.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,,,,,,
Banda,March 2019,182966.74,,,,93790.0,51.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,57664.0,3401.0,3046.0,53980.0,3684.0,4.73,58444.68,56078.68,2366.0,31.34,32.39,26.82,330.0,,,,,,,,57228.0,,282706.0,531707.0,600628.0,,,70.0,443697.0,157.14,156931.0,372186.0,,,,,,,,,,,,,1976.0,1577.0,5239.0,11057.0,19849.0,,326.0,163.0,1.0,21.0,203.0,18.0,72.0,36.0,1.0,1.0,56.0,18.0,,,,,,
Barabanki,March 2019,321717.79,,,,140201.57,43.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24,126389.72,123721.08,2668.64,141.2,151.46,66.74,831.0,,,,,,,,100561.0,,714450.0,768539.0,829752.0,,,81.03,616035.0,311.14,213717.0,622784.0,,,,,,,,245.14,,,38.1,108.0,5966.0,7306.0,12089.0,14136.0,39497.0,,998.0,499.0,1.0,5.0,554.0,49.0,90.0,45.0,0.0,13.0,69.0,11.0,,,,,,
Bareilly,March 2019,574271.68,,,,367524.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.48,186699.34,180010.03,6689.31,177.18,185.97,140.9,1804.0,,,,,,,,116512.0,,1200521.0,1236145.0,1335459.0,,,88.34,697540.0,387.66,637919.0,1092034.0,,,,,,,,,,,,,5637.0,12478.0,18096.0,18154.0,54365.0,,1158.0,579.0,0.0,18.0,659.0,62.0,230.0,115.0,0.0,5.0,130.0,10.0,,,,,,
Basti,March 2019,180176.97,,,,116804.0,64.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,81462.84,81362.84,100.0,43.37,47.05,40.31,490.0,,,,,,,,86435.0,,535944.0,571380.0,647052.0,,,78.26,553324.0,187.44,93728.0,447188.0,,,,,,,,691.05,,,117.78,281.0,2804.0,3344.0,7620.0,7383.0,21151.0,,196.0,98.0,0.0,2.0,106.0,6.0,20.0,10.0,0.0,0.0,10.0,0.0,,,,,,
Bijnor,March 2019,775854.45,,,,504169.0,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.42,282407.26,248407.26,34000.0,113.94,136.06,122.14,1486.0,,,,,,,,192859.0,,832793.0,938362.0,990770.0,,,87.7,717827.0,245.17,272943.0,822979.0,,,,,,,,662.46,,,104.56,293.0,4490.0,6130.0,11666.0,13506.0,35792.0,,600.0,300.0,6.0,6.0,328.0,16.0,166.0,83.0,2.0,16.0,111.0,10.0,,,,,,
Budaun,March 2019,258353.0,,,,265915.0,102.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94,113961.28,112899.39,1061.89,57.01,68.36,45.21,566.0,,,,,,,,119162.0,,953479.0,992978.0,1098330.0,,,77.96,634303.0,223.49,464027.0,774105.0,,,,,,,,,,,,,5886.0,4950.0,7993.0,10230.0,29059.0,,324.0,162.0,1.0,4.0,178.0,11.0,48.0,24.0,0.0,3.0,33.0,6.0,,,,,,
Bulandshahr,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.97,201.0,498.86,105.0,97.82,108.78,99.69,1191.0,,,,,,,,140231.0,,875506.0,930530.0,996623.0,,,74.82,688096.0,276.95,308527.0,696195.0,,,,,,,,477.91,,,132.65,390.0,3166.0,1966.0,7948.0,9033.0,22113.0,,600.0,300.0,2.0,25.0,353.0,26.0,178.0,89.0,1.0,12.0,129.0,27.0,,,,,,
Chandauli,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,17520.0,2460.0,2203.0,16659.0,861.0,7.16,50187.85,49887.85,300.0,71.88,74.26,32.8,404.0,,,,,,,,82357.0,,441340.0,525671.0,589845.0,,,87.03,441307.0,175.59,148538.0,457498.0,,,,,,,,522.84,,,85.07,256.0,1690.0,4316.0,6210.0,7838.0,20054.0,,246.0,123.0,1.0,0.0,129.0,5.0,46.0,23.0,0.0,2.0,29.0,4.0,,,,,,
Chitrakoot,March 2019,81405.0,,,,54238.22,66.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,4.0,260.53,101.0,15.73,16.33,11.19,143.0,,,,,,,,38301.0,,188279.0,312644.0,351218.0,,,81.24,188310.0,85.38,162908.0,253986.0,,,,,,,,,,,,,1371.0,1092.0,4724.0,6548.0,13735.0,,52.0,26.0,0.0,14.0,44.0,4.0,14.0,7.0,1.0,2.0,12.0,2.0,,,,,,
Deoria,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43,101921.42,101821.42,100.0,88.81,94.64,87.09,1026.0,,,,,,,,128645.0,,598860.0,676368.0,756715.0,,,81.43,481537.0,210.06,275178.0,550738.0,,,,,,,,,,,,,1928.0,2261.0,5563.0,10646.0,20398.0,,282.0,141.0,0.0,1.0,148.0,6.0,22.0,11.0,0.0,2.0,13.0,0.0,,,,,,
Etah,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.21,129612.02,124321.0,5291.02,51.96,56.44,41.44,499.0,,,,,,,,124292.0,,480398.0,521322.0,586192.0,,,80.92,264336.0,154.58,321856.0,421866.0,,,,,,,,239.31,,,13.1,39.0,2696.0,4658.0,10122.0,9422.0,26898.0,,742.0,371.0,1.0,0.0,395.0,23.0,60.0,30.0,0.0,4.0,48.0,14.0,,,,,,
Etawah,March 2019,101698.0,,,,93905.0,92.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52,37683.73,35818.23,1865.5,26.14,29.74,27.28,324.0,,,,,,,,73529.0,,368953.0,393908.0,428943.0,,,86.25,258377.0,131.4,170566.0,339745.0,,,,,,,,462.47,,,72.26,208.0,858.0,812.0,2576.0,4220.0,8466.0,,204.0,102.0,0.0,0.0,109.0,7.0,82.0,41.0,0.0,0.0,41.0,0.0,,,,,,
Ayodhya,March 2019,202180.05,,,,171862.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.0,34650.0,,,28580.0,6070.0,22.81,69311.72,68371.72,940.0,112.09,117.67,78.63,925.0,,,,,,,,70250.0,,737069.0,752945.0,804835.0,,,88.19,584388.0,296.55,220447.0,664010.0,,,,,,,,587.62,,,118.7,246.0,3524.0,7778.0,10372.0,16179.0,37853.0,,566.0,283.0,0.0,13.0,327.0,31.0,128.0,64.0,0.0,5.0,79.0,10.0,,,,,,
Farrukhabad,March 2019,185000.0,,,,84568.0,45.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.54,49688.77,46893.77,2795.0,61.84,67.35,31.99,392.0,,,,,,,,91227.0,,523242.0,547869.0,606437.0,,,82.5,316739.0,152.54,289698.0,451986.0,,,,,,,,184.9,,,11.24,42.0,3791.0,4219.0,6563.0,7498.0,22071.0,,664.0,332.0,1.0,1.0,361.0,27.0,48.0,24.0,0.0,10.0,46.0,12.0,,,,,,
Fatehpur,March 2019,212328.8,,,,161374.65,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.31,81309.28,81209.28,100.0,104.08,111.87,55.96,695.0,,,,,,,,41820.0,,654221.0,670658.0,717776.0,,,85.16,506749.0,354.36,211027.0,571138.0,,,,,,,,950.93,,,312.91,995.0,3318.0,12200.0,17122.0,24279.0,56919.0,,254.0,127.0,2.0,1.0,152.0,22.0,80.0,40.0,0.0,2.0,46.0,4.0,,,,,,
Firozabad,March 2019,363885.0,,,,277656.0,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62,113453.4,106704.5,6748.9,66.66,73.03,60.88,736.0,,,,,,,,171816.0,,750139.0,787997.0,898045.0,,,81.4,283274.0,175.84,614771.0,641419.0,,,,,,,,168.19,,,34.47,30.0,1751.0,2429.0,5601.0,6316.0,16097.0,,298.0,149.0,3.0,4.0,165.0,9.0,62.0,31.0,0.0,8.0,44.0,5.0,,,,,,
Gautam Buddha Nagar,March 2019,1026169.18,,,,1085016.3,105.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.22,254.0,4888.35,312.0,125.01,135.67,227.56,2938.0,,,,,,,,119296.0,,677068.0,704102.0,759196.0,,,86.34,196937.0,282.92,562259.0,607933.0,,,,,,,,168.95,,,18.22,52.0,7833.0,7888.0,16847.0,18471.0,51039.0,,522.0,261.0,3.0,7.0,284.0,13.0,146.0,73.0,0.0,5.0,90.0,12.0,,,,,,
Ghaziabad,March 2019,576731.11,,,,564692.0,97.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.41,23013.07,17007.07,6006.0,200.37,210.47,309.5,3918.0,,,,,,,,96697.0,,697307.0,729981.0,795476.0,,,80.35,155752.0,334.1,639724.0,586565.0,,,,,,,,437.85,,,123.67,250.0,11113.0,5467.0,15594.0,18361.0,50535.0,,1110.0,555.0,1.0,13.0,580.0,11.0,256.0,128.0,0.0,5.0,160.0,27.0,,,,,,
Ghazipur,March 2019,189058.0,,,,218034.78,115.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0,69510.0,5355.0,4796.0,51245.0,18265.0,6.58,46344.9,44329.9,2015.0,130.86,135.52,61.95,778.0,,,,,,,,157908.0,,653405.0,825420.0,944314.0,,,86.27,714010.0,340.54,230304.0,712064.0,,,,,,,,632.88,,,63.66,91.0,2303.0,10466.0,9236.0,14784.0,36789.0,,388.0,194.0,1.0,1.0,203.0,7.0,70.0,35.0,0.0,2.0,39.0,2.0,,,,,,
Gonda,March 2019,274105.22,,,,229850.66,83.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,55870.0,6434.0,6434.0,55870.0,0.0,6.34,158671.11,158571.11,0.0,80.25,87.78,55.48,690.0,,,,,,,,46681.0,,543865.0,697342.0,759969.0,,,84.78,497658.0,301.74,262311.0,591236.0,,,,,,,,,,,,,5929.0,5753.0,11682.0,10370.0,33734.0,,266.0,133.0,0.0,2.0,151.0,16.0,32.0,16.0,0.0,1.0,22.0,5.0,,,,,,
Gorakhpur,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.34,134819.84,134719.84,100.0,198.69,208.18,243.84,2929.0,,,,,,,,241497.0,,960943.0,1124004.0,1278993.0,,,78.62,767482.0,330.15,511511.0,883661.0,,,,,,,,,,,,,9020.0,7134.0,16251.0,19335.0,51740.0,,600.0,300.0,2.0,7.0,320.0,11.0,76.0,38.0,1.0,2.0,48.0,7.0,,,,,,
Hamirpur,March 2019,173649.17,,,,107045.32,61.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,64351.56,62717.46,1634.1,22.77,24.13,18.07,218.0,,,,,,,,19666.0,,256748.0,281987.0,311826.0,,,84.22,178552.0,99.41,133274.0,237501.0,,,,,,,,,,,,,1897.0,1675.0,6722.0,7730.0,18024.0,,108.0,54.0,1.0,3.0,65.0,7.0,24.0,12.0,0.0,0.0,14.0,2.0,,,,,,
Hapur,March 2019,304694.79,,,,274917.11,90.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,27.0,8.96,32.0,47.55,51.21,38.66,490.0,,,,,,,,32571.0,,162336.0,169866.0,191747.0,,,75.52,117460.0,52.92,74287.0,128284.0,,,,,,,,1.01,,,1.5,3.0,56.0,148.0,254.0,179.0,637.0,,236.0,118.0,1.0,4.0,124.0,1.0,52.0,26.0,0.0,1.0,33.0,6.0,,,,,,
Hardoi,March 2019,454549.21,,,,360139.33,79.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0,80254.0,7828.0,7011.0,80254.0,0.0,20.81,169394.66,169294.66,100.0,97.35,104.91,62.93,769.0,,,,,,,,137559.0,,1042059.0,1116850.0,1232705.0,,,78.88,767989.0,371.32,464716.0,880993.0,,,,,,,,743.09,,,116.16,212.0,4886.0,5029.0,13573.0,15373.0,38861.0,,580.0,290.0,1.0,4.0,312.0,17.0,72.0,36.0,0.0,14.0,66.0,16.0,,,,,,
Jalaun,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,76869.21,70418.45,6450.76,24.92,27.73,27.73,349.0,,,,,,,,21572.0,,395356.0,505804.0,549063.0,,,82.86,399006.0,148.81,150057.0,419116.0,,,,,,,,,,,,,3373.0,4815.0,12016.0,8045.0,28249.0,,254.0,127.0,1.0,36.0,178.0,14.0,94.0,47.0,0.0,6.0,73.0,20.0,,,,,,
Jaunpur,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,57366.0,8436.0,8436.0,57366.0,0.0,8.25,43241.37,43141.37,100.0,167.43,174.19,76.04,952.0,,,,,,,,320100.0,,924397.0,1371661.0,1550051.0,,,86.32,1181162.0,434.99,368889.0,1183973.0,,,,,,,,,,,,,3716.0,9769.0,14262.0,22822.0,50569.0,,348.0,174.0,2.0,2.0,187.0,9.0,76.0,38.0,0.0,3.0,51.0,10.0,,,,,,
Jhansi,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.55,103776.63,100475.37,3301.26,82.17,97.64,73.98,925.0,,,,,,,,81735.0,,476475.0,494013.0,532621.0,,,82.25,261577.0,149.95,271044.0,406326.0,,,,,,,,902.74,,,224.77,325.0,3465.0,3442.0,5215.0,6909.0,19031.0,,230.0,115.0,0.0,3.0,124.0,6.0,48.0,24.0,0.0,1.0,34.0,9.0,,,,,,
Kannauj,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,40730.0,3303.0,2958.0,34640.0,6090.0,4.91,43961.64,39775.64,4186.0,64.53,73.98,28.45,360.0,,,,,,,,78170.0,,435996.0,462446.0,519897.0,,,85.61,275216.0,156.27,244681.0,395916.0,,,,,,,,252.67,,,44.42,116.0,2881.0,3283.0,6352.0,7302.0,19818.0,,240.0,120.0,1.0,1.0,131.0,9.0,36.0,18.0,0.0,14.0,43.0,11.0,,,,,,
Kanpur Dehat,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,51710.41,50971.29,739.12,99.3,106.43,51.14,719.0,,,,,,,,48414.0,,441513.0,450778.0,488123.0,,,86.76,308352.0,144.14,179771.0,391114.0,,,,,,,,,,,,,5457.0,6787.0,11960.0,22324.0,46528.0,,234.0,117.0,0.0,1.0,132.0,14.0,66.0,33.0,0.0,1.0,34.0,0.0,,,,,,
Kanpur Nagar,March 2019,142893.98,,,,120374.61,84.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.38,425.0,5855.04,794.0,205.93,218.95,294.32,3678.0,,,,,,,,118430.0,,988944.0,1035081.0,1103248.0,,,83.49,307424.0,428.86,795824.0,864159.0,,,,,,,,389.83,,,61.18,150.0,7095.0,8822.0,15547.0,17191.0,48655.0,,1000.0,500.0,2.0,8.0,539.0,29.0,,703331.0,,129183.0,,832514.0,,,,,,
Kaushambi,March 2019,48716.0,,,,40515.0,83.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,35120.0,2762.0,2474.0,35120.0,0.0,2.57,21475.27,21275.27,200.0,49.07,53.27,24.12,296.0,,,,,,,,39117.0,,429156.0,438862.0,468065.0,,,84.04,331255.0,159.38,136810.0,368806.0,,,,,,,,353.65,,,158.14,247.0,1193.0,2934.0,6636.0,10412.0,21175.0,,154.0,77.0,0.0,0.0,86.0,9.0,30.0,15.0,0.0,0.0,19.0,4.0,,,,,,
Kheri,March 2019,507290.0,,,,494613.88,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.0,115407.0,7871.0,7049.0,83463.0,31944.0,17.44,246379.61,218484.8,27894.81,60.88,65.54,44.95,540.0,,,,,,,,82529.0,,743323.0,1166065.0,1316024.0,,,87.32,958355.0,324.41,357669.0,1018178.0,,,,,,,,,,,,,3695.0,2700.0,12494.0,14336.0,33225.0,,856.0,428.0,2.0,82.0,545.0,33.0,150.0,75.0,0.0,9.0,99.0,15.0,,,,,,
Kushi Nagar,March 2019,278069.59,,,,229912.0,82.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79,133749.49,133649.49,100.0,52.87,55.9,49.23,591.0,,,,,,,,162524.0,,562007.0,694590.0,771274.0,,,81.9,590543.0,200.8,180731.0,568867.0,,,,,,,,,,,,,1651.0,3297.0,7431.0,8772.0,21151.0,,254.0,127.0,0.0,0.0,131.0,4.0,16.0,8.0,0.0,0.0,14.0,6.0,,,,,,
Lalitpur,March 2019,137041.0,,,,97081.56,70.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,54050.32,51653.85,2396.47,29.82,39.18,17.17,200.0,,,,,,,,66896.0,,381947.0,401864.0,440290.0,,,83.72,320708.0,86.51,119582.0,336450.0,,,,,,,,702.09,,,272.61,215.0,2212.0,2305.0,3974.0,4702.0,13193.0,,,,,,,,22.0,11.0,0.0,0.0,13.0,2.0,,,,,,
