district,period,annual_credit_plan__ach,annual_credit_plan__agrl_term_loans_including_trgt,annual_credit_plan__agrl_term_loans_trgt,annual_credit_plan__education_loans_trgt,annual_credit_plan__export_credit_trgt,annual_credit_plan__export_credit_trgt_2,annual_credit_plan__housing_loans_trgt,annual_credit_plan__msme_trgt,annual_credit_plan__no,annual_credit_plan__non_priority_sector_trgt,annual_credit_plan__others_under_priority_sector_trgt,annual_credit_plan__others_under_priority_trgt,annual_credit_plan__renewable_trgt_1,annual_credit_plan__short_term_crop_production_trgt,annual_credit_plan__social_infrastructure_trgt_6,annual_credit_plan__target,annual_credit_plan__total_agriculture_trgt,annual_credit_plan__total_credit_trgt,annual_credit_plan__total_priority_sector_trgt,branch_network__branch_metro,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__no_of_branches_rural,branch_network__total_branch,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit,priority_sector__agr,priority_sector__agr_infra,priority_sector__agrl_ter_m_loans,priority_sector__agrl_term,priority_sector__ancillary,priority_sector__ancillary_activities,priority_sector__export,priority_sector__farm,priority_sector__farm_credit,priority_sector__msme,priority_sector__others_under,priority_sector__others_under_priority,priority_sector__short_term,priority_sector__short_term_production_loans,priority_sector__total_agrl,priority_sector__total_agrl_advance,priority_sector__total_priority,priority_sector__total_priority_sector,shg__jlg_financing,shg__shg_credit_linkage
Y.s.r.,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,108.25,,,,,,,,,,,,,,,,,,,,,,
Kurnool,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,131.47,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,97.8,,,,,,,,,,,,,,,,,,,,,1900.0,30000.0
Vizianagaram,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,97.8,,,,,,,,,,,,,,,,,,,,,550.0,30000.0
Visakhapatanam,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,119.66,,,,,,,,,,,,,,,,,,,,,500.0,30000.0
East Godavari,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,130.76,,,,,,,,,,,,,,,,,,,,,6000.0,70000.0
West Godavari,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,147.02,,,,,,,,,,,,,,,,,,,,,16200.0,50000.0
Krishna,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,147.57,,,,,,,,,,,,,,,,,,,,,11100.0,60000.0
Guntur,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,149.98,,,,,,,,,,,,,,,,,,,,,1000.0,60000.0
Prakasam,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,164.78,,,,,,,,,,,,,,,,,,,,,1600.0,50000.0
Spsr Nellore,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,148.85,,,,,,,,,,,,,,,,,,,,,100.0,40000.0
Chittoor,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,85.53,,,,,,,,,,,,,,,,,,,,,150.0,60000.0
Y.s.r.,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,112.88,,,,,,,,,,,,,,,,,,,,,150.0,30000.0
Kurnool,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,126.34,,,,,,,,,,,,,,,,,,,,,550.0,40000.0
Anantapur,June 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,50000.0
Srikakulam,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,98.71,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,91.18,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,118.07,,,,,,,,,,,,,,,,,,,,,,
East Godavari,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,128.27,,,,,,,,,,,,,,,,,,,,,,
West Godavari,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,145.23,,,,,,,,,,,,,,,,,,,,,,
Krishna,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,151.35,,,,,,,,,,,,,,,,,,,,,,
Guntur,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,141.89,,,,,,,,,,,,,,,,,,,,,,
Prakasam,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,161.01,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,144.94,,,,,,,,,,,,,,,,,,,,,,
Chittoor,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,70.27,,,,,,,,,,,,,,,,,,,,,,
Y.s.r.,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,,,,,,,,,,,,,,,,,,,,,
Kurnool,September 2019,,,,,,,,,,,,,,,,,,,,,,,,,120.35,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,91.18,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,118.06,,,,,,,,,,,,,,,,,,,,,,
East Godavari,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,128.27,,,,,,,,,,,,,,,,,,,,,,
West Godavari,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,145.22,,,,,,,,,,,,,,,,,,,,,,
Krishna,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,151.34,,,,,,,,,,,,,,,,,,,,,,
Guntur,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,141.88,,,,,,,,,,,,,,,,,,,,,,
Prakasam,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,144.94,,,,,,,,,,,,,,,,,,,,,,
Chittoor,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,70.27,,,,,,,,,,,,,,,,,,,,,,
Y.s.r.,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,124.09,,,,,,,,,,,,,,,,,,,,,,
Kurnool,December 2019,,,,,,,,,,,,,,,,,,,,,,,,,120.35,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,90.26,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,85.38,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,180.45,,,,,,,,,,,,,,,,,,,,,,
East Godavari,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,127.76,,,,,,,,,,,,,,,,,,,,,,
West Godavari,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,142.04,,,,,,,,,,,,,,,,,,,,,,
Krishna,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,143.7,,,,,,,,,,,,,,,,,,,,,,
Guntur,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,131.02,,,,,,,,,,,,,,,,,,,,,,
Prakasam,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,141.71,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,128.38,,,,,,,,,,,,,,,,,,,,,,
Chittoor,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,77.34,,,,,,,,,,,,,,,,,,,,,,
Y.s.r.,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,94.25,,,,,,,,,,,,,,,,,,,,,,
Kurnool,March 2020,,,,,,,,,,,,,,,,,,,,,,,,,118.94,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,September 2020,14.7,,,,,,,,,,,,,,,650.0,,,,,58.0,,103.0,332.0,93.32,13211.25,14156.89,,4.58,2573.04,,,182.96,,,7266.76,1324.79,,,,4693.72,,,,9985.16,,
Vizianagaram,September 2020,14.0,,,,,,,,,,,,,,,754.0,,,,,77.0,,88.0,289.0,114.04,13816.54,12115.55,,4.42,1960.27,,,101.14,,,5499.14,1802.79,,,,3538.87,,5604.7,,9415.85,,
Visakhapatanam,September 2020,19.15,,,,,,,,,,,,,,,2500.0,,,,,44.0,451.0,124.0,793.0,200.67,66352.7,33065.56,,6.54,2990.4,,,249.29,,,7723.08,6769.56,,3242.53,,4732.68,,7978.91,,17991.0,,
East Godavari,September 2020,26.22,,,,,,,,,,,,,,,1276.07,,,,,237.0,,285.0,822.0,128.2,59093.63,46093.43,,22.58,9924.96,,,1172.49,,,21903.38,7517.28,,4019.15,,11978.42,,23098.45,,34634.88,,
West Godavari,September 2020,32.91,,,,,,,,,,,,,,,1400.0,,,,,154.0,,267.0,646.0,145.62,36937.67,25365.47,,62.14,5018.12,,,1274.45,,,18694.16,5421.15,,2661.77,,13676.04,,20030.75,,28113.67,,
Krishna,September 2020,16.05,,,,,,,,,,,,,,,3300.0,,,,,113.0,269.0,273.0,905.0,6.0,95557.51,62237.96,,26.45,8408.98,,,832.25,,,19599.62,8746.74,,6439.23,,11190.64,,20458.32,,35644.29,,
Guntur,September 2020,20.01,,,,,,,,,,,,,,,2000.0,,,,,287.0,,260.0,861.0,7.0,46021.22,37352.27,,121.74,7479.26,,,1063.7,,,21724.07,8650.85,,4560.66,,14244.81,,22909.51,,36121.02,,
Prakasam,September 2020,19.93,,,,,,,,,,,,,,,1600.0,,,,,89.0,,197.0,485.0,8.0,23991.08,19041.01,,43.78,4570.4,,,283.37,,,13870.98,3410.54,,1910.59,,9300.58,,14198.13,,19519.26,,
Spsr Nellore,September 2020,33.86,,,,,,,,,,,,,,,850.0,,,,,135.0,,152.0,437.0,9.0,25263.29,21683.63,,14.39,4293.97,,,497.17,,,11237.65,3517.89,,2173.08,,6943.68,,11749.21,,17440.18,,
Chittoor,September 2020,47.1,,,,,,,,,,,,,,,810.01,,,,,194.0,,186.0,635.0,10.0,26324.31,38905.4,,14.95,3926.34,,,251.0,,,14606.25,3746.69,,2213.09,,10679.91,,14872.2,,20831.98,,
Y.s.r.,September 2020,23.3,,,,,,,,,,,,,,,1120.0,,,,,114.0,,125.0,377.0,11.0,19667.86,19574.29,,65.82,3031.45,,,228.24,,,9135.61,2448.35,,1695.85,,6104.16,,9429.67,,13573.87,,
Kurnool,September 2020,18.04,,,,,,,,,,,,,,,1180.0,,,,,176.0,,135.0,484.0,13.0,23937.39,20670.45,,92.58,3442.33,,,434.82,,,11862.41,2947.11,,1902.08,,8420.08,,12389.81,,17239.0,,
Chittoor,June 2021,,4057.0,,82.0,4.0,,703.0,3350.0,,4693.0,869.0,,8.0,9750.0,,,13807.0,22719.0,18026.0,,176.0,184.0,259.0,619.0,78.9,32986.45,41810.17,,64.54,,3341.35,137.77,,11.53,13228.87,,4161.59,2391.07,,9887.51,,13431.18,,19995.37,,,
East Godavari,June 2021,,5615.0,,200.0,10.0,,940.0,5400.0,,6840.0,1460.0,,,10385.0,,,16000.0,29700.0,22860.0,,276.0,237.0,296.0,809.0,126.2,46734.16,37031.74,,236.33,,4741.37,765.21,,89.12,17470.18,,5964.5,2641.4,,12728.81,,18471.72,,27166.74,,,
Guntur,June 2021,,4320.0,,373.0,250.0,,1464.0,5000.0,,5000.0,2500.0,,,15000.0,,,19320.0,31820.0,26820.0,,246.0,292.0,317.0,855.0,125.28,52269.01,41723.0,,48.93,,5123.48,647.91,,61.66,18904.15,,7969.77,3508.24,,13780.67,,19600.99,,31140.66,,,
Krishna,June 2021,,4525.0,,422.0,,,1891.0,7497.0,,17504.0,3301.0,,,12000.0,,,16525.0,44827.0,27324.0,247.0,276.0,111.0,249.0,883.0,180.72,114845.72,63547.94,,193.66,,7009.08,556.09,,46.18,22994.64,,8795.87,7102.18,,15985.56,,23744.39,,39688.63,,,
Kurnool,June 2021,,2241.0,,61.0,4.0,,247.0,1940.0,,3741.0,968.0,,,8287.0,,,10528.0,17177.0,13436.0,,117.0,205.0,160.0,482.0,130.09,26216.84,20153.43,,70.06,,2882.41,101.34,,12.82,12183.35,,3153.32,2133.84,,9300.94,,12354.75,,17654.73,,,
Prakasam,June 2021,,2732.0,,91.0,69.0,,516.0,2723.0,,2892.0,1601.0,,,9523.0,,,12256.0,19471.0,16580.0,,197.0,87.0,198.0,482.0,158.27,27427.26,17329.08,,47.22,,4280.49,160.71,,89.98,15871.77,,4040.45,1991.53,,11591.27,,16079.7,,22201.66,,,
Spsr Nellore,June 2021,,2286.0,,217.0,20.0,,847.0,1755.0,,3942.0,1556.0,,,7001.0,,,9287.0,16541.0,12599.0,,152.0,137.0,149.0,438.0,139.07,25116.72,18060.96,,21.73,,3062.78,356.49,,27.49,10225.74,,3617.29,2146.25,,7162.96,,10603.96,,16395.0,,,
Srikakulam,June 2021,,1833.0,,41.0,2.0,,596.0,1134.0,,1364.0,679.0,,,3904.0,6.0,,5737.0,8914.0,7550.0,,98.0,59.0,175.0,332.0,105.45,12901.81,12234.64,,8.22,,2463.85,36.37,,11.44,6716.36,,1846.48,1983.46,,4252.51,,6760.94,,10602.33,,,
Visakhapatanam,June 2021,,1651.0,,100.0,700.0,,1511.0,6600.0,,14000.0,3075.0,,8.0,3950.0,6.0,,5601.0,29276.0,15276.0,,,,,,123.27,74517.84,60448.76,,44.33,,3631.2,440.77,,15.41,10863.51,,9104.39,4451.78,,7232.3,,11348.61,,24920.19,,,
Vizianagaram,June 2021,,1283.0,,50.0,5.0,,550.0,710.0,,1045.0,650.0,,,3061.0,,,4344.0,6749.0,5704.0,,92.0,74.0,126.0,292.0,110.24,11087.15,10057.07,,9.53,,1623.41,25.03,,5.79,6651.8,,1741.92,2789.58,,5028.4,,6686.36,,11223.65,,,
West Godavari,June 2021,,3240.0,,106.0,,,600.0,3350.0,,3800.0,1666.0,,5.0,11300.0,,,14540.0,23356.0,19556.0,,262.0,145.0,227.0,634.0,146.67,38345.18,26143.64,,91.41,,4705.44,619.32,,59.64,18070.75,,4689.49,2770.06,,13365.31,,18781.48,,26300.66,,,
Y.s.r.,June 2021,,2430.0,,26.0,,,332.0,1800.0,,2900.0,1140.0,,,6600.0,,,9030.0,14870.0,11970.0,,121.0,116.0,137.0,374.0,107.85,20203.49,18733.33,,43.56,,2866.67,1402.8,,7.16,8901.09,,2716.88,1908.57,,6034.42,,10347.45,,14980.07,,,
Anantapur,June 2021,,,,,,,,,,,,,,,,,,,,,137.0,172.0,170.0,479.0,,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,121.4,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,120.55,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,111.97,,,,,,,,,,,,,,,,,,,,,,
East Godavari,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,129.05,,,,,,,,,,,,,,,,,,,,,,
West Godavari,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,144.52,,,,,,,,,,,,,,,,,,,,,,
Krishna,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,196.94,,,,,,,,,,,,,,,,,,,,,,
Guntur,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,132.1,,,,,,,,,,,,,,,,,,,,,,
Prakasam,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,166.8,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,146.03,,,,,,,,,,,,,,,,,,,,,,
Chittoor,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,83.05,,,,,,,,,,,,,,,,,,,,,,
Y.s.r.,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,116.5,,,,,,,,,,,,,,,,,,,,,,
Anantapur,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,122.88,,,,,,,,,,,,,,,,,,,,,,
Kurnool,September 2021,,,,,,,,,,,,,,,,,,,,,,,,,141.61,,,,,,,,,,,,,,,,,,,,,,
Anantapur,December 2021,,,,,,,,,,,,,,,,,,,,,,,,,127.81,29993.08,23466.17,,,,,,,,,,,,,,,,,,,,
Chittoor,December 2021,,,4057.0,82.0,,4.0,703.0,3350.0,2.0,4693.0,,865.0,8.0,9750.0,,,13807.0,22719.0,18026.0,3.0,180.0,190.0,263.0,636.0,84.54,35723.0,42255.12,331.28,,,3904.88,419.61,,0.0,15539.94,,4307.95,2349.64,,11635.06,,16290.83,,22948.42,,,
East Godavari,December 2021,,,5615.0,200.0,,,940.0,5400.0,3.0,6840.0,,1450.0,,10385.0,,,16000.0,29700.0,22860.0,2.0,286.0,236.0,301.0,825.0,132.2,50625.35,38293.49,478.95,,,5455.13,2280.98,,0.03,17964.65,,6865.52,3298.61,,12509.53,,20724.59,,30888.75,,,
Guntur,December 2021,,,4320.0,373.0,,,1464.0,5000.0,4.0,5000.0,,2250.0,,15000.0,,,19320.0,31820.0,26820.0,2.0,249.0,296.0,323.0,870.0,139.92,61505.53,43957.27,315.64,,,5617.82,2280.76,,70.8,20568.08,,10009.49,3882.7,,14950.26,,23164.47,,37127.47,,,
Y.s.r.,December 2021,,,2430.0,26.0,,,332.0,1800.0,13.0,2900.0,,1140.0,,6600.0,,,,14870.0,11970.0,1.0,121.0,120.0,138.0,380.0,192.08,124954.32,65054.49,206.97,,,3621.06,93.5,,0.0,10088.14,,2628.98,1546.26,,6467.08,,10388.62,,14563.86,,,
Krishna,December 2021,,,4525.0,422.0,,,1891.0,7497.0,5.0,,,3301.0,,12000.0,,,16525.0,44827.0,27324.0,251.0,275.0,113.0,249.0,888.0,141.99,28158.21,19830.61,282.72,,,8182.86,1014.45,,0.0,23130.46,,12458.87,5162.72,,14947.6,,24427.64,,42049.23,,,
Kurnool,December 2021,,,2241.0,61.0,,4.0,247.0,1940.0,6.0,3741.0,,964.0,,8287.0,,,10528.0,17177.0,13436.0,1.0,120.0,204.0,160.0,485.0,172.3,30348.33,17613.15,139.22,,,3843.56,265.45,,0.0,13855.9,,3344.87,2297.83,,10012.35,,14260.57,,19903.27,,,
Spsr Nellore,December 2021,,,2286.0,217.0,,,847.0,1755.0,8.0,3942.0,,1536.0,,7001.0,,,,16541.0,12599.0,1.0,156.0,136.0,149.0,442.0,149.38,27927.03,18695.24,195.19,,,3468.59,593.6,,1.26,11135.4,,4225.02,2166.01,,7666.81,,11924.19,,18316.48,,,
Prakasam,December 2021,,,2732.0,91.0,,,516.0,2723.0,7.0,2892.0,,1532.0,,9523.0,,,12256.0,19471.0,16580.0,1.0,200.0,86.0,200.0,487.0,123.97,14888.9,12010.41,101.6,,,5006.75,250.84,,29.19,17210.22,,3939.3,3249.63,,12203.46,,17562.65,,24780.78,,,
Srikakulam,December 2021,,,1833.0,41.0,,2.0,596.0,1134.0,9.0,1364.0,,678.0,,3904.0,6.0,,,8914.0,,1.0,102.0,61.0,176.0,340.0,128.02,78973.1,61689.08,49.66,,,3022.37,105.19,,0.0,7889.71,,1629.94,1738.89,,4867.34,,8044.56,,11413.39,,,
Vizianagaram,December 2021,,,1283.0,50.0,,5.0,550.0,710.0,11.0,1045.0,,645.0,,3061.0,,,,6749.0,,1.0,92.0,75.0,127.0,295.0,155.28,40679.32,26197.82,109.42,,,1929.56,56.66,,0.0,5487.4,,1321.66,2005.52,,3557.84,,5653.48,,8980.67,,,
West Godavari,December 2021,,,3240.0,106.0,,,600.0,3350.0,12.0,3800.0,,1666.0,5.0,11300.0,,,14540.0,23356.0,19556.0,2.0,267.0,145.0,228.0,642.0,117.51,22344.66,19015.71,199.5,,,5464.31,1501.64,,27.99,18743.86,,5675.35,3560.54,,13279.55,,20444.99,,29708.88,,,
Visakhapatanam,December 2021,,,1651.0,100.0,,,1511.0,6600.0,10.0,,,2375.0,8.0,3950.0,6.0,,,29276.0,15276.0,451.0,113.0,38.0,176.0,778.0,,,,462.32,,,4005.28,775.63,,34.41,11346.86,,11256.47,4074.44,,7341.58,,12584.8,,27950.12,,,
Chittoor,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,93.19,,,,,,,,,,,,,,,,,,,,,,
East Godavari,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,144.45,,,,,,,,,,,,,,,,,,,,,,
Guntur,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,116.04,,,,,,,,,,,,,,,,,,,,,,
Krishna,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,209.57,,,,,,,,,,,,,,,,,,,,,,
Kurnool,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,148.36,,,,,,,,,,,,,,,,,,,,,,
Prakasam,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,160.18,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,148.26,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,128.66,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,114.22,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,118.5,,,,,,,,,,,,,,,,,,,,,,
West Godavari,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,145.34,,,,,,,,,,,,,,,,,,,,,,
Y.s.r.,March 2022,,,,,,,,,,,,,,,,,,,,,,,,,131.33,,,,,,,,,,,,,,,,,,,,,,
Alluri Sitharama Raju,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,
Anakapalli,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,
Anantapur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,
Annamayya,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,
