district,kcc_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Khagaria,33472,14.44,29015,14.44,31.90,14.44,57485,14.44,29015,14.44,31.90,14.44,90957,14.44,29015,14.44,31.90,14.44
Kishanganj,13826,97.36,51954,97.36,140.91,97.36,23044,97.36,51954,97.36,140.91,97.36,36870,97.36,51954,97.36,140.91,97.36
Lakhisarai,23772,9.15,8212,9.15,15.36,9.15,29695,9.15,8212,9.15,15.36,9.15,53467,9.15,8212,9.15,15.36,9.15
Madhepura,33982,32.46,32734,32.46,43.49,32.46,41280,32.46,32734,32.46,43.49,32.46,75262,32.46,32734,32.46,43.49,32.46
Madhubani,47559,46.55,99134,46.55,70.64,46.55,92784,46.55,99134,46.55,70.64,46.55,140343,46.55,99134,46.55,70.64,46.55
Munger,13724,16.91,10822,16.91,29.55,16.91,22904,16.91,10822,16.91,29.55,16.91,36628,16.91,10822,16.91,29.55,16.91
Muzaffarpur,59487,43.30,124834,43.30,71.23,43.30,115770,43.30,124834,43.30,71.23,43.30,175257,43.30,124834,43.30,71.23,43.30
Nalanda,47303,7.88,13398,7.88,12.39,7.88,60810,7.88,13398,7.88,12.39,7.88,108113,7.88,13398,7.88,12.39,7.88
Nawada,34329,13.83,17853,13.83,21.30,13.83,49507,13.83,17853,13.83,21.30,13.83,83836,13.83,17853,13.83,21.30,13.83
Pashchim Champaran,36632,84.79,115191,84.79,123.85,84.79,56380,84.79,115191,84.79,123.85,84.79,93012,84.79,115191,84.79,123.85,84.79
Patna,86569,7.58,16523,7.58,6.62,7.58,163105,7.58,16523,7.58,6.62,7.58,249674,7.58,16523,7.58,6.62,7.58
Purbi Champaran,77433,52.02,143415,52.02,75.45,52.02,112645,52.02,143415,52.02,75.45,52.02,190078,52.02,143415,52.02,75.45,52.02
Purnia,39829,67.16,75129,67.16,71.14,67.16,65776,67.16,75129,67.16,71.14,67.16,105605,67.16,75129,67.16,71.14,67.16
Rohtas,61787,13.12,18867,13.12,13.88,13.12,74148,13.12,18867,13.12,13.88,13.12,135935,13.12,18867,13.12,13.88,13.12
Saharsa,38197,37.51,41724,37.51,49.29,37.51,46449,37.51,41724,37.51,49.29,37.51,84646,37.51,41724,37.51,49.29,37.51
Samastipur,62798,28.54,78753,28.54,56.21,28.54,77310,28.54,78753,28.54,56.21,28.54,140108,28.54,78753,28.54,56.21,28.54
Saran,57276,32.91,62053,32.91,46.70,32.91,75610,32.91,62053,32.91,46.70,32.91,132886,32.91,62053,32.91,46.70,32.91
Sheikhpura,10958,20.72,6765,20.72,26.96,20.72,14134,20.72,6765,20.72,26.96,20.72,25092,20.72,6765,20.72,26.96,20.72
Sheohar,6384,47.53,15704,47.53,64.25,47.53,18057,47.53,15704,47.53,64.25,47.53,24441,47.53,15704,47.53,64.25,47.53
Sitamarhi,25470,43.41,63533,43.41,68.79,43.41,66890,43.41,63533,43.41,68.79,43.41,92360,43.41,63533,43.41,68.79,43.41
Siwan,49951,30.65,64297,30.65,47.35,30.65,85840,30.65,64297,30.65,47.35,30.65,135791,30.65,64297,30.65,47.35,30.65
Supaul,32338,49.74,48872,49.74,67.44,49.74,40132,49.74,48872,49.74,67.44,49.74,72470,49.74,48872,49.74,67.44,49.74
Vaishali,38418,55.83,76833,55.83,76.79,55.83,61640,55.83,76833,55.83,76.79,55.83,100058,55.83,76833,55.83,76.79,55.83
