District,KCC - AH NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% NO.,AMT,KCC - AH RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL KCC - AH (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% NO.,AMT
Purnia,4470,35.73,200,1.86,4.47,5.21,292,2.28,994,5.28,340.41,231.58,4762,38.01,1194,7.11,25.07,18.71
Rohtas,3748,29.97,274,2.43,7.31,8.11,247,1.91,364,1.54,147.37,80.63,3995,31.88,638,3.96,15.97,12.42
Saharsa,1469,11.71,378,3.95,25.73,33.73,99,0.75,1096,9.44,1107.07,1258.67,1568,12.46,1474,13.38,94.01,107.38
Samastipur,6698,53.51,3167,35.29,47.28,65.95,439,3.42,4793,27.32,1091.80,798.83,7137,56.93,7960,62.53,111.53,109.84
Saran,8906,71.2,589,5.32,6.61,7.47,572,4.54,1752,11.84,306.29,260.79,9478,75.74,2341,17.15,24.70,22.64
Sheikhpura,1525,12.15,633,4.74,41.51,39.01,108,0.78,691,4.17,639.81,534.62,1633,12.93,1324,8.88,81.08,68.68
Sheohar,1265,10.07,764,8.56,60.40,85.00,91,0.64,954,19.20,1048.35,3000.00,1356,10.71,1718,27.80,126.70,259.57
Sitamarhi,4006,31.99,1207,10.69,30.13,33.42,264,2.04,2178,16.17,825.00,792.65,4270,34.03,3385,26.90,79.27,79.05
Siwan,5017,40.09,525,3.85,10.46,9.60,330,2.56,1910,17.84,578.79,696.88,5347,42.65,2435,21.70,45.54,50.88
Supaul,1998,15.9,414,2.19,20.72,13.77,138,1.02,279,3.12,202.17,305.88,2136,16.92,693,5.25,32.44,31.03
Vaishali,4918,39.29,574,6.77,11.67,17.23,324,2.51,2801,34.58,864.51,1377.69,5242,41.8,3375,41.43,64.38,99.11
