district,shishu_loans_up_to_rs_50_000_outstanding_no,amt,out_of_which_under_npa_no,amt,kishore_loans_from_rs_50_001_to_rs_5_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,tarun_loans_from_rs_5_00_to_rs_10_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,total_loans_up_to_rs_10_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,age_npa_no,amt
Nawada,59253,12.53,18924,12.53,56990,12.53,18924,12.53,3576,12.53,18924,12.53,119819,12.53,18924,12.53,15.79,12.53
Pashchim Champaran,145589,7.90,42346,7.90,124011,7.90,42346,7.90,8336,7.90,42346,7.90,277936,7.90,42346,7.90,15.24,7.90
Patna,677202,11.72,117829,11.72,247711,11.72,117829,11.72,20130,11.72,117829,11.72,945043,11.72,117829,11.72,12.47,11.72
Purbi Champaran,129772,9.55,48967,9.55,131996,9.55,48967,9.55,11650,9.55,48967,9.55,273418,9.55,48967,9.55,17.91,9.55
Purnia,95889,6.92,24509,6.92,121486,6.92,24509,6.92,8121,6.92,24509,6.92,225496,6.92,24509,6.92,10.87,6.92
Rohtas,97355,17.26,34995,17.26,69391,17.26,34995,17.26,5368,17.26,34995,17.26,172114,17.26,34995,17.26,20.33,17.26
Saharsa,59726,9.93,21975,9.93,60169,9.93,21975,9.93,3540,9.93,21975,9.93,123435,9.93,21975,9.93,17.80,9.93
Samastipur,172369,10.96,58511,10.96,163043,10.96,58511,10.96,5579,10.96,58511,10.96,340991,10.96,58511,10.96,17.16,10.96
Saran,140369,9.00,45501,9.00,148285,9.00,45501,9.00,13882,9.00,45501,9.00,302536,9.00,45501,9.00,15.04,9.00
Sheikhpura,14849,10.67,3585,10.67,12990,10.67,3585,10.67,1129,10.67,3585,10.67,28968,10.67,3585,10.67,12.38,10.67
Sheohar,14430,13.73,6128,13.73,11378,13.73,6128,13.73,1087,13.73,6128,13.73,26895,13.73,6128,13.73,22.78,13.73
Sitamarhi,85223,10.38,35610,10.38,82886,10.38,35610,10.38,7088,10.38,35610,10.38,175197,10.38,35610,10.38,20.33,10.38
Siwan,125365,7.52,30657,7.52,112018,7.52,30657,7.52,7039,7.52,30657,7.52,244422,7.52,30657,7.52,12.54,7.52
Supaul,39075,8.60,18126,8.60,46757,8.60,18126,8.60,4725,8.60,18126,8.60,90557,8.60,18126,8.60,20.02,8.60
Vaishali,155054,8.24,46492,8.24,150541,8.24,46492,8.24,11591,8.24,46492,8.24,317186,8.24,46492,8.24,14.66,8.24
