district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_infrastructure_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Munger,1721.64,31.69,31.69,1641.70,31.69,31.69,0.00,31.69,31.69,47.77,31.69,31.69,112.31,31.69,31.69,32.43,31.69,31.69,0.72,31.69,31.69,167.82,31.69,31.69,3724.39,31.69,31.69
Muzaffarpur,5368.16,67.51,67.51,5583.63,67.51,67.51,0.00,67.51,67.51,182.33,67.51,67.51,214.62,67.51,67.51,582.41,67.51,67.51,15.91,67.51,67.51,280.59,67.51,67.51,12227.65,67.51,67.51
Nalanda,3461.58,48.69,48.69,2676.51,48.69,48.69,0.00,48.69,48.69,91.73,48.69,48.69,141.36,48.69,48.69,227.10,48.69,48.69,55.28,48.69,48.69,136.71,48.69,48.69,6790.27,48.69,48.69
Nawada,1868.36,53.84,53.84,1421.62,53.84,53.84,0.00,53.84,53.84,40.38,53.84,53.84,160.01,53.84,53.84,279.57,53.84,53.84,17.37,53.84,53.84,50.27,53.84,53.84,3837.58,53.84,53.84
Pashchim Champaran,2996.91,61.44,61.44,2562.91,61.44,61.44,0.00,61.44,61.44,104.55,61.44,61.44,63.58,61.44,61.44,51.81,61.44,61.44,8.11,61.44,61.44,383.13,61.44,61.44,6171.00,61.44,61.44
Patna,6998.67,95.91,95.91,19653.02,95.91,95.91,0.00,95.91,95.91,701.25,95.91,95.91,3890.03,95.91,95.91,322.83,95.91,95.91,103.96,95.91,95.91,593.67,95.91,95.91,32263.43,95.91,95.91
Purbi Champaran,4585.68,65.15,65.15,3560.45,65.15,65.15,0.00,65.15,65.15,131.95,65.15,65.15,207.18,65.15,65.15,193.20,65.15,65.15,110.87,65.15,65.15,202.44,65.15,65.15,8991.77,65.15,65.15
Purnia,3387.02,69.84,69.84,3136.49,69.84,69.84,0.00,69.84,69.84,148.75,69.84,69.84,366.18,69.84,69.84,277.28,69.84,69.84,50.24,69.84,69.84,440.13,69.84,69.84,7806.09,69.84,69.84
Rohtas,3236.04,58.54,58.54,2796.50,58.54,58.54,0.00,58.54,58.54,85.00,58.54,58.54,164.90,58.54,58.54,176.37,58.54,58.54,15.10,58.54,58.54,96.13,58.54,58.54,6570.04,58.54,58.54
Saharsa,1691.67,59.45,59.45,1318.05,59.45,59.45,0.00,59.45,59.45,33.57,59.45,59.45,55.25,59.45,59.45,6.95,59.45,59.45,73.70,59.45,59.45,80.16,59.45,59.45,3259.35,59.45,59.45
Samastipur,4184.91,55.75,55.75,3517.88,55.75,55.75,0.00,55.75,55.75,140.63,55.75,55.75,232.56,55.75,55.75,105.45,55.75,55.75,10.16,55.75,55.75,183.43,55.75,55.75,8375.02,55.75,55.75
Saran,3851.56,39.85,39.85,3346.16,39.85,39.85,0.00,39.85,39.85,251.60,39.85,39.85,646.00,39.85,39.85,319.77,39.85,39.85,44.54,39.85,39.85,300.71,39.85,39.85,8760.34,39.85,39.85
Sheikhpura,792.36,38.81,38.81,693.46,38.81,38.81,0.00,38.81,38.81,23.58,38.81,38.81,38.67,38.81,38.81,25.78,38.81,38.81,10.91,38.81,38.81,49.95,38.81,38.81,1634.71,38.81,38.81
Sheohar,687.83,34.42,34.42,586.50,34.42,34.42,0.00,34.42,34.42,15.13,34.42,34.42,26.90,34.42,34.42,13.30,34.42,34.42,1.91,34.42,34.42,60.00,34.42,34.42,1391.57,34.42,34.42
Sitamarhi,2335.03,51.27,51.27,2008.13,51.27,51.27,0.00,51.27,51.27,43.18,51.27,51.27,79.69,51.27,51.27,6.81,51.27,51.27,50.36,51.27,51.27,241.50,51.27,51.27,4764.70,51.27,51.27
Siwan,3667.92,61.02,61.02,2944.35,61.02,61.02,0.00,61.02,61.02,129.71,61.02,61.02,314.60,61.02,61.02,177.95,61.02,61.02,34.92,61.02,61.02,234.18,61.02,61.02,7503.63,61.02,61.02
Supaul,1681.94,49.32,49.32,1603.35,49.32,49.32,0.00,49.32,49.32,42.07,49.32,49.32,76.33,49.32,49.32,10.06,49.32,49.32,102.30,49.32,49.32,61.27,49.32,49.32,3577.32,49.32,49.32
Vaishali,3801.66,86.61,86.61,2154.60,86.61,86.61,0.00,86.61,86.61,551.88,86.61,86.61,657.00,86.61,86.61,289.27,86.61,86.61,79.19,86.61,86.61,199.92,86.61,86.61,7733.52,86.61,86.61
