District,"1 AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"2 MSME TOTAL
0/S","TOTAL
NPA",%AGE,"3 OPS TOTAL
0/S","TOTAL
NPA",%AGE,4 TOTAL PRIORITY SECTOR TOTAL 0/S,"TOTAL
NPA",%AGE,5 NPS TOTAL 0/S,"TOTAL
NPA",%AGE,6 NPA IN TOTAL ADVANCE TOTAL 0/S,"TOTAL
NPA",%AGE
Nawada,1669.92,408.66,24.47,775.91,84.14,10.84,274.01,19.88,7.26,2719.84,512.68,18.85,1448.00,25.89,1.79,4167.63,538.57,12.92
Pashchim Champaran,2897.17,419.48,14.48,1577.26,117.34,7.44,397.73,43.64,10.97,4872.17,580.46,11.91,2725.00,49.23,1.81,7597.19,629.69,8.29
Patna,13315.60,1215.79,9.13,18244.32,1186.40,6.50,4950.35,116.31,2.35,36510.28,2518.50,6.90,54131.00,716.81,1.32,90641.64,3235.31,3.57
Purbi Champaran,4667.38,736.21,15.77,2362.50,150.67,6.38,530.16,45.75,8.63,7560.04,932.63,12.34,3948.00,83.83,2.12,11508.12,1016.46,8.83
Purnia,2905.04,479.78,16.52,2796.65,128.46,4.59,609.52,29.37,4.82,6311.20,637.61,10.10,3578.00,58.31,1.63,9889.15,695.92,7.04
Rohtas,2549.27,808.05,31.70,1678.60,224.72,13.39,411.71,46.29,11.24,4639.58,1079.06,23.26,2502.00,46.95,1.88,7141.36,1126.01,15.77
Saharsa,1465.78,235.38,16.06,881.43,73.99,8.39,161.39,13.34,8.27,2508.60,322.71,12.86,1473.00,23.46,1.59,3981.62,346.17,8.69
Samastipur,3465.71,684.19,19.74,2117.77,143.77,6.79,494.30,38.17,7.72,6077.79,866.13,14.25,3321.00,84.18,2.53,9398.98,950.31,10.11
Saran,2743.53,401.70,14.64,1604.95,168.55,10.50,426.83,32.44,7.60,4775.31,602.69,12.62,2978.00,52.91,1.78,7753.49,655.60,8.46
Sheikhpura,525.63,117.44,22.34,306.20,32.71,10.68,82.64,8.05,9.74,914.47,158.20,17.30,543.00,8.94,1.65,1457.14,167.14,11.47
Sheohar,511.54,75.55,14.77,176.58,30.18,17.09,37.14,4.04,10.88,725.26,109.77,15.14,348.00,9.17,2.64,1072.88,118.94,11.09
Sitamarhi,1976.62,350.70,17.74,1189.59,95.54,8.03,247.32,20.94,8.47,3413.53,467.18,13.69,1997.00,41.17,2.06,5410.07,508.35,9.40
Siwan,3849.25,349.76,9.09,1582.90,119.14,7.53,401.92,31.12,7.74,5834.08,500.02,8.57,2376.00,40.37,1.70,8210.52,540.39,6.58
Supaul,1468.13,311.02,21.18,691.02,58.57,8.48,123.68,15.59,12.61,2282.83,385.18,16.87,1612.00,20.76,1.29,3894.99,405.94,10.42
Vaishali,5736.05,438.11,7.64,1822.88,134.27,7.37,459.48,40.07,8.72,8018.41,612.45,7.64,3241.00,83.05,2.56,11259.51,695.50,6.18
