district,kcc_ah_new_target_no,amt,disbursed_no,amt,no,amt,kcc_ah_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_ah_new_renew_target_no,amt,disbursed_no,amt,no,amt
Khagaria,3418,118.35,5030,118.35,137.96,118.35,228,118.35,5030,118.35,1432.46,118.35,3646,118.35,5030,118.35,137.96,118.35
Kishanganj,3555,26.26,1379,26.26,36.41,26.26,232,26.26,1379,26.26,472.84,26.26,3787,26.26,1379,26.26,36.41,26.26
Lakhisarai,3374,46.41,1738,46.41,48.34,46.41,221,46.41,1738,46.41,531.67,46.41,3595,46.41,1738,46.41,48.34,46.41
Madhepura,2366,41.97,1528,41.97,60.49,41.97,160,41.97,1528,41.97,563.13,41.97,2526,41.97,1528,41.97,60.49,41.97
Madhubani,6656,34.77,2413,34.77,34.04,34.77,433,34.77,2413,34.77,281.29,34.77,7089,34.77,2413,34.77,34.04,34.77
Munger,4571,34.74,1825,34.74,37.49,34.74,297,34.74,1825,34.74,362.63,34.74,4868,34.74,1825,34.74,37.49,34.74
Muzaffarpur,11993,76.27,6551,76.27,51.32,76.27,771,76.27,6551,76.27,559.01,76.27,12764,76.27,6551,76.27,51.32,76.27
Nalanda,5713,30.35,2251,30.35,37.01,30.35,369,30.35,2251,30.35,312.74,30.35,6082,30.35,2251,30.35,37.01,30.35
Nawada,3013,26.75,1357,26.75,42.23,26.75,200,26.75,1357,26.75,243.50,26.75,3213,26.75,1357,26.75,42.23,26.75
Pashchim Champaran,5865,97.21,5597,97.21,89.62,97.21,380,97.21,5597,97.21,957.63,97.21,6245,97.21,5597,97.21,89.62,97.21
Patna,18523,12.67,2108,12.67,10.69,12.67,1192,12.67,2108,12.67,106.04,12.67,19715,12.67,2108,12.67,10.69,12.67
Purbi Champaran,3941,273.10,7599,273.10,180.93,273.10,259,273.10,7599,273.10,1981.08,273.10,4200,273.10,7599,273.10,180.93,273.10
Purnia,4470,18.71,1194,18.71,25.07,18.71,292,18.71,1194,18.71,340.41,18.71,4762,18.71,1194,18.71,25.07,18.71
Rohtas,3748,12.42,638,12.42,15.97,12.42,247,12.42,638,12.42,147.37,12.42,3995,12.42,638,12.42,15.97,12.42
Saharsa,1469,107.38,1474,107.38,94.01,107.38,99,107.38,1474,107.38,1107.07,107.38,1568,107.38,1474,107.38,94.01,107.38
Samastipur,6698,109.84,7960,109.84,111.53,109.84,439,109.84,7960,109.84,1091.80,109.84,7137,109.84,7960,109.84,111.53,109.84
Saran,8906,22.64,2341,22.64,24.70,22.64,572,22.64,2341,22.64,306.29,22.64,9478,22.64,2341,22.64,24.70,22.64
Sheikhpura,1525,68.68,1324,68.68,81.08,68.68,108,68.68,1324,68.68,639.81,68.68,1633,68.68,1324,68.68,81.08,68.68
Sheohar,1265,259.57,1718,259.57,126.70,259.57,91,259.57,1718,259.57,1048.35,259.57,1356,259.57,1718,259.57,126.70,259.57
Sitamarhi,4006,79.05,3385,79.05,79.27,79.05,264,79.05,3385,79.05,825.00,79.05,4270,79.05,3385,79.05,79.27,79.05
Siwan,5017,50.88,2435,50.88,45.54,50.88,330,50.88,2435,50.88,578.79,50.88,5347,50.88,2435,50.88,45.54,50.88
Supaul,1998,31.03,693,31.03,32.44,31.03,138,31.03,693,31.03,202.17,31.03,2136,31.03,693,31.03,32.44,31.03
Vaishali,4918,99.11,3375,99.11,64.38,99.11,324,99.11,3375,99.11,864.51,99.11,5242,99.11,3375,99.11,64.38,99.11
