District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Mancherial,166918.0,14.3,279.3,152.32,17.95,198.1,203.0,342.39,164.49,1453.16,633.71,116.92,84000.0,959.16,150.71,4240.67,1967.51,140.46,5.12,9.06,208.15,542.01,636.44,1400.78
Medak,245758.0,26.08,665.3,211.39,6.53,80.12,118.0,137.5,94.92,689.05,378.53,236.26,64398.0,523.59,107.97,2178.8,1072.23,133.68,3.92,8.15,144.86,160.22,484.95,802.1
Medchal Malkajgiri,128092.0,381.39,199.5,164.99,494.09,215.5,5477.0,14201.48,181.03,54100.99,12402.23,162.95,1723031.0,32120.89,237.85,115005.94,59600.08,202.85,191.22,229.33,7844.79,7610.84,13504.6,29380.8
Mulugu,80286.0,0.43,0.0,75.45,1.27,111.4,21.0,32.43,90.31,87.81,141.44,397.08,11044.0,128.41,92.96,463.12,303.98,144.2,0.0,1.14,35.91,35.62,138.14,210.81
Nagarkurnool,318196.0,12.3,198.4,282.6,12.87,182.8,179.0,154.14,161.25,542.37,492.38,335.36,46484.0,462.81,98.45,1942.41,1134.5,156.32,6.2,7.04,95.59,146.82,470.1,725.75
Nalgonda,591816.0,83.12,426.0,524.91,59.13,124.4,952.0,687.78,161.09,2788.47,1541.68,301.92,175759.0,2344.07,132.31,8843.41,4715.78,169.86,19.51,47.55,426.95,510.63,1771.69,2776.33
Narayanpet,169924.0,3.58,17900.0,125.35,2.92,85.88,60.0,48.41,138.99,171.4,202.61,598.02,15245.0,186.66,138.39,747.99,444.18,214.57,0.02,3.4,34.83,33.88,134.88,207.01
Nirmal,217062.0,23.88,518.0,210.72,12.18,109.6,187.0,180.04,158.78,706.39,413.6,100.08,43902.0,577.35,180.07,2339.18,1207.05,139.87,4.61,11.11,113.39,413.26,320.62,862.99
Nizamabad,499517.0,92.91,670.4,503.76,62.67,159.3,937.0,802.72,166.66,3355.24,1329.42,159.11,164874.0,1929.81,154.11,8785.24,4217.53,160.81,13.86,39.35,481.66,835.55,1252.23,2622.65
Peddapalli,189940.0,38.12,175.9,223.82,20.84,118.6,335.0,266.79,151.37,1105.39,502.83,147.15,84845.0,862.22,141.17,3401.88,1690.8,144.76,21.67,17.57,176.25,341.71,610.77,1167.97
Rajanna Sircilla,134190.0,22.23,922.4,194.24,11.87,129.2,222.0,155.82,111.89,657.88,275.86,103.5,61181.0,527.49,168.25,1927.2,993.27,135.89,2.41,9.19,139.26,266.54,313.52,730.92
Ranga Reddy,396049.0,726.98,182.2,400.11,527.42,173.6,5916.0,9575.29,177.07,32248.04,7323.01,225.79,751898.0,34029.77,208.84,85058.28,52182.47,203.45,398.92,303.79,5407.54,3243.31,16294.8,25648.3
Sangareddy,320878.0,44.3,464.4,260.18,58.55,188.5,741.0,4165.57,159.72,14029.15,2067.3,207.73,185772.0,3522.67,83.09,22699.97,9858.39,125.05,9.54,31.06,2608.09,995.18,4239.53,7883.4
Siddipet,332994.0,106.5,296.0,249.15,19.23,120.5,317.0,404.13,165.11,1493.0,750.47,394.32,79308.0,861.2,163.31,4003.64,2141.53,211.12,35.98,15.96,244.77,190.32,527.35,1014.38
Suryapet,449804.0,59.54,610.0,501.81,36.04,125.4,670.0,498.17,160.78,2106.03,816.9,382.66,90501.0,1059.29,122.93,5190.24,2469.94,173.51,9.76,28.75,309.84,213.48,861.67,1423.5
Vikarabad,284656.0,4.39,219.5,285.97,11.01,277.3,105.0,128.93,197.99,453.18,369.07,204.9,113898.0,708.7,181.53,2072.37,1222.1,190.47,2.0,3.97,65.12,180.12,390.41,641.62
Wanaparthy,175749.0,3.18,175.7,136.55,6.84,127.4,135.0,121.87,173.8,531.06,373.99,446.34,26225.0,297.2,124.07,1600.32,803.08,200.45,1.81,5.37,70.12,83.79,239.55,400.64
Warangal,234972.0,21.69,80.81,240.92,34.53,132.5,493.0,455.98,150.99,1746.07,744.41,242.36,120565.0,1592.15,146.14,5695.03,2848.76,162.65,26.84,26.06,302.0,307.15,1089.44,1751.49
Yadadri Bhuvanagiri,243304.0,30.04,351.4,197.81,20.83,178.5,265.0,206.84,131.96,872.98,672.35,461.4,57162.0,645.87,145.62,2854.96,1575.93,205.68,8.55,11.67,156.75,145.72,443.52,766.21
