district,period,agriculture_npa__agri_npa_accounts,agriculture_npa__agri_npa_amt,agriculture_npa__agri_npa_pct_accounts,agriculture_npa__agri_npa_pct_amt,agriculture_npa__agri_os_accounts,agriculture_npa__agri_os_amt,aif__aif_achievement_pct,aif__aif_cumulative_disbursed_amt,aif__aif_cumulative_disbursed_no,aif__aif_cumulative_sanctions_amt,aif__aif_cumulative_sanctions_no,aif__aif_target_amt,aif__aif_target_no,apamvm__apamvm_pending,apamvm__apamvm_rejected,apamvm__apamvm_sanctioned,apamvm__apamvm_targets,apy__apy_annual_target,apy__apy_branches,apy__apy_cumulative,apy__apy_opened_fy,bca__bca_active,bca__bca_female,bca__bca_inactive,bca__bca_male,bca__bca_total,branch_network__total_branch,cd_ratio_detailed__advances_rural,cd_ratio_detailed__advances_semi_urban,cd_ratio_detailed__advances_urban,cd_ratio_detailed__deposit_rural,cd_ratio_detailed__deposit_semi_urban,cd_ratio_detailed__deposit_urban,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,education_loan__eduloan_achievement_pct,education_loan__eduloan_priority_ach_accounts,education_loan__eduloan_priority_ach_amt,education_loan__eduloan_priority_target_accounts,education_loan__eduloan_priority_target_amt,education_loan__eduloan_total_ach_accounts,education_loan__eduloan_total_ach_amt,education_loan__eduloan_total_target_accounts,education_loan__eduloan_total_target_amt,kcc__kcc_npa_amt,kcc__kcc_npa_no,kcc__kcc_npa_pct_no,kcc__kcc_os_amt,kcc__kcc_os_no,kcc__kcc_overdue_amt,kcc__kcc_overdue_no,kcc__kcc_overdue_pct_no,msme_npa__msme_npa_accounts,msme_npa__msme_npa_amt,msme_npa__msme_npa_pct,msme_npa__msme_os_accounts,msme_npa__msme_os_amt,mudra__mudra_kishore_accounts,mudra__mudra_kishore_amt,mudra__mudra_shishu_accounts,mudra__mudra_shishu_amt,mudra__mudra_tarun_accounts,mudra__mudra_tarun_amt,mudra__mudra_total_accounts,mudra__mudra_total_disbursed,mudra__mudra_total_sanctioned,nwr__nwr_disb_accounts,nwr__nwr_disb_amt,nwr__nwr_os_accounts,nwr__nwr_os_amt,pm_kisan_kcc__kcc_accounts,pm_kisan_kcc__kcc_amt,pm_kisan_kcc__pm_kisan_beneficiaries,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_aadhaar_seeding_pct,pmjdy__pmjdy_rupay_card_issued,pmjdy__pmjdy_total_accounts,pmjdy__pmjdy_total_deposit,pmjjby__pmjjby_enrolment_current,pmjjby__pmjjby_enrolment_prev,pmjjby__pmjjby_qoq_increase,pmsby__pmsby_enrolment_current,pmsby__pmsby_enrolment_prev,pmsby__pmsby_qoq_increase,pmsvanidhi__pmsvanidhi_applications,pmsvanidhi__pmsvanidhi_disbursed,pmsvanidhi__pmsvanidhi_sanctioned,sc_st_loans__sc_disb_accounts,sc_st_loans__sc_disb_amt,sc_st_loans__sc_os_accounts,sc_st_loans__sc_os_amt,sc_st_loans__st_disb_accounts,sc_st_loans__st_disb_amt,sc_st_loans__st_os_accounts,sc_st_loans__st_os_amt,shg__shg_credit_linked_amt_fy,shg__shg_credit_linked_amt_quarter,shg__shg_credit_linked_no_fy,shg__shg_credit_linked_no_quarter,shg__shg_savings_linked_amt_fy,shg__shg_savings_linked_amt_quarter,shg__shg_savings_linked_no_fy,shg__shg_savings_linked_no_quarter
Gondia,June 2025,32410,15200.0,18.85,8.21,171971,184600.0,17.64,8686.0,179,12501.0,202,6000.0,60,287,,,,10360,113,102452,2325,3776,1055,1115,3836,4891,160,,,,,,,62.41,585700.0,938500.0,,,,,,,,,,,,,,,,,,4541,6200.0,4.0,23199,163300.0,4064,5600.0,9711,2000.0,325,2600.0,14110,10300.0,10400.0,0,0.0,0,0.0,128074,81700.0,217171,628000,93.4,455000,673000,39400.0,344000,334000,10000,611000,599000,13000,6972,5541,,3658,4400.0,14630,24700.0,2563,2400.0,10621,11200.0,5800.0,5800.0,1434,1434,100.0,100.0,369,369
Hingoli,June 2025,74365,65300.0,32.17,26.84,231153,243500.0,15.16,8454.0,68,10715.0,75,5000.0,35,500,84,,,6595,69,58931,1924,3546,327,1287,4506,4833,125,,,,,,,96.7,494000.0,510900.0,,,,,,,,,,,,,,,,,,,,,,,3935,4600.0,21114,1500.0,224,1800.0,25277,7900.0,7900.0,29,101.43,104,430.05,198187,167380.0,175175,601000,92.22,409000,652000,23800.0,209000,,213000,463000,458000,5000,4340,3635,,3501,3500.0,15022,17800.0,1175,1100.0,5433,5600.0,1800.0,1800.0,495,495,,,196,196
Jalgaon,June 2025,51784,72700.0,14.61,8.37,354498,868200.0,17.99,16921.0,306,28363.0,351,12000.0,130,500,5,,,30595,358,164463,3994,6207,1162,2540,7585,8747,642,,,,,,,73.99,2574700.0,3479700.0,,,,,,,,,,,,,,,,,,,,,,,16259,18100.0,29081,5400.0,985,7600.0,46341,31000.0,31400.0,20,78.31,26,88.14,390258,448250.0,399382,1487000,92.57,1144000,1606000,62400.0,239000,,244000,1254000,1229000,25000,37861,34031,,2560,6100.0,21989,43800.0,1186,2400.0,11060,18700.0,7900.0,7900.0,2042,2042,300.0,300.0,608,608
Jalna,June 2025,172648,199200.0,41.44,37.39,416657,532700.0,6.79,7201.0,488,11005.0,523,8000.0,100,2500,45,,,11275,123,105252,2585,4165,500,2235,5900,6400,205,,,,,,,122.7,1211800.0,987600.0,,,,,,,,,,,,,,,,,,,,,,,6292,8300.0,21433,2300.0,735,5800.0,28461,16200.0,16300.0,1,1179.33,1,1177.8,349316,337160.0,290114,782000,92.36,498000,846000,32900.0,,,,564000,554000,9000,18170,15101,,3044,3500.0,21228,26600.0,1205,800.0,9041,9500.0,5000.0,5000.0,1091,1091,100.0,100.0,390,390
Kolhapur,June 2025,30383,64900.0,9.56,7.55,317711,859800.0,9.48,28808.0,882,36095.0,946,26000.0,490,3500,136,,,39500,644,177248,4325,3814,1169,2558,5202,6372,664,,,,,,,87.74,4545600.0,5180900.0,,,,,,,,,,,,,,,,,,20575,56900.0,5.0,111232,1247500.0,14207,16500.0,9909,3600.0,1086,8500.0,25217,28500.0,28800.0,0,0.0,8,3083.65,375185,388830.0,471690,1267000,86.96,1064000,1458000,62000.0,,,,1311000,1297000,14000,43132,40108,,8412,10600.0,65253,60100.0,998,1100.0,10077,9200.0,7700.0,7700.0,1769,1769,400.0,400.0,670,670
Latur,June 2025,38671,36800.0,8.88,5.87,435402,627100.0,32.19,27006.0,261,43362.0,301,16000.0,80,1000,41,,,16465,178,98142,2233,3155,530,1432,4056,4587,331,,,,,,,101.92,1996700.0,1959000.0,,,,,,,,,,,,,,,,,,,,,,,9697,12500.0,22667,2300.0,1041,8200.0,33418,23000.0,23200.0,0,0.0,35,281.74,355225,314980.0,269446,865000,91.54,665000,945000,41100.0,402000,,410000,792000,777000,15000,16975,13879,,7970,9600.0,34894,39600.0,3152,3300.0,11766,11300.0,4500.0,4500.0,1054,1054,100.0,100.0,367,367
Mumbai,June 2025,24531,106300.0,8.58,1.82,285974,5837100.0,,,,9950.0,2,1000.0,10,300,5,,,62685,788,168737,4240,25603,632,725,25696,26328,981,,,,,,,125.4,237915500.0,189726300.0,,,,,,,,,,,,,,,,,,70989,1361900.0,9.0,334078,15417200.0,9241,17300.0,802,300.0,2631,49500.0,12774,66300.0,68500.0,394,1059.95,1568,7334.81,,,,929000,88.65,859000,1048000,54200.0,595000,585000,11000,1418000,1389000,29000,220259,145089,,2355,8900.0,15901,83800.0,510,2000.0,4927,50700.0,100.0,100.0,11,11,200.0,200.0,68,68
Mumbai Suburban,June 2025,5576,15300.0,1.02,2.07,548137,739900.0,,,,,,,,300,8,,,117290,1485,361236,11352,,,,,,1450,,,,,,,58.85,61131000.0,103872500.0,,,,,,,,,,,,,,,,,,35893,290400.0,3.0,296400,9393100.0,7413,14000.0,1892,800.0,1834,15100.0,11159,30000.0,30200.0,0,0.0,6,660.55,,,,,,,,,815000,797000,18000,1928000,1879000,49000,,,,2509,11900.0,20540,117800.0,646,1900.0,5736,24500.0,500.0,500.0,88,88,100.0,100.0,231,231
Nagpur,June 2025,68751,116300.0,14.4,12.79,477392,909300.0,12.79,33733.0,223,50323.0,255,20000.0,110,500,7,,,60750,699,293277,6332,4993,1532,1700,5161,6693,887,,,,,,,62.88,8896100.0,14148000.0,,,,,,,,,,,,,,,,,,45875,119400.0,5.0,278193,2452800.0,25874,25400.0,37631,10600.0,1768,14200.0,65316,49900.0,50800.0,30,802.4,439,19201.93,156650,218170.0,174457,1329000,92.9,1133000,1431000,85700.0,809000,791000,18000,1819000,1792000,27000,103722,96201,,14708,32900.0,118156,266600.0,8787,11100.0,73872,81600.0,7100.0,7100.0,1425,1425,200.0,200.0,511,511
Nanded,June 2025,165312,126800.0,33.74,19.57,489896,647900.0,8.57,11294.0,118,14047.0,134,8000.0,50,697,22,,,19925,211,150872,3470,10241,1159,4341,13423,14582,308,,,,,,,95.35,1865600.0,1956600.0,,,,,,,,,,,,,,,,,,11956,10000.0,4.0,46753,284700.0,17485,17800.0,51346,6700.0,1030,7800.0,69865,32100.0,32300.0,1,21.1,16,2840.0,406916,386860.0,380490,1358000,89.85,1026000,1511000,57000.0,581000,572000,9000,1333000,1315000,18000,30037,25103,,10288,13100.0,39473,62200.0,3363,4800.0,12473,21100.0,6100.0,6100.0,1511,1511,100.0,100.0,415,415
Nandurbar,June 2025,29405,45900.0,30.27,23.67,97136,194100.0,,5028.0,52,7248.0,62,5000.0,40,300,1,,,8485,90,60393,2778,2537,405,950,3082,3487,115,,,,,,,74.83,532900.0,712200.0,,,,,,,,,,,,,,,,,,3656,3500.0,6.0,10303,60500.0,2249,3600.0,1687,700.0,254,1900.0,4191,6100.0,6200.0,0,0.0,0,0.0,73022,113440.0,102854,747000,93.88,587000,796000,25000.0,244000,236000,8000,490000,477000,13000,6168,5454,,838,1900.0,5180,15200.0,4591,7200.0,38386,72600.0,1700.0,1700.0,485,485,,,149,149
Nashik,June 2025,81797,282900.0,9.99,20.37,818672,1388700.0,12.93,51552.0,643,78326.0,778,38000.0,350,3020,74,,,52725,622,291511,8107,7234,1597,3020,8657,10254,840,,,,,,,84.41,7963700.0,9434900.0,,,,,,,,,,,,,,,,,,25076,68900.0,4.0,119300,1745200.0,15477,18500.0,10057,3800.0,1435,11000.0,27015,33100.0,34000.0,1,19.49,5,2216.37,425522,815090.0,427272,2225000,93.65,1558000,2375000,130400.0,850000,820000,30000,1735000,1692000,43000,80743,74226,,11606,14600.0,111072,106600.0,7252,9500.0,68399,83700.0,6100.0,6100.0,1509,1509,400.0,400.0,691,691
Osmanabad,June 2025,52716,109300.0,22.52,24.39,234102,448300.0,16.34,6813.0,128,12453.0,163,8000.0,75,1000,35,,,11130,123,72742,2051,3293,488,2764,5569,6057,206,,,,,,,81.67,917900.0,1123900.0,,,,,,,,,,,,,,,,,,3996,5800.0,4.0,21215,130700.0,5675,7500.0,9322,2300.0,594,4600.0,15593,14400.0,14500.0,6,9.43,29,37.81,226007,272390.0,233466,,,,,,306000,299000,6000,647000,639000,8000,7055,5108,,4343,5700.0,15899,24200.0,1009,1600.0,4244,6000.0,3900.0,3900.0,933,933,100.0,100.0,317,317
Palghar,June 2025,3906,5400.0,11.81,5.22,33074,103200.0,42.45,765.0,49,1398.0,58,1000.0,20,300,2,,,16810,235,101355,3003,2845,735,2317,4426,5162,383,,,,,,,69.07,3223300.0,4666600.0,,,,,,,,,,,,,,,,,,,,,,,2320,4500.0,1438,300.0,484,3600.0,4260,8500.0,8700.0,0,0.0,0,0.0,37803,43590.0,95204,887000,91.36,657000,971000,48600.0,305000,,316000,641000,624000,17000,38044,31153,,589,2500.0,5826,26000.0,923,2300.0,9766,27600.0,3300.0,3300.0,831,831,100.0,100.0,273,273
Parbhani,June 2025,152207,150000.0,37.55,31.27,405331,479600.0,19.46,5977.0,92,8438.0,112,5000.0,70,1540,61,,,10175,108,84175,3004,3296,320,1363,4338,4659,182,,,,,,,101.82,1023300.0,1005000.0,,,,,,,,,,,,,,,,,,9478,10300.0,8.0,22937,126500.0,4269,6400.0,17484,1800.0,682,5200.0,22444,13400.0,13500.0,3,506.69,14,1277.26,314791,346220.0,249584,793000,87.75,548000,904000,34700.0,287000,,291000,649000,638000,11000,21957,17494,,5162,5900.0,30973,33900.0,1636,1700.0,10239,9100.0,3500.0,3500.0,850,850,100.0,100.0,389,389
Pune,June 2025,105611,249800.0,10.9,9.31,969033,2683300.0,14.01,51127.0,601,74473.0,716,38000.0,330,2500,106,,,134425,1813,527011,15068,8389,2593,5567,11362,13956,472,,,,,,,85.19,49110200.0,57651100.0,,,,,,,,,,,,,,,,,,46058,331300.0,4.0,335780,8064200.0,23281,37200.0,6986,2800.0,4821,77600.0,35184,11600.0,118900.0,0,0.0,11,6546.94,531471,890990.0,432972,1813000,88.32,1435000,2052000,139200.0,2194000,2169000,26000,4398000,4341000,58000,124736,101128,,10990,30000.0,113686,274900.0,2490,7400.0,25889,75100.0,9700.0,9700.0,1823,1823,400.0,400.0,1164,1164
Raigad,June 2025,7283,6700.0,6.46,3.28,112732,205600.0,12.96,4574.0,44,7062.0,56,5000.0,35,300,15,,,42175,527,163378,4665,2173,857,2219,3535,4392,593,,,,,,,87.39,6244200.0,7145200.0,,,,,,,,,,,,,,,,,,,,,,,5385,7700.0,2671,900.0,719,5700.0,8791,14300.0,14500.0,0,0.0,0,0.0,61148,51360.0,111131,539000,80.82,455000,666000,39600.0,371000,,379000,907000,891000,15000,23012,19476,,1457,5800.0,10871,60200.0,767,1500.0,5097,16000.0,4600.0,4600.0,1116,1116,200.0,200.0,429,429
Ratnagiri,June 2025,5492,17700.0,5.89,7.66,93316,230700.0,10.7,2094.0,131,3591.0,140,4000.0,55,300,15,,,23715,312,99096,2464,1450,579,952,1823,2402,338,,,,,,,59.0,1154100.0,1956200.0,,,,,,,,,,,,,,,,,,6920,16000.0,5.0,38101,302800.0,1684,3100.0,989,400.0,362,2900.0,3036,6200.0,6300.0,1,0.02,2,0.99,168147,81480.0,153344,351000,88.24,249000,398000,25600.0,233000,,237000,720000,714000,6000,7153,6747,,875,2600.0,5364,17900.0,133,1200.0,750,5200.0,5800.0,5800.0,912,912,300.0,300.0,275,275
Sangli,June 2025,35972,86700.0,10.31,10.25,348814,846200.0,11.09,27698.0,586,40149.0,646,20000.0,240,2500,60,,,28450,515,101754,2170,2729,746,1619,3602,4348,546,,,,,,,83.23,2897300.0,3481100.0,,,,,,,,,,,,,,,,,,13576,32400.0,6.0,63485,558100.0,9113,11000.0,7046,2600.0,1350,12000.0,17518,25400.0,25800.0,12,921.88,145,6469.36,363431,388260.0,397001,816000,85.88,680000,950000,36400.0,283000,277000,6000,672000,661000,11000,25416,23888,,11526,42400.0,34961,133100.0,585,1200.0,6688,6700.0,6900.0,6900.0,1433,1433,300.0,300.0,673,673
Satara,June 2025,39232,57400.0,6.89,7.86,569194,731200.0,14.96,13119.0,370,18796.0,404,10000.0,170,3500,75,,,33385,629,132177,3266,3395,1324,2690,4760,6085,664,,,,,,,70.99,2755500.0,3881400.0,,,,,,,,,,,,,,,,,,,,,,,5601,7200.0,4400,1600.0,812,6400.0,10822,15100.0,15400.0,10,93.52,23,248.99,493477,461500.0,446221,788000,89.89,600000,876000,38200.0,355000,,363000,755000,738000,17000,19232,14731,,20896,15600.0,50578,45500.0,7017,4600.0,13386,13300.0,5800.0,5800.0,1349,1350,200.0,200.0,456,456
Sindhudurg,June 2025,3418,9400.0,4.36,6.86,78454,137700.0,7.2,3436.0,146,4363.0,151,3000.0,50,300,17,,,16515,253,53787,1182,614,263,413,764,1027,260,,,,,,,53.83,707700.0,1314600.0,,,,,,,,,,,,,,,,,,,,,,,1191,2200.0,746,300.0,253,2000.0,2192,4500.0,4500.0,0,0.0,0,0.0,50132,51270.0,120241,177000,89.21,138000,199000,14100.0,122000,,124000,400000,397000,3000,4132,3855,,621,1200.0,3772,7800.0,146,300.0,892,1200.0,4300.0,4300.0,693,693,200.0,200.0,222,222
Solapur,June 2025,271973,397600.0,35.87,28.25,758205,1407200.0,13.43,25825.0,439,35515.0,469,17000.0,240,2500,103,,,33130,381,229550,4164,5580,1245,3194,7529,8774,647,,,,,,,92.83,3719600.0,4007000.0,,,,,,,,,,,,,,,,,,27377,42100.0,6.0,124060,648400.0,20176,20700.0,13661,4700.0,1295,10000.0,35150,35400.0,35600.0,1,24.0,4,25.36,356141,642230.0,490290,1570000,90.38,1337000,1737000,83800.0,650000,,662000,1560000,1531000,30000,48591,43161,,13292,12500.0,131761,81400.0,3471,2700.0,35836,24400.0,9500.0,9500.0,1876,1876,200.0,200.0,496,496
Thane,June 2025,4043,13400.0,10.05,3.91,40220,343200.0,14.28,3960.0,56,7860.0,77,5000.0,25,300,8,,,91755,1164,509782,22077,6404,1516,5359,10246,11763,1077,,,,,,,66.97,22703700.0,33901100.0,,,,,,,,,,,,,,,,,,38784,141900.0,4.0,215588,3988800.0,11204,18800.0,7024,700.0,2264,21100.0,20585,40200.0,41800.0,0,0.0,11,2742.39,47402,52550.0,72458,1470000,92.23,1214000,1594000,77100.0,815000,800000,14000,2062000,2026000,36000,160380,142612,,3561,13400.0,37506,179600.0,1083,3600.0,9958,42500.0,4800.0,4800.0,918,918,200.0,200.0,439,439
Wardha,June 2025,93532,98300.0,9.82,17.45,952133,563000.0,8.21,8784.0,112,12981.0,124,6000.0,50,200,2,,,14320,155,90331,3435,1812,650,904,2066,2716,181,,,,,,,83.73,1098000.0,1311300.0,,,,,,,,,,,,,,,,,,8204,9800.0,5.0,45017,190100.0,5827,5800.0,9583,3500.0,378,3000.0,15798,12300.0,12400.0,0,0.0,109,2006.09,143323,190540.0,128760,347000,92.54,286000,375000,21700.0,276000,269000,7000,574000,566000,8000,9930,8648,,15864,10200.0,174964,69600.0,12049,6500.0,128200,42600.0,4200.0,4200.0,896,896,,,170,170
