District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Tarun Plus O/S No.,Tarun Plus O/S Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Pct
Golaghat,127,17722,4095.51,2779,568.2,29942,25056.64,2184,1982.19,2458,11131.40,160,691.86,10,79.08,50132,40362.63,5123,3242.25,8 .03
Hailakandi,47,7530,1674.57,1417,360.54,13013,10450.60,1368,1317.75,1191,5101.32,78,366.87,2,22.71,21736,17249.20,2863,2045.16,1 1.86
Hojai,66,12550,2769.08,3037,651.36,16152,15512.83,1636,1772.16,2050,10562.72,287,1368.81,14,152.21,30766,28996.84,4960,3792.33,1 3.08
Jorhat,143,14780,3269.69,2719,565.98,28575,24345.53,2361,2347.00,2584,12237.06,211,1056.63,8,93.36,45947,39945.64,5291,3969.61,9 .94
Kamrup Metro,183,34944,9330.34,8160,1627.44,47324,39685.19,3451,3397.15,3773,18941.95,306,1485.16,17,188.89,86058,68146.37,11917,6509.75,9 .55
Karbi Anglong,63,7294,1995.88,968,146.88,7405,7890.41,489,560.12,714,4633.39,57,316.47,9,139.11,15422,14658.79,1514,1023.47,6 .98
Kokrajhar,60,14087,3018.97,1474,233.85,14980,12370.28,1157,1271.62,937,5269.48,41,188.92,6,38.15,30010,20696.88,2672,1694.39,8 .19
Lakhimpur,91,15057,3227.59,5663,1036.82,22085,21200.67,2469,2587.21,2324,10205.79,252,1095.28,14,158.41,39480,34792.46,8384,4719.31,1 3.56
Majuli,16,3321,785.28,151,46.26,1263,1707.59,149,161.75,497,1810.85,15,53.24,1,8.55,5082,4312.27,315,261.25,6 .06
Morigaon,70,8292,1822.04,2491,636.13,18778,17617.00,2838,3441.30,2142,9022.85,240,1224.14,8,76.33,29220,28538.22,5569,5301.57,1 8.58
Nagaon,157,30759,7309.38,7754,1515.79,49475,41954.71,4573,5209.81,5136,23574.06,594,3093.51,19,196.55,85389,73034.70,12921,9819.11,1 3.44
Nalbari,84,15987,3688.39,4291,788.23,20577,18754.78,2078,1886.36,1676,9654.33,101,541.36,6,61.77,38246,32159.27,6470,3215.95,1 0.00
Sivasagar,107,12387,2811.99,2153,469.22,24061,22419.02,2043,2220.09,2515,12070.49,213,1042.95,10,107.95,38973,37409.45,4409,3732.26,9 .98
Sonitpur,134,22224,5711.41,4686,955.39,32707,28336.43,2660,2836.99,2723,14616.72,286,1445.30,26,304.80,57680,48969.36,7632,5237.68,1 0.70
South Salmara,16,365,103.62,149,42.81,1245,2018.95,324,296.27,192,1019.76,16,87.39,1,7.64,1803,3149.97,489,426.47,1 3.54
Tamulpur,21,1693,359.57,541,97.01,4602,4314.05,313,457.06,183,1056.90,8,43.61,1,10.72,6479,5741.24,862,597.68,1 0.41
Tinsukia,150,18508,4048,3671,712.28,23340,25613.77,3052,3595.36,3724,20689.27,486,2782.59,8,80.28,45580,50431.32,7209,7090.23,1 4.06
Udalguri,56,9009,3094.45,1176,277.74,8334,8299.02,1539,1814.88,563,3133.13,45,204.43,9,63.64,17915,14590.24,2760,2297.05,1 5.74
West Karbi Anglong,21,842,190.53,271,41.61,591,781.31,26,38.45,82,525.65,8,42.79,1,20.18,1516,1517.67,305,122.85,8 .09
