District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt
Hojai,66,"32,295","30,287.91","4,158","4,908.15","1,443","2,472.93",15,1.15,"3,472","9,603.04","13,039","3,931.15","14,245","22,717.22",324,2.65,"1,317","2,708.43"
Jorhat,143,"56,162","44,815.78","5,796","7,260.48","8,569","10,875.55",63,5.99,"5,772","19,242.54","35,282","13,110.22","5,020","15,062.29","1,068",13.83,"4,075","7,340.59"
Kamrup Metro,183,"1,08,017","89,678.06","6,481","5,991.10","6,476","9,489.97",26,2.58,"9,273","27,207.03","41,384","14,095.41","19,224","43,461.53",443,"3,099.51","4,967","9,168.91"
Karbi Anglong,63,"21,696","21,570.17",653,"2,217.85","9,709","21,201.22",9,0.48,"7,705","28,701.74","14,351","5,272.91","1,973","3,842.57",692,42.16,409,879.29
Kokrajhar,60,"41,779","43,263.10","1,410","2,247.90","10,553","24,435.32",2,0.09,"3,985","9,839.60","15,542","5,384.37","10,578","16,106.80",150,1.97,"3,664","8,758.13"
Lakhimpur,91,"79,935","76,102.03","5,167","7,761.34","15,301","26,035.17",6,0.39,"7,435","19,806.75","24,256","9,830.77","12,485","23,385.59",97,1.90,"3,105","6,974.98"
Majuli,16,"12,191","15,114.27",955,"1,912.87","3,072","7,646.17",4,0.28,"1,099","3,227.11","1,405",548.43,72,353.36,97,0.29,388,"1,117.16"
Morigaon,70,"51,665","48,570.07","5,117","5,477.72","8,611","8,697.13",58,6.02,"6,275","14,553.83","20,358","6,936.46","18,382","24,620.99","1,847",2.28,"1,912","2,679.85"
Nagaon,157,"1,04,814","90,605.27","9,018","9,372.96","5,385","6,236.61",52,4.00,"11,046","33,481.69","51,023","17,763.06","51,193","78,714.31","1,520",5.91,"5,266","12,045.00"
Nalbari,84,"44,604","43,328.01","2,551","3,921.89","1,269","2,702.96",25,2.01,"6,602","21,552.79","20,534","6,190.24","10,469","19,044.55",468,3.65,"2,537","4,414.25"
Sivasagar,107,"45,436","35,166.87","3,045","4,305.20","2,067","4,008.60",59,5.03,"3,907","12,390.73","25,199","8,785.71","6,116","19,222.85",829,2.69,"3,073","87,799.71"
Sonitpur,134,"56,569","56,780.78","4,376","5,673.47","4,726","8,215.34",24,1.80,"8,049","22,762.62","30,945","11,423.47","9,524","22,589.11",839,4.53,"3,214","8,142.73"
South Salmara,16,"3,159","2,933.44",24,62.94,27,25.77,13,1.17,889,"2,188.98",223,113.88,"2,920","6,938.62",17,0.07,312,877.64
Tamulpur,21,"9,827","12,744.62",749,"1,094.47","2,533","5,101.55",4,0.53,"2,833","8,663.98","3,436","1,142.60",791,"1,791.66",21,0.03,517,"1,351.58"
Tinsukia,150,"54,487","57,271.70","2,525","4,144.67","4,316","10,428.53",80,4.63,"6,927","23,526.99","22,643","10,407.68","2,495","12,654.94","1,289",3.05,"2,349","5,885.70"
Udalguri,56,"44,773","39,047.11","1,046","1,607.39","16,791","25,198.31",2,0.13,"5,366","14,000.44","10,187","4,071.49","7,270","12,513.61",94,2.57,"3,080","9,014.20"
West Karbi Anglong,21,"3,973","4,706.42",256,480.48,"3,478","6,313.77",0,0,"3,135","9,566.69","3,320","1,212.21",442,901.29,7,0.25,128,210.23
