District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Hailakandi,47,"1,441","1,660.55",0,0,0,0,65,88.43,1,10,123,407.07,6,24.27,"1,887","1,963.18",1,810,695,"1,396.63","4,219","6,360.13"
Hojai,66,"3,385","2,704.67",2,5.46,0,0,426,"1,077.83",9,29.23,113,942.24,9,143.07,"3,234","4,201.78",8,9.96,638,"2,354.69","7,824","11,468.93"
Jorhat,143,"5,588","4,940.68",30,105.63,2,2.49,229,846.73,12,30.59,238,"1,364.35",31,236.93,"6,426","8,860.20",21,991.45,"1,234","24,925.01","13,811","42,304.06"
Kamrup Metro,183,"5,928","9,977.35",16,38.62,3,4.44,"1,265","5,661.06",5,30.37,380,"2,140.99",32,200.23,"13,393","15,419.89",8,38.75,"1,675","9,146.55","22,705","42,658.25"
Karbi Anglong,63,"2,072","1,383.64",-,-,0,0,47,118.37,2,3.6,447,"1,691.04",33,41.43,"1,028","2,866.54",1,3.9,131,762.71,"3,761","6,871.23"
Kokrajhar,60,"2,969","5,031.21",7,14.25,0,0,484,"1,417.71",14,47,363,"1,488.74",34,1601.25,"3,941","3,828.06",8,36.95,"1,336","4,471.97","9,156","17,937.14"
Lakhimpur,91,"10,746","7,139.08",-,-,7,32.32,948,"3,259.07",13,30.68,397,"1,638.28",16,222.29,"4,251","6,339.98",2,3,"1,129","5,717.44","17,509","24,382.14"
Majuli,16,732,835.44,5,2.07,0,0,-,-,2,16,95,411.84,8,0.87,753,882.19,0,0,103,368.66,"1,698","2,517.07"
Morigaon,70,"4,111","3,213.07",-,-,0,0,590,"2,695.81",2,28,658,"1,432.68",384,194.46,"3,220","4,243.51",2,41,487,"2,441.66","9,454","14,290.19"
Nagaon,157,"13,382","10,653.38",14,26.03,3,7.52,967,3723.21,1,2.1,368,"1,327.59",159,400.11,"11,244","16,582.96",5,181.33,"1,777","8,674.25","27,920","41,578.48"
Nalbari,84,"2,620","5,116.10",11,30.52,0,0,425,"1,356.85",6,17.71,512,"2,447.37",136,328.25,"3,565","6,610.71",1,8,645,"5,406.50","7,921","21,322.01"
Sivasagar,107,"3,743","3,572.62",3,7.14,0,0,433,"1,134.50",11,23.32,307,853.35,23,55.02,"4,153","5,228.62",4,15.68,"1,127","8,054.59","9,804","18,944.84"
Sonitpur,134,"2,708","4,124.41",4,8.30,1,0.58,596,"2,255.04",19,135.25,565,"4,129.15",75,1634.67,"6,049","8,592.65",4,65.93,"1,157","11,453.13","11,178","32,399.11"
South Salmara,16,94,299.36,-,-,0,0,-,-,0,0,96,446.98,3,42.52,45,134.00,0,0,135,203.67,373,"1,126.53"
Tamulpur,21,356,"1,166.62",2,5.71,0,0,98,415.35,1,1,92,443.1,4,0.52,"1,040","2,712.08",0,0,185,488.61,"1,778","5,232.99"
Tinsukia,150,"7,585","6,530.31",24,41.87,2,1.7,431,"1,467.09",16,53.12,452,"2,703.05",19,858.96,"2,908","5,324.64",9,855.95,"1,175","28,157.28","12,621","45,993.97"
Udalguri,56,"2,945","2,372.52",0,0,0,0,71,170.21,2,19,194,"1,245.00",16,51.64,"2,396","5,226.28",0,0,748,"1,987.27","6,372","11,071.92"
West Karbi Anglong,21,817,623.40,0,0,0,0,0,0,0,0,81,378.07,1,0.3,206,832.77,0,0,34,78.32,"1,139","1,912.86"
