District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,Msme (PS) Target No.,Msme (PS) Target Amt,Msme (PS) Achieved No.,Msme (PS) Achieved Amt,Msme (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Lakhimpur,91,"57,593","1,05,640.06","17,509","24,382.14",23.08,"39,740","74,322.00","10,746","7,139.08",9.61,"13,232","99,260.00","6,523","45,782.18",46.12,"4,077","10,675.00","4,151","9,185.88",86.05,"74,902","2,15,575.06","28,183","79,350.20",36.81
Majuli,16,"36,472","29,092.00","1,698","2,517.07",8.65,"30,760","25,060.00",732,835.44,3.33,"1,170","3,161.00",673,"2,240.32",70.87,751,"3,369.00",477,"1,448.50",42.99,"38,393","35,622.00","2,848","6,205.89",17.42
Morigaon,70,"91,781","72,081.00","9,454","14,290.19",19.83,"67,882","34,206.00","4,111","3,213.07",9.39,"2,554","27,574.00","2,302","14,188.78",51.46,"5,776","18,501.00","2,763","3,626.76",19.60,"1,00,111","1,18,156.00","14,519","32,105.73",27.17
Nagaon,157,"1,02,692","1,56,632.20","27,920","41,578.48",26.55,"67,335","74,177.00","13,382","10,653.38",14.36,"47,574","1,39,971.97","7,645","97,005.15",69.30,"11,053","22,109.62","7,137","10,792.76",48.81,"1,61,319","3,18,713.79","42,702","1,49,376.39",46.87
Nalbari,84,"25,078","72,585.00","7,921","21,322.01",29.38,"9,670","14,505.00","2,620","5,116.10",35.27,"5,145","51,450.00","2,937","31,698.64",61.61,"2,765","10,535.00","3,731","8,382.56",79.57,"32,988","1,34,570.00","14,589","61,403.21",45.63
Sivasagar,107,"42,615","72,946.55","9,804","18,944.84",25.97,"10,175","17,454.86","3,743","3,572.62",20.47,"9,580","77,369.00","4,350","54,254.68",70.12,"7,216","11,335.00","2,712","4,527.57",39.94,"59,411","1,61,650.55","16,866","77,727.09",48.08
Sonitpur,134,"17,900","96,705.00","11,178","32,399.11",33.50,"3,269","10,984.00","2,708","4,124.41",37.55,"17,405","1,04,300.00","5,662","84,016.85",80.55,"4,229","52,570.00","4,444","9,697.40",18.45,"39,534","2,53,575.00","21,284","1,26,113.36",49.73
South Salmara,16,"4,383","5,160.54",373,"1,126.53",21.83,501,610.00,94,299.36,49.08,"4,102","6,275.00",698,"2,564.63",40.87,"1,274","2,265.00",552,"1,016.23",44.87,"9,759","13,700.54","1,623","4,707.39",34.36
Tamulpur,21,"23,082","21,982.00","1,778","5,232.99",23.81,"12,100","14,150.00",356,"1,166.62",8.24,"2,890","5,100.00",614,"2,646.03",51.88,"1,530","4,635.00",391,942.89,20.34,"27,502","31,717.00","2,783","8,821.91",27.81
Tinsukia,150,"62,267","1,33,837.81","12,621","45,993.97",34.37,"52,036","71,579.62","7,585","6,530.31",9.12,"20,259","1,87,211.34","6,336","1,20,312.19",64.27,"14,595","12,348.42","2,660","5,081.59",41.15,"97,121","3,33,397.57","21,617","1,71,387.75",51.41
Udalguri,56,"54,799","60,580.00","6,372","11,071.92",18.28,"32,913","38,521.00","2,945","2,372.52",6.16,"1,674","20,844.00","1,698","12,959.35",62.17,"2,990","4,975.00","1,510","2,713.12",54.54,"59,463","86,399.00","9,580","26,744.39",30.95
West Karbi Anglong,21,"38,286","39,852.89","1,139","1,912.86",4.80,"27,203","26,904.08",817,623.40,2.32,358,"1,300.00",651,"1,254.92",96.53,"1,323","7,763.86",532,941.27,12.12,"39,967","48,916.75","2,322","4,109.05",8.40
