District,Total Branch,No. Of New Crop kcc issued during quarter,New Crop KCC Amount disbursed during quarter (Rs. in Lakhs),No. of Crop KCC Renewed During the quarter,Crops KCC Renewed Amount During the quarter (Rs. in Lakhs),Out of total no. of Active Crops KCC (Since Inception),Crops Kcc Total Active Amount(Rs. in Lakhs),Crops KCC NPA No at the end of current quarter,Crops KCC NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for animal husbandary issued during quarter,KCC for Animal Husbandry Amount disbursed during quarter (Rs. in Lakhs),No Renewal KCC for animal husbandary as on end of current quarter,KCC for animal husbandary Outstanding Renewal amount. as on end of current quarter (Rs. in Lakhs),KCC for Animal Husbandry Total no. of Active KCC for animal husbandary (Since Inception),KCC for Animal Husbandry Total Active Amount(Rs. in Lakhs),KCC for Animal Husbandry NPA No at the end of current quarter,KCC for Animal Husbandry NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for fishries issued during quarter,KCC for Fishries New KCC Amount disbursed during quarter (Rs. in Lakhs),Total no. of KCC for fishries as on end of current quarter,KCC for Fishries No. of KCC Renewed During the quarter Amount (Rs. in Lakhs),KCC for Fishries Total no. of Active KCC for fishries (Since Inception),KCC for Fishries Total Active Amount(Rs. in Lakhs),KCC for Fisheries NPA No at the end of current quarter,KCC for Fisheries NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs)
Dhubri,90,940,780.73,"1,394","1,028.43","24,319","19,264","16,465","8,661.66",2,2.13,3,2.07,91,77.57,24,14.94,0,0.65,1,2.14,20,16.28,0,0
Dibrugarh,188,601,662.21,"3,060","3,631.21","49,231","42,604","24,901","15,691.97",23,47.72,20,38.58,594,2178.57,20,56.21,0,4.3,3,1.46,47,80.08,21,18.48
Dima Hasao,33,43,33.98,5,3.90,"1,213",525,407,93.83,2,3.45,41,0,102,57.57,1,1.46,0,0.48,3,0,18,7.67,0,0
Goalpara,73,514,928.43,"1,141",910.83,"21,273","17,689",8913,5579.42,11,6.9,13,0.6,71,46.28,2,1.43,0,0,4,0.85,22,14.95,3,1.88
Golaghat,127,536,846.83,1443,1417.45,43286,33177.16,23675,12205.76,21,13.26,14,12.67,483,1000.68,54,108.79,0,0.1,1,0.32,29,18.28,9,3.93
Hailakandi,47,130,80.1,596,594.06,10640,6582.76,7690,3386.64,14,22.91,20,10.6,87,71.3,86,106.57,0,3.95,4,20.32,28,40.04,1,0.18
Hojai,66,252,243.99,"1,107",846.40,19890,16478.8,11041,6104.79,2,2.06,2,0.9,261,589.57,48,27.72,0,0,0,0,21,22.04,0,0
Jorhat,143,782,628.93,"1,892","1,929.44","34,341",22963.27,18487,8345.66,17,25.33,4,19.44,245,354.21,39,22.49,0,2.17,3,1.01,41,42.88,2,0.47
Kamrup Metro,183,535,609.3,"2,767","2,574.05","47,536","41,247",31100,19425.35,24,27.33,11,6.28,383,650.23,44,49.32,0,5.64,5,4.36,129,316.57,13,10.65
Karbi Anglong,63,272,301.14,607,516.23,25321,17192.82,7682,3486.99,8,9.54,3,2.9,182,159.14,38,22.56,0,0,0,0,43,49.24,2,3.58
Kokrajhar,60,938,1379.87,954,1426.38,19472,20837.96,10513,6679.4,0,0,1,0.59,67,62.99,12,13.47,0,2.76,2,0.86,32,30.48,7,6.64
Lakhimpur,91,1287,1098.18,2865,2438.63,45468,38032.92,24902,15372.36,27,39.5,40,41.69,445,1105.79,63,78.83,0,0.93,0,15.18,52,64.5,2,3
Majuli,16,122,62.37,156,119.73,6360,5162.8,1660,833.28,0,0,0,0,21,12.74,11,5.57,0,0.06,0,0,97,29.4,9,9.8
Morigaon,70,442,380.86,2761,1916.15,32476,24777.83,14905,8668.25,61,90.56,52,22.74,471,513.98,144,130.83,0,27.3,4,0.64,182,232.31,64,70.22
Nagaon,157,1666,1775.87,3471,3446.92,63050,49085.3,36396,18568.69,7,10.88,34,41.93,526,666.01,217,161.41,0,55.28,8,6.43,291,851.31,7,5.51
Nalbari,84,369,506.24,1539,1296.34,20045,17287.46,11425,6092.53,10,8.73,62,32.57,390,356.84,29,23.94,0,4.14,10,0.5,97,157.87,37,21.79
Sivasagar,107,613,674.61,"1,001","1,144.62","21,859","15,775",8206,3898.36,47,47.96,16,6.07,264,237.98,29,20.21,0,2.04,5,0.72,185,153.6,18,7.4
Sonitpur,134,304,450.27,1289,1317.08,19300,19673.53,10289,6687.08,16,14.53,29,19.21,181,280.62,39,59.52,0,3.37,12,11.66,51,67.31,7,7.87
South Salmara,16,4,2.55,4,2.87,1901,872.71,1243,436.64,0,0,0,0,2,3.04,1,1.6,0,0,2,2.51,22,29.43,9,11.97
Tamulpur,21,53,257.57,106,93.74,4412,4352.59,2594,1348.73,2,0.56,0,0,4,1.31,0,0,0,0.5,0,0,4,5.04,0,0
Tinsukia,150,764,870.07,2255,3784.85,32758,31627.11,15881,11267.87,6,14.95,32,56.95,281,433.05,56,59.94,0,2.39,2,19.6,17,41.72,5,2.07
Udalguri,56,284,430.52,795,919.7,21437,17938.93,20289,12681.86,1,0.1,1,0,14,12.74,7,12.99,0,1.82,0,0,5,6.82,1,0.48
West Karbi Anglong,21,43,32.69,416,273.14,7955,4391.48,2568,1022.87,1,0.5,0,0,15,9.98,1,0.47,0,0.3,0,0,4,2.13,0,0
