District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Karbi Anglong,65,45749,47532.45,10538,5522.39,11.62,10641,24187.18,1905,1634.94,6.76,5859,21723.71,662,361.10,1.66,62249,93443.34,13105,7518.43,8.05
Kokrajhar,58,43963,46422.31,12779,7551.95,16.27,10684,32588.00,3786,4588.72,14.08,13770,15692.44,1176,215.06,1.37,68417,94702.75,17741,12355.73,13.05
Lakhimpur,91,95215,85680.38,32378,17403.61,20.31,24290,72035.78,9790,6335.57,8.80,13988,42310.87,1780,763.46,1.80,133493,200027.03,43948,24502.64,12.25
Majuli,16,11707,9571.59,3499,1643.76,17.17,2422,5381.28,555,431.44,8.02,1184,3167.94,540,22.44,0.71,15313,18120.81,4594,2097.64,11.58
Morigaon,70,61748,54835.76,21363,10733.53,19.57,12566,30107.61,4800,5883.61,19.54,8539,19327.45,578,194.21,1.00,82853,104270.82,26741,16811.35,16.12
Nagaon,153,141470,120654.75,49525,22030.71,18.26,30096,145575.33,9303,10331.18,7.10,26841,82828.60,1137,798.85,0.96,198407,349058.68,59965,33160.74,9.50
Nalbari,86,61833,57326.65,19596,8643.03,15.08,14260,55191.55,4728,4656.94,8.44,14822,30122.16,1562,636.24,2.11,90915,142640.36,25886,13936.21,9.77
Sivasagar,102,57343,54759.75,12193,6212.03,11.34,18390,96770.75,4249,6027.21,6.23,14537,34497.28,1407,747.81,2.17,90270,186027.78,17849,12987.05,6.98
Sonitpur,132,69196,73220.55,20937,10493.93,14.33,22353,123583.93,6704,8821.11,7.14,24365,52462.86,2758,1761.87,3.36,115914,249267.34,30399,21076.91,8.46
South Salmara,14,3401,3294.06,1715,691.79,21.00,1922,5363.72,941,1213.16,22.62,728,3354.49,213,319.23,9.52,6051,12012.27,2869,2224.18,18.52
Tamulpur,21,12354,14221.18,5358,2226.29,15.65,3807,5750.23,1246,844.05,14.68,1995,4580.30,173,137.80,3.01,18156,24551.71,6777,3208.14,13.07
Tinsukia,153,67896,111585.56,20133,13510.56,12.11,26231,186207.79,6900,10557.49,5.67,18069,38333.51,1641,416.18,1.09,112196,336126.86,28674,24484.23,7.28
Udalguri,55,56665,48965.53,27892,16058.62,32.80,11014,25298.37,5270,6059.69,23.95,9823,21601.27,2816,1389.75,6.43,77502,95865.17,35978,23508.06,24.52
West Karbi Anglong,22,15308,13849.03,3430,1369.04,9.89,1868,1964.55,336,132.19,6.73,596,5450.77,21,50.55,0.93,17772,21264.35,3787,1551.78,7.30
