district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisatio n No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Golaghat,126,321,218.97,1,0.29,297,281.29,"2,811","2,890.03","4,486","1,579.69",613,292.08,3,400.45,1,49.32,"4,359","11,485.48","12,892","17,197.60"
Hailakandi,48,653,444.75,0,0,407,470.04,158,240.37,388,421.89,351,161.31,0,0,0,0,"1,196","2,092.34","3,153","3,830.70"
Hojai,65,164,115.82,0,0,924,"1,055.00",763,"1,024.94",561,257.02,294,212.89,0,0,1,2.84,"1,429","2,773.91","4,136","5,442.42"
Jorhat,141,"2,259","1,033.85",7,11.26,"1,068","1,171.30",843,"1,151.47","5,151","1,676.34",754,529.62,0,0,2,4.11,"3,257","11,055.46","13,341","16,633.41"
Kamrup,175,"2,891","1,504.46",2,0.65,"6,942","2,440.18","2,120","2,403.80","2,730","1,854.57","1,801",915.09,0,0,4,4.43,"10,502","17,321.31","26,992","26,444.49"
Kamrup Metro,467,346,"1,097.66",1,65.83,"2,034","2,438.67","4,487","7,553.02",619,"2,100.77",675,633.51,10,391.27,5,28.64,"10,585","44,611.26","18,762","58,920.63"
Karbi Anglong,65,144,135.15,0,0,305,269.66,506,437.50,139,141.67,67,77.83,0,0,0,0,425,"2,759.96","1,586","3,821.77"
Kokrajhar,58,191,177.74,0,0,435,406.85,265,251.84,461,398.96,160,194.34,0,0,1,5.75,"1,378","3,404.87","2,891","4,840.35"
Lakhimpur,91,775,"1,129.80",3,1.19,502,748.17,"3,193","3,076.69","4,594","1,579.89","1,044",546.23,0,0,1,0.53,"2,288","6,861.01","12,400","13,943.51"
Majuli,16,45,19.70,0,0,7,12.70,21,27.39,9,31.45,7,4.06,0,0,0,0,91,131.84,180,227.14
Morigaon,70,693,698.31,0,0,"1,011","1,494.37","1,499","2,430.82","2,112",630.08,"1,774","1,104.30",1,9.53,0,0,"2,891","5,552.76","9,981","11,920.17"
Nagaon,153,"4,776","1,833.01",0,0,"1,897","1,983.74","4,682","6,646.30","3,180","1,232.05","4,864","2,094.37",0,0,1,4.96,"4,699","7,086.75","24,099","20,881.18"
Nalbari,86,"1,660",818.40,8,7.43,645,883.53,"3,790","3,343.70","1,429",889.18,"2,254",750.98,1,1.49,2,7.93,"3,110","6,674.98","12,899","13,377.62"
Sivasagar,102,710,503.35,1,1.27,979,"1,010.45","1,166","1,451.35","6,724","3,360.81",612,256.71,1,1.01,1,6.07,"2,588","9,591.99","12,782","16,183.01"
Sonitpur,132,"1,139",998.57,2,1.3,361,476.02,"3,931","4,471.81","1,830","1,192.30",838,382.79,0,0,5,46.83,"2,692","7,974.33","10,798","15,543.95"
South Salmara,14,-,-,0,0,-,-,1,0.90,1,5.76,-,-,0,0,0,0,18,25.90,20,32.56
Sribhumi,95,265,206.73,3,1.51,679,938.83,671,314.96,569,533.24,"2,750","1,509.59",0,0,0,0,"1,040","2,953.99","5,977","6,458.85"
Tamulpur,21,231,143.86,0,0,28,46.73,8,10.65,162,78.20,123,62.46,0,0,0,0,358,680.60,910,"1,022.50"
Tinsukia,153,"4,413","2,441.72",44,18.93,"1,638","2,625.20","1,300","1,885.57","2,689","1,526.34",287,137.35,0,0,6,65.52,"2,602","20,652.22","12,979","29,352.85"
Udalguri,55,"1,387",608.18,1,0.49,102,171.06,"1,877",774.96,429,509.48,136,147.00,0,0,2,2.28,"1,033","1,840.75","4,967","4,054.20"
West Karbi Anglong,22,5,6.52,0,0,46,60.02,0,0,2,8.56,5,-,0,0,0,0,29,102.72,87,177.82
