District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Kokrajhar,58,"18,312","30,200.00","13,863","22,688.49",75.13,"9,839","13,454.00","4,641","8,630.77",64.15,"5,709","27,500.00","2,814","21,025.08",76.45,"4,267","9,700.00","6,390","6,459.03",66.59,"28,288","67,400.00","23,067","50,172.60",74.44
Lakhimpur,91,"38,031","46,895.16","20,730","31,548.42",67.27,"29,474","33,220.36","10,856","9,950.57",29.95,"13,183","99,247.00","5,223","47,255.89",47.61,"4,056","10,393.28","5,040","5,788.99",55.70,"55,270","156,535.44","30,993","84,593.30",54.04
Majuli,16,"34,969","29,092.00","2,206","3,262.89",11.22,"29,349","25,060.00","1,027","1,803.23",7.20,745,"2,428.00",534,"2,890.63",119.05,594,"2,045.00",253,"1,075.25",52.58,"36,308","33,565.00","2,993","7,228.77",21.54
Morigaon,70,"90,894","71,357.54","14,433","19,798.48",27.75,"67,211","33,870.00","7,262","7,724.88",22.81,"2,507","27,037.38","3,064","15,244.15",56.38,"5,749","18,400.68","3,609","2,805.31",15.25,"99,150","116,795.60","21,106","37,847.94",32.41
Nagaon,153,"104,276","109,686.03","31,000","49,607.19",45.23,"73,070","70,739.17","11,659","12,991.05",18.36,"24,480","124,338.58","9,147","89,359.80",71.87,"11,186","20,541.84","11,992","9,388.46",45.70,"139,942","254,566.45","52,139","148,355.45",58.28
Nalbari,86,"18,886","41,050.00","14,604","27,461.17",66.90,"10,780","16,160.00","5,253","7,814.89",48.36,"10,469","38,815.00","3,870","36,547.71",94.16,"1,715","9,274.00","6,749","7,330.16",79.04,"31,070","89,139.00","25,223","71,339.04",80.03
Sivasagar,102,"58,879","53,783.66","15,984","26,063.18",48.46,"27,250","17,708.10","4,935","5,943.24",33.56,"21,454","109,516.93","4,745","52,327.50",47.78,"19,658","39,787.83","5,422","5,794.53",14.56,"99,991","203,088.42","26,151","84,185.21",41.45
Sonitpur,132,"22,384","43,505.00","19,371","33,891.35",77.90,"4,705","4,885.00","5,117","6,786.03",138.92,"5,380","81,967.00","6,395","84,448.40",103.03,"5,665","33,010.00","10,132","13,651.25",41.35,"33,429","158,482.00","35,898","131,991.00",83.28
South Salmara,14,"3,601","3,120.00",459,"1,071.66",34.35,501,500.00,218,411.90,82.38,"3,973","5,000.00",485,"3,132.19",62.64,"1,694","3,630.00",148,626.21,17.25,"9,268","11,750.00","1,092","4,830.06",41.11
Tamulpur,21,"47,735","21,912.00","2,434","5,172.96",23.61,"17,620","12,868.00",644,"1,929.45",14.99,"2,546","3,536.00",811,"3,161.60",89.41,"5,586","9,252.00",692,"1,056.24",11.42,"55,867","34,700.00","3,937","9,390.80",27.06
Tinsukia,153,"54,142","63,073.00","16,780","45,578.02",72.26,"45,237","34,194.37","7,726","8,123.12",23.76,"17,616","136,040.00","9,005","136,603.42",100.41,"24,108","15,857.00","6,273","6,831.31",43.08,"95,866","214,970.00","32,058","189,012.75",87.93
Udalguri,55,"47,650","36,252.00","8,696","12,647.26",34.89,"28,625","22,491.00","3,591","3,242.89",14.42,"1,966","21,001.00","2,158","13,320.99",63.43,"4,979","6,817.00","2,703","2,770.60",40.64,"54,595","64,070.00","13,557","28,738.85",44.86
West Karbi Anglong,22,"33,591","34,666.54","2,863","3,482.65",10.05,"24,502","22,126.07","2,095",872.13,3.94,132,532.15,754,967.52,181.81,"2,878","7,938.43",50,98.86,1.25,"36,601","43,137.12","3,667","4,549.03",10.55
