District,Crop Production,Water Resource,Farm,Plantation,Animal Husbandry,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,Msme Term,Msme Working,Msme Total,Export Credit,Education,Housing,Renewable Energy,Social Infra,Other Priority Sector Total,Districtwise Total Acp Acheivement
Kokrajhar,795.78,12.88,41.9,132.52,219.36,115.57,96.75,184.49,1599.25,446.63,4797.2,5243.83,3.96,29.37,1493.38,23.09,21.52,1571.32,8414.4
Lakhimpur,6307.19,4.87,128.5,42.26,6379.43,3712.84,8.65,1231.83,17815.57,11247.42,1913.79,13161.21,0,53.79,5337.94,492.97,16.85,5901.55,36878.33
Majuli,193.17,0,1.82,1.9,5.08,69.9,0,43,314.87,91.4,141.43,232.83,0,0.94,16.52,0,0,17.46,565.1600000000001
Morigaon,2284.99,86.15,187.54,126.36,3694.88,10184.09,31.57,1822.43,18418.01,12450.58,1260.66,13711.24,0,38.46,2151.84,134.43,0,2324.73,34453.98
Nagaon,7353.99,24,174.26,96.48,8234.77,16371.02,20.29,2333.37,34608.18,31472.55,4467.06,35939.61,150,262.13,7963.96,748.3,1.2,9125.59,79673.38
Nalbari,2365.13,7.9,66.01,23.17,1475.7,2761.65,6,466.95,7172.51,8640.32,2696.83,11337.15,0,88.2,5200.09,447.16,2.93,5738.38,24248.04
Sivasagar,4545.37,4.95,152.02,61.47,4735.01,7153.98,8.18,1457.71,18118.69,16436.55,3960.64,20397.19,0,81.91,3762.14,401.74,5.39,4251.18,42767.06
Sonitpur,3285.81,18.19,161.57,63.95,7092.17,9047.38,8.55,1302.68,20980.3,27038.28,3014.78,30053.06,0,142.66,10037.54,788.45,27.5,10996.15,62029.51
South Salmara,73.71,0,0,0,0,12.15,0,0,85.86,91.55,0,91.55,0,0,0,0,0,0,177.41
Tinsukia,9140.66,12.19,102.69,308.06,2726.22,9019.97,1515.35,4349.61,27174.75,20899.77,5491.76,26391.53,18,190.5,5357.91,1404.05,5.32,6975.78,60542.06
Udalguri,2583.53,1.8,18.18,153.22,24.26,198.83,3,33.61,3016.43,309.49,219.37,528.86,0,35.04,3214.74,2.96,3.85,3256.59,6801.88
West Karbi Anglong,957.06,0,8.87,53.93,207.12,131.2,0,0,1358.18,212.41,16.24,228.65,0,3.33,1000.45,0,0,1003.78,2590.61
