district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Kamrup Metro,9531,24992.31,29939,85818.67,743,3036.1,2461,9913.08,127,1876.81,474,4002.09,26,87.25,123,1127.95,3,1.13,5,3.97,76,1305.43,410,4214.34,10506,31299.03,33412,105080.1
Karbi Anglong,211,408.53,958,1233.46,1274,776.76,2713,2213.2,11,13,38,82.19,13,49.09,41,138.36,0,0,0,0,0,0,4,29.81,1509,1247.38,3754,3697.02
Karimganj,16135,12282.19,51959,33409.8,399,393.5,728,580.37,2,14.56,37,127.66,6,7,9,7.96,0,0,0,0,1,9.24,25,115.01,16543,12706.49,52758,34240.8
Kokrajhar,1823,1373.6,7186,6683.73,324,361.3,3009,2139.59,7,8.49,34,51.1,1,0.91,5,5.99,0,0,1,0.39,0,0,8,37.47,2155,1744.3,10243,8918.27
Lakhimpur,10158,6846.88,32245,18348.54,402,317.55,1416,786.1,13,29.55,133,507.83,12,24.64,59,81.34,2,0.75,32,21.01,1,1,111,1652.51,10588,7220.37,33996,21397.33
Majuli,34,35.14,611,346.76,1,0.2,4,1.29,1,0.45,1,0.45,0,0,2,1.28,0,0,0,0,0,0,3,10,36,35.79,621,359.78
Morigaon,15511,12061.69,55609,29641.74,68,114.38,220,200.78,11,13,72,157,4,8.15,8,16.63,0,0,3,3.7,1,6,21,67.15,15595,12203.22,55933,30087
Nagaon,55374,38430.47,162841,100422.78,300,314.26,895,1018.56,28,41.57,141,378.29,4,3.34,10,21.66,3,5.42,4,4.99,7,29.13,54,205.46,55716,38824.19,163945,102051.74
Nalbari,10498,7296.19,32043,20445.9,82,36.48,103,92.96,3,2.56,9,22.1,9,2.35,37,6,1,0.03,3,2.21,4,134.6,29,137.68,10597,7472.21,32224,20706.85
Sivasagar,7124,9266.7,21498,21112.57,199,321.42,791,885.26,10,18.67,54,107.79,37,23.25,137,162.68,0,0,22,25.59,7,20.6,134,1153.08,7377,9650.64,22636,23446.97
Sonitpur,18206,14132.7,55357,32523.57,607,839.24,1955,1985.59,19,44.95,86,243.05,25,19.65,122,217.15,7,4.45,24,10.27,12,84.3,50,228.17,18876,15125.29,57594,35207.8
South Salmara,702,956.35,2631,4921.16,1,11.06,5,21.75,6,8,28,58,0,0,1,0.2,0,0,0,0,0,0,0,0,709,975.41,2665,5001.11
Tinsukia,3012,3278.58,10710,10139.47,485,908.78,1608,2710.25,50,194.81,119,590.35,120,222.88,498,1042.85,2,1.5,22,19.39,19,444.66,542,1196.97,3688,5051.21,13499,15699.28
Udalguri,709,1222.29,4297,4870.6,913,1528.72,4956,7682.23,0,0,3,6.36,0,0,7,6.33,0,0,4,2.31,0,0,3,0.82,1622,2751.01,9270,12568.65
West Karbi Anglong,13,37.63,86,153.82,42,48.53,228,290.8,0,0,5,1.57,0,0,2,0.93,0,0,0,0,0,0,0,0,55,86.16,321,447.12
