District,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Goalpara,33495,17241.07,3199,2265.6,11303,6228.12,101,30.51,3492,2832.36,7583,2505.23,18317,16680.91,226,17.37,33913,14499.47,111629,62300.64
Golaghat,96351,45483.61,11179,6455.76,12000,7518.89,260,73.7,5228,4904.68,23247,6139.07,9464,4993.21,921,84.3,59419,25835.34,218069,101488.56
Hailakandi,22154,11733.14,4126,3016.08,1409,1241.34,125,25.75,2229,1389.38,3243,1595,20424,17765.87,120,21.56,22115,10759.59,75945,47547.71
Hojai,32946,17963.59,6305,4562.52,3560,2725.37,245,56.29,2133,1823.17,5590,2720.47,18467,13871.72,197,30.34,42665,20589.8,112108,64343.27
Jorhat,62596,28981,10079,7084.52,13002,8367.43,318,346.28,5073,4586.42,21626,6800.16,6229,9727.08,480,56.44,73733,33644.86,193136,99594.19
Kamrup Metro,92647,49696.18,9490,6929.88,9851,7015.63,341,167.26,9820,8194.48,33190,8228.1,27268,24748.37,398,39.42,107037,40749.34,290042,145768.66
Karbi Anglong,10354,5603.94,938,1305.09,12639,15083.43,32,4.12,2791,1966.31,10221,3236.2,1246,2243.22,169,5.18,21608,6672.97,59998,36120.46
Karimganj,43922,28048.69,9091,4731.54,2202,1617.39,227,79.38,3591,2424.92,8767,2431.57,19758,15204.96,281,56.5,49736,21899.49,137575,76494.44
Kokrajhar,25161,14016.87,2439,1969.89,14308,16432.63,71,8.56,2169,1941.22,5557,2683.7,11436,7534.56,94,12.23,17831,8167.14,79066,52766.8
Lakhimpur,70392,43363.28,11174,9863.96,16030,17686.15,391,104.66,5723,5123.04,18521,7779.63,12633,11904.13,96,36.18,78791,50414.03,213751,146275.06
Majuli,6241,3220.36,847,587,2477,1811.73,15,9.14,744,660.13,676,378.98,612,346.13,45,4.24,4246,2036.4,15903,9054.11
Morigaon,58317,37440.86,7570,5103.95,8992,6121.34,311,76.33,4369,3362.28,8888,3133.77,21736,14386.49,1716,120.28,39272,19111.1,151171,88856.4
Nagaon,116921,60587.65,13094,10438.26,9292,6635.14,478,112.31,7152,6609.46,34621,10164.41,58892,46182.82,1617,123.36,112201,59624.96,354268,200478.37
Nalbari,44958,21864.45,4305,3275.43,3867,3221.49,115,66.68,6175,6268.3,26981,5464.78,14364,12262.06,405,60.1,41601,16283.02,142771,68766.31
Sivasagar,45294,21849.05,5337,4700.2,4202,3712.18,193,76.28,3177,2939.89,13180,3988.7,6883,11474.78,594,52.51,54453,21712.3,133313,70505.89
Sonitpur,55467,31632.17,7044,6330.37,8325,7016.08,243,203.8,6765,4866.92,11817,4483.02,13276,14363.23,833,249.85,73047,36386.52,176817,105531.96
South Salmara,2463,1021.69,35,80.8,28,8.39,0,0,359,316.07,288,121.13,2670,5033.03,14,0.05,199,264.67,6056,6845.83
Tinsukia,58474,41367.4,5361,6123.99,7985,9177.58,224,71.43,4403,3943.85,17020,11233.18,5923,9179.33,1031,150.77,43159,18982.61,143580,100230.14
Udalguri,36902,22683.33,2345,1692.88,25513,24824.68,33,49.19,2571,2419.18,4871,2817.83,7608,9308.62,79,2.58,19945,7264.25,99867,71062.54
West Karbi Anglong,2496,1494.51,129,186.49,2150,3492.02,1,0.01,2083,1075.28,3658,1138.85,299,584.34,14,0.34,1680,362.26,12510,8334.1
