district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Kendrapara,7.65,3.07,40.13,11.22,14.55,129.67,48.45,48.56,100.24,6.32,6.92,109.50,823.12,212.97,25.87,59.93,6.93,11.57,5399.35,3948.29,73.13
Keonjhar,2.55,0.04,1.41,13.12,12.59,95.94,107.10,48.79,45.55,2.52,9.39,371.78,571.88,252.84,44.21,35.83,8.87,24.77,6527.46,5105.08,78.21
Khordha,6757.50,3252.94,48.14,335.75,185.94,55.38,2116.50,512.45,24.21,26.86,83.79,311.97,2333.10,973.94,41.74,95.88,106.44,111.02,53088.74,38134.61,71.83
Koraput,2.17,0.13,6.12,42.53,9.48,22.30,165.91,50.09,30.19,27.81,3.56,12.81,278.26,114.76,41.24,166.66,0.13,0.08,6000.24,3209.43,53.49
Malkangiri,2.55,0.00,0.00,5.95,1.21,20.37,41.23,7.16,17.36,0.49,1.27,257.03,94.02,17.55,18.67,39.44,0.16,0.41,1136.10,702.83,61.86
Mayurbhanj,28.05,0.00,0.00,59.50,11.75,19.75,274.23,70.77,25.81,4.02,12.21,303.67,944.00,266.46,28.23,23.72,4.69,19.78,6593.24,4573.87,69.37
Nabarangpur,2.55,0.00,0.00,6.38,2.83,44.41,47.94,15.28,31.87,0.24,3.00,1261.70,124.90,45.25,36.23,2.64,4.41,167.49,2243.88,1569.39,69.94
Nayagarh,0.00,0.00,,4.60,11.13,242.01,420.43,62.23,14.80,0.20,11.20,5485.39,717.03,396.30,55.27,6.87,8.56,124.60,4541.43,3417.78,75.26
Nuapada,2.55,0.00,0.00,9.01,2.45,27.18,67.95,20.78,30.59,5.26,7.52,143.01,125.00,29.73,23.79,15.30,0.38,2.45,1852.81,1185.24,63.97
Puri,8.22,18.74,228.04,24.24,28.26,116.61,115.80,79.24,68.43,2.81,11.86,422.72,641.76,571.81,89.10,49.68,9.15,18.41,7828.77,4782.85,61.09
Rayagada,0.00,0.04,,22.10,7.68,34.77,97.19,38.30,39.41,12.57,6.50,51.69,187.37,53.88,28.76,20.57,0.33,1.62,3171.71,2278.89,71.85
Sambalpur,10.20,13.31,130.51,56.10,32.15,57.30,268.60,75.43,28.08,50.28,19.09,37.97,414.86,77.97,18.79,145.35,4.99,3.43,7887.72,5191.76,65.82
Subarnapur,5.10,0.00,0.00,15.73,3.18,20.23,82.11,19.77,24.08,9.48,7.77,81.99,139.20,60.24,43.28,41.74,0.10,0.23,2890.03,1799.89,62.28
Sundargarh,201.45,1883.60,935.02,69.27,39.59,57.15,426.09,81.76,19.19,12.14,67.30,554.17,369.06,115.94,31.42,1139.92,1.98,0.17,24417.20,16199.15,66.34
