Sl No.,BankName,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt.,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.,Agri NPA Amt %,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt.,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
7,IOB,0,0,0,0,2,803.58,0,0,33
8,PNB,292,194.14,24,20.55,0,0,13,10.42,414
9,PSB,0,0,0,0,0,0,0,0,20
10,SBI,22450,12734.32,60,46.49,1,5.33,577,655.87,1711
11,UCO,10,30.56,12,11.04,0,0,0,0,159
12,UNI,25,15.38,10,2.37,0,0,2,0.98,97
Public,Total,23089,13190.21,258,179.12,4,814.78,611,1327.46,3523
1,AXIS,0,0,91,14.21,0,0,0,0,5
2,BAND,0,0,177,21.86,0,0,11,4.5,37
3,FED,11,15.72,0,0,0,0,0,0,0
4,HDFC,0,0,480,71,0,0,0,0,30
5,ICICI,0,0,1,0.82,0,0,0,0,2
6,IDBI,0,0,1,2.4,0,0,0,0,13
7,IDFC,0,0,0,0,0,0,0,0,0
8,INDUS,0,0,0,0,0,0,0,0,0
9,KMB,0,0,0,0,0,0,0,0,0
10,SIB,0,0,0,0,0,0,0,0,2
11,YES,0,0,0,0,0,0,0,0,0
Private,Total,11,15.72,750,110.29,0,0,11,4.5,89
1,MLRB,721,485.18,692,394.14,0,0,0,0,1220
RRB,Total,721,485.18,692,394.14,0,0,0,0,1220
1,JUCB,0,0,0,0,0,0,0,0,131
2,MCAB,8581,3577.5,0,0,13066,3303.17,0,0,5811
3,SCUB,0,0,0,0,0,0,0,0,13
4,TCUB,0,0,0,0,0,0,0,0,0
Grand,Total,32403,17268.64,1701,683.6,13070,4117.95,680,1343.52,10921
0,0,3,8.31,0,0,0,0,9,31.19,1
0,0,0,0,0,0,0,0,1,4.77,0
0,0,0,0,0,0,0,0,0,0,0
1,0.92,0,0,0,0,0,0,9,21.37,2
0,0,4,3.82,4,3.82,0,0,1,0.58,0
0,0,17,1.39,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,17,37.45,3
37,18.7,0,0,0,0,0,0,0,0,0
0,0,0,0,12,24.18,0,0,27,54.89,10
0,0,1,3.16,0,0,0,0,1,3.34,2
0,0,0,0,0,0,0,0,4,24.43,0
38,19.62,25,16.68,16,28,0,0,69,178.02,20
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,72.97,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,4.5,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,72.97,0,0,0,0,0,0,1,4.5,4
0,0,227,461.45,0,0,0,0,9,18.52,23
0,0,227,461.45,0,0,0,0,9,18.52,23
0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,35,89.68,179
0,0,0,0,0,0,0,0,1,0.44,0
0,0,0,0,0,0,0,0,0,0,4
39,92.59,252,478.13,16,28,0,0,115,291.16,233
0,0,0,0,235,648.5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,3,0.57,410,709.37,0,0,0,0,0
0,0,0,0,144,58.24,0,0,0,0,0
0,0,0,0,119,46.82,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,693,786.39,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23719,14620.77,0,0,0,0,21
0,0,2,1.18,180,880.21,0,0,0,0,0
0,0,4,0.06,257,305.43,0,0,0,0,4
0,0,9,1.81,25757,18055.73,0,0,0,0,26
0,0,0,0,94,32.9,0,0,0,0,1
0,0,19,6.57,242,35.48,0,0,0,0,0
0,0,0,0,11,15.72,0,0,0,0,0
0,0,239,27.39,0,0,46,9.96,0,0,0
0,0,0,0,3,23.24,0,0,0,0,1
0,0,0,0,8,40.71,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,258,33.96,358,148.05,46,9.96,0,0,2
0,0,1290,2134.49,4072,5672.83,0,0,0,0,0
0,0,1290,2134.49,4072,5672.83,0,0,0,0,0
0,0,8,58.16,142,583.04,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,706,214.62,534,223.39,0,0,0,0,0
0,0,244,434.64,0,0,0,0,0,0,0
0,0,2546,2880.43,30877,24684.79,46,9.96,0,0,28
