district,period,acp_achievement__ach,acp_achievement__target,cd_ratio__approved_by_government,cd_ratio__forwarded_by_nodal_officer,cd_ratio__forwarded_by_slbc,cd_ratio__processed_by_bank_branch,crop_loan__ach,crop_loan__achieve_ment,crop_loan__achievem_ent,crop_loan__achievement,crop_loan__ag_target,crop_loan__no,crop_loan__riculture_achievement,crop_loan__target,education_loan__0,education_loan__102_28,education_loan__10_86,education_loan__12_58,education_loan__21_72,education_loan__35_59,education_loan__3_21,education_loan__4_35,education_loan__6_23,education_loan__7_74,education_loan__approved_by_government,education_loan__forwarded_by_nodal_officer,education_loan__forwarded_by_slbc,education_loan__processed_by_bank_branch,education_loan__sbi,education_loan__sponsor_bank,rseti__bpl,rseti__sc,rseti__st,rseti__women,uncategorized__achievement,uncategorized__achievement_of_q1,uncategorized__achievement_of_q3,uncategorized__target_for_2020_21,uncategorized__target_for_2021_22,uncategorized__target_for_2022_23
Ernakulam,December 2020,106,333498780,,,,,76,,,61705310,,,,81725235,,,,,,,,,,,,,,,,,0,15,0,105,73%,,5982,8228,,
Idukki,December 2020,65,74906626,,,,,60,,,24173777,,,,40434072,,,,,,,,,,,,,,,,,27,0,0,20,109%,,699,643,,
Kannur,December 2020,41,195438055,,,,,63,,,29238392,,,,46089947,,,,,,,,,,,,,,,,,63,6,1,17,47%,,999,2104,,
Kollam,December 2020,119,114313859,,,,,110,,,54072058,,,,49018490,,,,,,,,,,,,,,,,,135,30,0,145,102%,,2294,2240,,
Kottayam,December 2020,50,190000000,,,,,58,,,38774223,,,,67000000,,,,,,,,,,,,,,,,,97,15,1,73,37%,,955,2600,,
Kozhikode,December 2020,81,216430200,,,,,77,,,57156866,,,,74670200,,,,,,,,,,,,,,,,,36,9,0,38,74%,,2276,3085,,
Malappuram,December 2020,58,160420000,,,,,61,,,40444937,,,,66270000,,,,,,,,,,,,,,,,,311,32,0,269,75%,,1676,2226,,
Palakkad,December 2020,84,132612438,,,,,103,,,52477062,,,,50769100,,,,,,,,,,,,,,,,,131,35,2,109,26%,,976,3690,,
Pathanamthitta,December 2020,53,75852908,,,,,71,,,20316067,,,,28587517,,,,,,,,,,,,,,,,,180,36,0,183,73%,,729,1005,,
Thrissur,December 2020,84,210644000,,,,,89,,,58003913,,,,65055000,,,,,,,,,,,,,,,,,148,39,0,147,79%,,3599,4572,,
Wayanad,December 2020,74,46000000,,,,,77,,,25254410,,,,32600000,,,,,,,,,,,,,,,,,77,6,6,83,76%,,426,560,,
Alappuzha,March 2021,101,105000000,,,,,81,,,45660892,,,,56300000,,,,,,,,,,,,,,,,,403,53,1,374,,,,,,
Ernakulam,March 2021,145,333498780,,,,,93,,,76394757,,,,81725235,,,,,,,,,,,,,,,,,194,59,2,303,,,,,,
Idukki,March 2021,104,74906626,,,,,91,,,36939236,,,,40434072,,,,,,,,,,,,,,,,,234,14,3,247,,,,,,
Kannur,March 2021,69,195438055,,,,,112,,,51412629,,,,46089947,,,,,,,,,,,,,,,,,326,22,5,188,,,,,,
Kollam,March 2021,165,114313859,,,,,176,,,86311234,,,,49018490,,,,,,,,,,,,,,,,,312,64,0,330,,,,,,
Kottayam,March 2021,83,190000000,,,,,142,,,95433003,,,,67000000,,,,,,,,,,,,,,,,,425,62,5,398,,,,,,
Kozhikode,March 2021,93,216430200,,,,,94,,,70218759,,,,74670200,,,,,,,,,,,,,,,,,240,39,7,277,,,,,,
Malappuram,March 2021,83,160420000,,,,,87,,,57464951,,,,66270000,,,,,,,,,,,,,,,,,505,48,0,403,,,,,,
Palakkad,March 2021,125,132612438,,,,,148,,,75104434,,,,50769100,,,,,,,,,,,,,,,,,272,66,3,244,,,,,,
Pathanamthitta,March 2021,67,75852908,,,,,95,,,27214867,,,,28587517,,,,,,,,,,,,,,,,,322,188,1,324,,,,,,
Thrissur,March 2021,130,210644000,,,,,131,,,85371255,,,,65055000,,,,,,,,,,,,,,,,,321,87,1,263,,,,,,
Wayanad,March 2021,117,46000000,,,,,109,,,35373517,,,,32600000,,,,,,,,,,,,,,,,,264,17,43,292,,,,,,
Alappuzha,June 2021,25,110000000,,,,,17,,,10008102,,,,58980000,,,,,,,,,,,,,,,,,207,23,1,164,30%,513,,,1692,
Ernakulam,June 2021,51,336232815,,,,,30,,,21525097,,,,71765229,,,,,,,,,,,,,,,,,14,2,0,13,36%,3076,,,8539,
Idukki,June 2021,14,78416910,,,,,12,,,5173574,,,,42903386,,,,,,,,,,,,,,,,,0,0,0,0,17%,122,,,708,
Kannur,June 2021,18,201023102,,,,,23,,,11590787,,,,49415663,,,,,,,,,,,,,,,,,24,0,0,0,17%,359,,,2168,
Kollam,June 2021,17,145755190,,,,,21,,,11988746,,,,56587990,,,,,,,,,,,,,,,,,21,2,0,23,20%,717,,,3630,
Kottayam,June 2021,15,191000000,,,,,14,,,9536624,,,,67200000,,,,,,,,,,,,,,,,,50,5,2,53,23%,595,,,2610,
Kozhikode,June 2021,34,218586000,,,,,22,,,16416444,,,,74807100,,,,,,,,,,,,,,,,,0,0,0,0,30%,925,,,3095,
Malappuram,June 2021,19,163227500,,,,,15,,,9302749,,,,63752000,,,,,,,,,,,,,,,,,22,0,0,25,15%,463,,,3011,
Palakkad,June 2021,15,156400000,,,,,16,,,9595569,,,,59590000,,,,,,,,,,,,,,,,,67,10,0,70,4%,186,,,4272,
Pathanamthitta,June 2021,18,79852908,,,,,17,,,5395785,,,,31587517,,,,,,,,,,,,,,,,,41,12,0,37,23%,250,,,1105,
Thrissur,June 2021,28,228500000,,,,,33,,,21854568,,,,65342000,,,,,,,,,,,,,,,,,14,2,0,25,31%,1620,,,5201,
Wayanad,June 2021,24,50000000,,,,,25,,,8886440,,,,35900000,,,,,,,,,,,,,,,,,19,1,0,23,36%,213,,,600,
Alappuzha,September 2021,36,110000000,,,,,26,,,15601024,,,,58980000,,,,,,,,,,,,,,,,,346,39,3,351,,,,,,
Ernakulam,September 2021,83,336232815,,,,,71,,,50862893,,,,71765229,,,,,,,,,,,,,,,,,14,2,0,13,,,,,,
Idukki,September 2021,30,78416910,,,,,28,,,12028159,,,,42903386,,,,,,,,,,,,,,,,,31,1,9,31,,,,,,
Kannur,September 2021,35,201023102,,,,,53,,,26019711,,,,49415663,,,,,,,,,,,,,,,,,24,0,0,0,,,,,,
Kollam,September 2021,135,145755190,,,,,120,,,67771010,,,,56587990,,,,,,,,,,,,,,,,,42,4,0,46,,,,,,
Kottayam,September 2021,37,191000000,,,,,44,,,29567535,,,,67200000,,,,,,,,,,,,,,,,,100,10,4,106,,,,,,
Kozhikode,September 2021,52,218586000,,,,,44,,,32741734,,,,74807100,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,
Malappuram,September 2021,37,163227500,,,,,38,,,24465553,,,,63752000,,,,,,,,,,,,,,,,,217,16,45,220,,,,,,
Palakkad,September 2021,52,156400000,,,,,63,,,37311478,,,,59590000,,,,,,,,,,,,,,,,,120,15,0,89,,,,,,
Pathanamthitta,September 2021,56,79852908,,,,,69,,,21761693,,,,31587517,,,,,,,,,,,,,,,,,68,16,0,63,,,,,,
Thrissur,September 2021,61,228500000,,,,,76,,,49889316,,,,65342000,,,,,,,,,,,,,,,,,70,11,0,87,,,,,,
Wayanad,September 2021,47,50000000,,,,,53,,,19205306,,,,35900000,,,,,,,,,,,,,,,,,19,1,0,23,,,,,,
Alappuzha,December 2021,39,110000000,,,,,35,,,20855021,,,,58980000,,,,,,,,,,,,,,,,,577,57,10,557,,,,,,
Ernakulam,December 2021,132,336232815,,,,,86,,,61676534,,,,71765229,,,,,,,,,,,,,,,,,163,40,0,189,,,,,,
Idukki,December 2021,60,78416910,,,,,57,,,24270648,,,,42903386,,,,,,,,,,,,,,,,,101,20,13,100,,,,,,
Kannur,December 2021,59,201023102,,,,,101,,,49856437,,,,49415663,,,,,,,,,,,,,,,,,223,9,7,148,,,,,,
Kollam,December 2021,100,145755190,,,,,97,,,55005248,,,,56587990,,,,,,,,,,,,,,,,,173,19,0,157,,,,,,
Kottayam,December 2021,58,191000000,,,,,66,,,44395856,,,,67200000,,,,,,,,,,,,,,,,,251,33,7,298,,,,,,
Kozhikode,December 2021,83,218586000,,,,,81,,,60906803,,,,74807100,,,,,,,,,,,,,,,,,100,11,0,76,,,,,,
Malappuram,December 2021,73,163227500,,,,,66,,,42163951,,,,63752000,,,,,,,,,,,,,,,,,458,53,45,416,,,,,,
Palakkad,December 2021,87,156400000,,,,,101,,,60176761,,,,59590000,,,,,,,,,,,,,,,,,359,66,3,335,,,,,,
Pathanamthitta,December 2021,78,79852908,,,,,100,,,31623740,,,,31587517,,,,,,,,,,,,,,,,,305,69,0,310,,,,,,
Thrissur,December 2021,90,228500000,,,,,110,,,71958356,,,,65342000,,,,,,,,,,,,,,,,,259,63,6,247,,,,,,
Wayanad,December 2021,78,50000000,,,,,71,,,25367758,,,,35900000,,,,,,,,,,,,,,,,,164,8,10,128,,,,,,
Alappuzha,March 2022,37,110000000,,,,,26,,,15100946,,,,58980000,,,,,,,,,,,,,,,,,792,77,12,784,,,,,,
Ernakulam,March 2022,199,336232815,,,,,130,,,92989391,,,,71765229,,,,,,,,,,,,,,,,,288,69,0,310,,,,,,
Idukki,March 2022,91,78416910,,,,,84,,,36244198,,,,42903386,,,,,,,,,,,,,,,,,227,57,17,241,,,,,,
Kannur,March 2022,76,201023102,,,,,142,,,70320770,,,,49415663,,,,,,,,,,,,,,,,,434,17,25,272,,,,,,
Kollam,March 2022,146,145755190,,,,,123,,,69481025,,,,56587990,,,,,,,,,,,,,,,,,357,46,1,345,,,,,,
Kottayam,March 2022,90,191000000,,,,,93,,,62691127,,,,67200000,,,,,,,,,,,,,,,,,449,70,11,510,,,,,,
Kozhikode,March 2022,147,218586000,,,,,112,,,83678270,,,,74807100,,,,,,,,,,,,,,,,,303,45,4,331,,,,,,
Malappuram,March 2022,107,163227500,,,,,122,,,77647689,,,,63752000,,,,,,,,,,,,,,,,,656,90,46,602,,,,,,
Palakkad,March 2022,125,156400000,,,,,139,,,83054092,,,,59590000,,,,,,,,,,,,,,,,,503,109,3,492,,,,,,
Pathanamthitta,March 2022,102,79852908,,,,,134,,,42260097,,,,31587517,,,,,,,,,,,,,,,,,379,81,0,390,,,,,,
Thrissur,March 2022,134,228500000,,,,,143,,,93189334,,,,65342000,,,,,,,,,,,,,,,,,430,110,7,389,,,,,,
Wayanad,March 2022,149,50000000,,,,,120,,,43189119,,,,35900000,,,,,,,,,,,,,,,,,282,13,25,264,,,,,,
Alappuzha,June 2022,45,114100400,4898693,4898693,4898693,5687139,34,,381405,18979738,,,,56594642,,,,,,,,,,,,,,,,,158,20,0,166,68%,1160,,,,1710
Ernakulam,June 2022,82,404119050,,,,,29,,1082163,19154939,,,,66600000,,,,,,,,,,,,,,,,,111,33,0,139,85%,7992,,,,9452
Idukki,June 2022,31,86005989,6826299,6826299,6826299,15384494,40,,4159046,25405628,,,,63932000,,,,,,,,,,,,,,,,,91,13,3,87,66%,563,,,,849
Kannur,June 2022,27,202240285,160481,239656,160481,337831,60,,7131842,37321842,,,,62500000,,,,,,,,,,,,,,,,,113,8,3,41,47%,1124,,,,2383
Kollam,June 2022,42,164647000,10151088,10745988,10249188,11744118,43,,12061671,37438977,,,,86441395,,,,,,,,,,,,,,,,,138,30,0,141,45%,1845,,,,4101
Kottayam,June 2022,31,192000000,0,0,0,0,26,,91009,9747294,,,,37863000,,,,,,,,,,,,,,,,,77,10,2,36,49%,1533,,,,3125
Kozhikode,June 2022,39,237122993,,,,,30,,122457,12356211,,,,41199680,,,,,,,,,,,,,,,,,152,31,0,138,33%,1572,,,,4778
Malappuram,June 2022,31,167000000,0,0,0,0,32,,909967,20681071,,,,65500000,,,,,,,,,,,,,,,,,153,20,0,131,36%,1089,,,,3037
Palakkad,June 2022,31,171050000,,,,,30,,184370,19805173,,,,65030000,,,,,,,,,,,,,,,,,189,53,0,174,21%,906,,,,4299
Pathanamthitta,June 2022,35,88127970,,,,,25,,266984,11945850,,,,48527135,,,,,,,,,,,,,,,,,89,24,0,74,59%,725,,,,1229
Thrissur,June 2022,52,254033770,,,,,31,,946425,21901013,,,,69591860,,,,,,,,,,,,,,,,,137,34,0,129,29%,1761,,,,6040
Wayanad,June 2022,25,55000000,,,,,39,,2499980,34529106,,,,88850000,,,,,,,,,,,,,,,,,105,7,30,126,42%,280,,,,660
Alappuzha,September 2022,84,114100400,,,,,69,,4209509,41471576,,,,60500000,,,,,,,,,,,,,,,,,317,34,0,339,,,,,,
Ernakulam,September 2022,146,404119050,,,,,86,,19868980,73999229,,,,86441395,,,,,,,,,,,,,,,,,266,69,0,291,,,,,,
Idukki,September 2022,55,86005989,,,,,51,,404573,24661731,,,,48527135,,,,,,,,,,,,,,,,,149,22,4,158,,,,,,
Kannur,September 2022,40,202240285,,,,,64,,388545,36155815,,,,56594642,,,,,,,,,,,,,,,,,237,20,7,108,,,,,,
Kollam,September 2022,76,164647000,,,,,85,,5428882,54094331,,,,63932000,,,,,,,,,,,,,,,,,334,72,0,340,,,,,,
Kottayam,September 2022,57,192000000,,,,,63,,1519987,41858675,,,,66600000,,,,,,,,,,,,,,,,,313,44,8,256,,,,,,
Kozhikode,September 2022,49,237122993,,,,,57,,1176827,39511481,,,,69591860,,,,,,,,,,,,,,,,,256,66,1,269,,,,,,
Malappuram,September 2022,54,167000000,,,,,63,,323086,40764047,,,,65030000,,,,,,,,,,,,,,,,,366,49,0,322,,,,,,
Palakkad,September 2022,61,171050000,,,,,75,,1540655,49134408,,,,65500000,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathanamthitta,September 2022,71,88127970,,,,,68,,162771,28127236,,,,41199680,,,,,,,,,,,,,,,,,259,60,4,189,,,,,,
Thrissur,September 2022,79,254033770,,,,,62,,2765540,55525673,,,,88850000,,,,,,,,,,,,,,,,,"309
431","71
93","1
16","259
440",,,,,,
Wayanad,September 2022,50,55000000,,,,,38,,287556,15294200,,,,40000000,,,,,,,,,,,,,,,,,296,23,44,317,,,,,,
Alappuzha,December 2022,113,114100400,,,,,99,,4487726,59672982,,,,60500000,0,84.37,10.3,10.23,22.6,19,2.44,3.91,6.33,9.56,,,,,,,512,44,0,540,139%,,2371,,,1710
Ernakulam,December 2022,212,404119050,,,,,119,,22950153,102645352,,,,86441395,,,,,,,,,,,,,,,UBI (Ernakulam),,385,110,1,435,165%,,15638,,,9452
Idukki,December 2022,76,86005989,,,,,72,,548303,34734982,,,,48527135,0,46.05,4.73,4.57,6.93,17.07,0.6,1.66,4.27,6.22,,,,,,,249,30,6,236,92%,,785,,,849
Kannur,December 2022,66,202240285,,,,,112,,818623,63204105,,,,56594642,,,,,,,,,,,,,,,RUDSET (Kannur),,497,39,12,276,73%,,1748,,,2383
Kollam,December 2022,105,164647000,,,,,117,,4008691,74887655,,,,63932000,,,,,,,,,,,,,,,,Syndicate (Kollam),441,90,0,449,84%,,3439,,,4101
Kottayam,December 2022,79,192000000,,,,,88,,1365682,58758695,,,,66600000,1.19,88.02,7.01,12.29,27.07,17.58,2.65,6.67,7.28,7.47,,,,,,,592,96,12,582,74%,,2324,,,3125
Kozhikode,December 2022,97,237122993,,,,,97,,984903,67809415,,,,69591860,,,,,,,,,,,,,,,(Kozhikode),,488,91,1,496,57%,,2742,,,4778
Malappuram,December 2022,82,167000000,,,,,99,,1590473,64639067,,,,65030000,,,,,,,,,,,0,0,0,0,,,716,83,0,462,64%,,1950,,,3037
Palakkad,December 2022,83,171050000,,,,,112,,1265783,73184901,,,,65500000,,,,,,,,,,,,,,,(Palakkad),,663,135,16,622,43%,,1843,,,4299
Pathanamthitta,December 2022,97,88127970,,,,,95,,245532,39238417,,,,41199680,,,,,,,,,,,,,,,(Pathanamthitta),,583,138,7,438,99%,,1221,,,1229
Thrissur,December 2022,115,254033770,,,,,90,,2753037,79725735,,,,88850000,,,,,,,,,,,,,,,(Thrissur),,525,113,1,414,52%,,3123,,,6040
Wayanad,December 2022,73,55000000,,,,,59,,644738,23475848,,,,40000000,0,93.16,8.36,13.34,17,32.7,2.3,4.02,7.02,8.42,,,,,,,470,24,48,420,83%,,549,,,660
Alappuzha,March 2023,150,114100400,,,,,128,,5467051,77161226,,,,60500000,,,,,,,,,,,,,,,,,666,57,0,704,,,,,,
Ernakulam,March 2023,303,404119050,,,,,157,,29299419,135366375,,,,86441395,,,,,,,,,,,,,,,,,471,131,2,543,,,,,,
Idukki,March 2023,100,86005989,,,,,98,,490199,47374021,,,,48527135,,,,,,,,,,,,,,,,,354,46,15,361,,,,,,
Kannur,March 2023,93,202240285,,,,,159,,1251883,90019706,,,,56594642,,,,,,,,,,,,,,,,,621,47,13,381,,,,,,
Kollam,March 2023,134,164647000,,,,,156,,7276188,99606837,,,,63932000,,,,,,,,,,,,,,,,,631,122,0,612,,,,,,
Kottayam,March 2023,111,192000000,,,,,139,,2225362,92677427,,,,66600000,,,,,,,,,,,,,,,,,664,115,12,665,,,,,,
Kozhikode,March 2023,135,237122993,,,,,141,,1633246,98009615,,,,69591860,,,,,,,,,,,,,,,,,571,100,1,564,,,,,,
Malappuram,March 2023,112,167000000,,,,,133,,812126,86448148,,,,65030000,,,,,,,,,,,,,,,,,923,108,2,610,,,,,,
Palakkad,March 2023,121,171050000,,,,,145,,2205868,94715300,,,,65500000,,,,,,,,,,,,,,,,,699,145,16,657,,,,,,
Pathanamthitta,March 2023,134,88127970,,,,,121,,342821,50013836,,,,41199680,,,,,,,,,,,,,,,,,748,207,7,555,,,,,,
Thrissur,March 2023,161,254033770,,,,,119,,3293217,106117260,,,,88850000,,,,,,,,,,,,,,,,,700,152,1,543,,,,,,
Wayanad,March 2023,102,55000000,,,,,81,,1221803,32220369,,,,40000000,,,,,,,,,,,,,,,,,569,37,58,488,,,,,,
Alappuzha,June 2023,45.66%,125000000,,,,,36.25%,35675,2966674,6105962,65800000,,23850189,6027800,,,,,,,,,,,,,,,,,165,26,0,170,,,,,,
Ernakulam,June 2023,31.01%,1517199700,,,,,8.98%,129752,14117918,7772559,536136900,,48146978,166300000,,,,,,,,,,,,,,,,,124,28,1,169,,,,,,
Idukki,June 2023,33.33%,98368300,,,,,29.84%,67694,310829,4307638,55754300,,16634481,6255900,,,,,,,,,,,,,,,,,129,9,3,144,,,,,,
Kannur,June 2023,25.71%,196173100,,,,,31.01%,11025,543399,2632042,78873700,,24458059,1350600,,,,,,,,,,,,,,,,,159,23,6,102,,,,,,
Kollam,June 2023,44.00%,200000000,,,,,51.56%,98695,4958886,5438436,77920700,,40176804,27558900,,,,,,,,,,,,,,,,,168,39,0,177,,,,,,
Kottayam,June 2023,33.37%,224000000,,,,,31.88%,30655,1952550,5093900,86250000,,27500562,1940000,,,,,,,,,,,,,,,,,134,25,2,112,,,,,,
Kozhikode,June 2023,27.62%,337901537,,,,,25.91%,13540,1575674,4114272,99453814,,25766951,1444524,,,,,,,,,,,,,,,,,132,16,2,105,,,,,,
Malappuram,June 2023,39.60%,188000000,,,,,31.03%,277991,607172,6330676,88000000,,27307003,1966100,,,,,,,,,,,,,,,,,161,11,5,90,,,,,,
Palakkad,June 2023,33.75%,200380000,,,,,31.85%,33171,1998027,8254553,98680000,,31427507,14888900,,,,,,,,,,,,,,,,,134,29,0,175,,,,,,
Pathanamthitta,June 2023,77.98%,126179300,,,,,50.32%,16525,162349,13171012,51788100,,26058099,497400,,,,,,,,,,,,,,,,,192,52,5,155,,,,,,
Thrissur,June 2023,35.96%,370014600,,,,,34.89%,9562,3226148,9366001,110001000,,38384446,2372900,,,,,,,,,,,,,,,,,102,24,3,101,,,,,,
Wayanad,June 2023,27.20%,70000000,,,,,23.38%,49905,739263,1946859,45000000,,10522994,650100,,,,,,,,,,,,,,,,,112,7,12,88,,,,,,
Alappuzha,September 2023,77.04%,125000000,,,,,64.42%,,,42388462,,,,65800000,,,,,,,,,,,,,,,,,358,35,0,348,,,,,,
Ernakulam,September 2023,50.09%,1517199700,,,,,14.27%,,,76523009,,,,536136900,,,,,,,,,,,,,,,,,419,90,3,511,,,,,,
Idukki,September 2023,45.31%,98368300,,,,,42.48%,,,23686559,,,,55754300,,,,,,,,,,,,,,,,,240,29,10,254,,,,,,
Kannur,September 2023,49.00%,196173100,,,,,58.59%,,,46208861,,,,78873700,,,,,,,,,,,,,,,,,317,29,10,219,,,,,,
Kollam,September 2023,60.24%,200000000,,,,,65.25%,,,50846858,,,,77920700,,,,,,,,,,,,,,,,,313,61,0,334,,,,,,
Kottayam,September 2023,49.24%,224000000,,,,,49.67%,,,42838903,,,,86250000,,,,,,,,,,,,,,,,,414,88,7,403,,,,,,
Kozhikode,September 2023,74.59%,337901537,,,,,83.35%,,,82894682,,,,99453814,,,,,,,,,,,,,,,,,274,35,2,253,,,,,,
Malappuram,September 2023,57.54%,188000000,,,,,53.59%,,,47160456,,,,88000000,,,,,,,,,,,,,,,,,328,39,6,250,,,,,,
Palakkad,September 2023,62.84%,200380000,,,,,57.20%,,,56445109,,,,98680000,,,,,,,,,,,,,,,,,337,73,0,370,,,,,,
Pathanamthitta,September 2023,47.63%,126179300,,,,,52.85%,,,27371237,,,,51788100,,,,,,,,,,,,,,,,,437,101,5,328,,,,,,
Thrissur,September 2023,57.97%,370014600,,,,,57.12%,,,62830807,,,,110001000,,,,,,,,,,,,,,,,,298,80,4,229,,,,,,
Wayanad,September 2023,42.14%,70000000,,,,,38.08%,,,17134537,,,,45000000,,,,,,,,,,,,,,,,,236,12,30,271,,,,,,
Alappuzha,December 2023,114.15%,125000000,,,,,99.47%,,,65451503,,,,65800000,,,,,,,,,,,,,,,,,729,121,0,704,,,,,,
Ernakulam,December 2023,68.43%,1517199700,,,,,22.46%,,,120401662,,,,536136900,,,,,,,,,,,,,,,,,886,201,9,1000,,,,,,
Idukki,December 2023,68.95%,98368300,,,,,66.94%,,,37320846,,,,55754300,,,,,,,,,,,,,,,,,418,48,22,436,,,,,,
Kannur,December 2023,73.33%,196173100,,,,,91.46%,,,72135003,,,,78873700,,,,,,,,,,,,,,,,,472,46,34,397,,,,,,
Kollam,December 2023,87.61%,200000000,,,,,96.84%,,,75456682,,,,77920700,,,,,,,,,,,,,,,,,485,93,0,481,,,,,,
Kottayam,December 2023,75.83%,224000000,,,,,73.97%,,,63801099,,,,86250000,,,,,,,,,,,,,,,,,541,108,11,503,,,,,,
Kozhikode,December 2023,125.90%,337901537,,,,,120.64%,,,119977922,,,,99453814,,,,,,,,,,,,,,,,,526,60,31,491,,,,,,
Malappuram,December 2023,85.57%,188000000,,,,,81.99%,,,72151619,,,,88000000,,,,,,,,,,,,,,,,,582,118,14,454,,,,,,
Palakkad,December 2023,114.01%,200380000,,,,,96.78%,,,95505395,,,,98680000,,,,,,,,,,,,,,,,,711,210,23,756,,,,,,
Pathanamthitta,December 2023,69.87%,126179300,,,,,77.39%,,,40080154,,,,51788100,,,,,,,,,,,,,,,,,682,169,5,532,,,,,,
Thrissur,December 2023,83.32%,370014600,,,,,85.55%,,,94107627,,,,110001000,,,,,,,,,,,,,,,,,513,169,4,401,,,,,,
Wayanad,December 2023,64.16%,70000000,,,,,57.22%,,,25748848,,,,45000000,,,,,,,,,,,,,,,,,450,24,94,494,,,,,,
Alappuzha,March 2024,155.52%,125000000,,,,,131.19%,,,86321051,,,,65800000,,,,,,,,,,,,,,,,,746,121,0,710,,,,,,
Ernakulam,March 2024,96.07%,1517199700,,,,,32.65%,,,175040508,,,,536136900,,,,,,,,,,,,,,,,,1463,342,15,1596,,,,,,
