district,period,credit_deposit_ratio__total_deposit,credit_deposit_ratio__total_advance,credit_deposit_ratio__cd_ratio,branch_network__total_branch
West,March 2024,13026600.0,5015200.0,38.5,539.0
Central,June 2024,24215200.0,26771800.0,110.56,429.0
East,June 2024,7970000.0,3298400.0,41.39,266.0
New Delhi,June 2024,51955100.0,104893400.0,201.89,393.0
North,June 2024,6286500.0,3051300.0,48.54,278.0
North East,June 2024,1363400.0,889900.0,65.27,67.0
North West,June 2024,9077200.0,4517100.0,49.76,404.0
Shahdara,June 2024,4511700.0,1603000.0,35.53,165.0
South,June 2024,20495300.0,7470700.0,36.45,427.0
South East,June 2024,14289100.0,10376400.0,72.62,351.0
South West,June 2024,12568400.0,3652400.0,29.06,394.0
West,June 2024,13129600.0,5107600.0,38.9,554.0
Central,September 2024,24799000.0,22502300.0,90.74,440.0
East,September 2024,8001500.0,3448000.0,43.09,266.0
New Delhi,September 2024,56363300.0,107497400.0,190.72,411.0
North,September 2024,5523400.0,2865900.0,51.89,268.0
North East,September 2024,1282600.0,818600.0,63.82,58.0
North West,September 2024,9446000.0,4867600.0,51.53,410.0
Shahdara,September 2024,4659200.0,1661500.0,35.66,171.0
South,September 2024,19377300.0,5383400.0,27.78,419.0
South East,September 2024,15907200.0,12543300.0,78.85,361.0
South West,September 2024,11757400.0,3630500.0,30.88,396.0
West,September 2024,13559800.0,6315200.0,46.57,554.0
Central,December 2024,25006100.0,20881600.0,83.51,438.0
East,December 2024,7427200.0,3109900.0,41.87,263.0
New Delhi,December 2024,54528000.0,111456600.0,204.4,411.0
North,December 2024,5438200.0,2506900.0,46.1,282.0
North East,December 2024,1112600.0,644300.0,57.91,61.0
North West,December 2024,9523200.0,4614800.0,48.46,412.0
Shahdara,December 2024,4466400.0,1446600.0,32.39,166.0
South,December 2024,20416900.0,5836700.0,28.59,425.0
South East,December 2024,16082000.0,13360100.0,83.08,364.0
South West,December 2024,12517600.0,3591300.0,28.69,404.0
West,December 2024,14247400.0,6352100.0,44.58,575.0
Central,March 2025,24746100.0,19516000.0,78.86,442.0
East,March 2025,7620900.0,3148600.0,41.32,258.0
New Delhi,March 2025,63084500.0,119104100.0,188.8,416.0
North,March 2025,5530900.0,2569000.0,46.45,285.0
North East,March 2025,1144800.0,644000.0,56.25,60.0
North West,March 2025,9771000.0,4773100.0,48.85,423.0
Shahdara,March 2025,4624300.0,1542700.0,33.36,174.0
South,March 2025,21150700.0,5962900.0,28.19,435.0
South East,March 2025,17035800.0,12492300.0,73.33,360.0
South West,March 2025,14424600.0,3633000.0,25.19,411.0
West,March 2025,14668700.0,6749800.0,46.02,557.0
Central,June 2025,25419600.0,20020500.0,78.76,446.0
East,June 2025,7829600.0,3099700.0,39.59,257.0
New Delhi,June 2025,56721400.0,107376700.0,189.31,419.0
North,June 2025,5607800.0,2637700.0,47.04,285.0
North East,June 2025,1159300.0,667700.0,57.6,61.0
North West,June 2025,9869100.0,4798300.0,48.62,420.0
Shahdara,June 2025,4646900.0,1503700.0,32.36,177.0
South,June 2025,21330800.0,5896800.0,27.64,438.0
South East,June 2025,16777200.0,13887600.0,82.78,358.0
South West,June 2025,13029200.0,3798500.0,29.15,412.0
West,June 2025,14847900.0,6719500.0,45.26,565.0
Central,September 2025,26325500.0,20942900.0,79.55,449.0
East,September 2025,8059000.0,3372800.0,41.85,257.0
New Delhi,September 2025,59129400.0,113173600.0,191.4,418.0
North,September 2025,5818800.0,2757500.0,47.39,286.0
North East,September 2025,1186200.0,668700.0,56.37,59.0
North West,September 2025,10009200.0,4997600.0,49.93,421.0
Shahdara,September 2025,4737300.0,1583300.0,33.42,182.0
South,September 2025,22306900.0,5554900.0,24.9,437.0
South East,September 2025,17573700.0,14431400.0,82.12,358.0
South West,September 2025,16431000.0,3854900.0,23.46,415.0
West,September 2025,15181600.0,6807100.0,44.84,566.0
Central,December 2025,27477869.35,20765238.01,75.57,451.0
East,December 2025,8123603.72,3470904.51,42.73,261.0
New Delhi,December 2025,58024154.22,119582687.74,206.09,419.0
North,December 2025,5929961.88,2846666.76,48.0,292.0
North East,December 2025,1210952.49,657706.37,54.31,60.0
North West,December 2025,10305750.15,5156387.66,50.03,429.0
Shahdara,December 2025,4856923.31,1630462.95,33.57,188.0
South,December 2025,22240515.78,5870307.14,26.39,439.0
South East,December 2025,17821556.34,15650935.9,87.82,360.0
South West,December 2025,13245333.73,4147713.49,31.31,416.0
West,December 2025,15480588.1,6986191.99,45.13,571.0
