district,Crop Production,Water Resources,Farm,Plantation,Animal Husbandry,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSME Working,MSME Total,Export Credit,Education,Housing,Renewable Energy,Social Infra,Other Priority Sector Total,Districtwise Total ACP Acheivement
Goalpara,1775.95,51.71,150.53,188.59,1133.06,3637.89,5.03,1343.33,8286.09,8504.41,4210.3,12714.71,0,180.67,1916.94,54.9,0.43,2152.94,23153.739999999998
Golaghat,14484.78,1277.29,1351.46,815.25,6093.86,22951.1,24.79,2979.64,49978.17,21299.21,6862.52,28161.73,0,310.38,4747.3,239.03,650.11,5946.82,84086.72
Hailakandi,1473.56,108.38,114.03,243.98,1273.05,2389.27,0,766.75,6369.02,7395.61,1237.34,8632.95,0,61.79,1746.52,79.76,0.18,1888.25,16890.22
Hojai,2623.32,11.99,91.15,196.76,344.33,564.38,0,1419.73,5251.66,1383.57,4709.72,6093.29,0,33.72,1542,10.4,0,1586.12,12931.07
Jorhat,9443.11,1864.33,915.73,396.31,13211.58,22282.61,263.21,7710.2,56087.08,35192.21,11216.61,46408.82,0,848.68,6884.06,223.75,1223.23,9179.72,111675.62
Kamrup Metro,7450.92,101.96,373.64,95.08,10806.38,14740.62,14.3,4557.73,38140.63,62193.28,13428.61,75621.89,0,974.23,5180.58,304.68,644.2,7103.69,120866.20999999999
Karbi Anglong,3895.55,13.03,131.44,117.24,1635.8,803.48,6.41,74.91,6677.86,1763.88,2030,3793.88,0,96.02,10086,7.21,588.58,10777.81,21249.55
Karimganj,1915.66,233.25,1299.46,5.19,2783.06,7049.87,2.95,1657.27,14946.71,26745.3,5478.55,32223.85,0,104.07,1301.72,526.78,0.34,1932.91,49103.47
Kokrajhar,6680.5,45.26,149.33,232.62,206.52,279.91,20.72,205.71,7820.57,950.81,5375.98,6326.79,3.85,79.51,1642.37,12.64,5.75,1744.12,15891.48
Lakhimpur,10280.26,69.92,242.92,92.92,7599.12,7246.53,9.08,465.62,26006.37,17248.81,10701.79,27950.6,0,157.78,5817.71,250.68,478.57,6704.74,60661.71
Majuli,339.49,0,10.61,7.31,65.21,121.68,0,58.02,602.32,209.28,675.84,885.12,0,5.47,223.35,2.54,309.08,540.44,2027.88
Morigaon,3364.25,1543.76,603.76,453.28,6366.29,21724.66,10.34,1938.43,36004.77,18017.61,3122.53,21140.14,0,60.38,2221.65,231.05,0,2513.08,59657.99
Nagaon,14260.35,1494.17,926.52,240.83,15854.22,32810.3,10.33,2086.52,67683.24,53138.59,8944.89,62083.48,0,575.91,7017.49,263.42,514.13,8370.95,138137.67
Nalbari,3058.2,127.01,152.07,84.59,3561.62,5476.33,17.82,717.32,13194.96,11618.22,6451.79,18070.01,0,290.76,5499.46,43.11,599.27,6432.6,37697.57
Sivasagar,7493.49,92.94,511.09,250.1,9156.77,14293.04,1.38,1416.83,33215.64,23555.81,9820.98,33376.79,0,251.07,3763.19,234.4,375.79,4624.45,71216.87999999999
Sonitpur,5547.75,1256.33,1368.71,141.82,12349.63,16673.61,4.22,1381.6,38723.67,42540.73,8415.44,50956.17,0,487.29,6990.75,293.2,702.49,8473.73,98153.56999999999
South Salmara,185.83,12.19,10.26,8.62,29.51,49.58,3.01,4.64,303.64,139.32,39.87,179.19,0,19.86,876.67,0,5.32,901.85,1384.68
Tinsukia,9016.43,125.77,564.29,891.34,4489.9,14483.89,1511.77,6655.1,37738.49,34303.14,9433.61,43736.75,0,635.87,4843.91,180.01,1902.62,7562.41,89037.65
Udalguri,7371.32,7.88,24.8,147.96,557.67,807.57,96.75,198.59,9212.54,820.71,1595.65,2416.36,0,206.64,3210.13,8.02,5.12,3429.91,15058.810000000001
West Karbi Anglong,1521.65,0,8.57,175.85,434.43,238.85,0,0,2379.35,408.1,52.31,460.41,0,9.35,3173.59,0,149.94,3332.88,6172.639999999999
