District,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No.,Total Lending Amt,Total Outstanding No.,Total Outstanding Amt
Dibrugarh,6573,7420.44,21849,21485.69,676,804.02,2721,1899.84,66,163.79,409,1791.12,26,31.71,408,649.51,6,18,63,110.66,29,173.26,1161,8367.63,7376,8611.22,26611,34304.45
Dima Hasao,514,2188.09,2172,5152.97,368,555.02,1206,1282.26,0,0,23,142.57,0,0,50,50,0,0,0,0,0,0,1,8.48,882,2743.11,3452,6636.28
Goalpara,7469,4779.05,18436,11527.55,1672,1043.62,3338,2573.28,1,1.4,13,12.2,17,16.25,25,20.65,0,0,11,28.65,7,6.27,10,12.01,9166,5846.59,21833,14174.34
Golaghat,9694,14438.11,25201,26581.92,770,478.66,2847,1359.01,23,47.14,187,498.37,57,68.33,221,170.15,1,0.7,32,72.11,10,94.92,78,1703.1,10555,15127.86,28566,30384.66
Hailakandi,7195,6539.47,27529,17379.44,63,460.52,315,409.21,13,47.06,76,160.37,6,12.71,40,79.26,0,0,15,47,6,0.45,13,141.34,7283,7060.21,27988,18216.62
Hojai,2040,3168.96,21042,15244.27,72,40.72,283,259.47,3,4.45,52,60.14,0,0,5,3.1,0,0,13,43.43,0,0,0,0,2115,3214.13,21395,15610.41
Jorhat,6513,5440.65,17282,9186.93,991,1867.76,2493,3760.82,39,123.55,215,482.4,38,41.41,167,381.82,0,0,42,84.97,74,771.5,287,2031.03,7655,8244.87,20486,15927.97
Kamrup Metro,36882,29683.46,77651,51804.88,508,437.69,1348,1614.97,6,9.31,191,1645.39,15,12.2,74,89.01,0,0,9,19.63,2,5.07,37,720.08,37413,30147.73,79310,55893.96
Karbi Anglong,1123,3477.84,5049,9340.68,1370,585.44,2185,1440.66,22,7.6,40,22.8,4,4.85,32,67.26,1,42,1,42,3,21,1,8,2523,4138.73,7308,10921.4
Karimganj,21815,14971.72,49580,29404.68,530,416.84,713,511.18,6,10.81,81,185.39,5,6,15,12.07,0,0,18,47,1,0.6,3,53.08,22357,15405.97,50410,30213.4
Kokrajhar,375,1086.32,6653,6372.64,55,150.22,2923,1720.65,2,16.41,30,89.32,12,43.28,54,176.33,0,0,3,3.51,2,4.8,14,125.99,446,1301.03,9677,8488.44
Lakhimpur,12424,10416.91,26624,22301.15,390,276.72,1185,827.11,29,47.14,149,514.41,7,15.86,73,115.14,1,1.2,44,53.45,1,0,102,1616.38,12852,10757.83,28177,25427.64
Majuli,44,84.77,671,453.46,100,59.24,68,120.19,0,0,0,0,0,0,2,5.9,0,0,3,9,0,0,0,0,144,144.01,744,588.55
Morigaon,24977,18834.02,55104,30290.33,165,225.16,447,734.26,0,0,15,12.65,5,14.35,25,31.94,0,0,19,50.66,0,0,2,1.25,25147,19073.53,55612,31121.09
Nagaon,65677,43588.3,124245,61480.18,313,302.11,908,857.89,23,58.81,219,437.26,2,1.05,26,17.62,0,0,23,71.19,10,20.04,51,154.02,66025,43970.31,125472,63018.16
Nalbari,9421,6326.42,24916,13281.36,24,32.84,128,130.6,1,2.7,26,37.4,6,2,39,13,0,0,11,26.1,0,0,13,137.93,9452,6363.96,25133,13626.39
Sivasagar,8611,7530.42,17798,11763.83,284,267.08,813,803.42,13,33.13,112,163.98,74,84.63,143,177.25,0,0,33,63.5,16,52.63,130,1123.2,8998,7967.89,19029,14095.18
Sonitpur,26969,28730.49,59339,49944.88,869,1468.54,2306,4279.08,19,126.41,133,455.14,41,99.88,135,313.28,22,13.24,43,62.1,10,35.69,31,719.04,27930,30474.25,61987,55773.52
South Salmara,166,546.97,1576,2620.11,61,366.16,170,683.21,6,30.2,16,53.87,14,55.3,23,97.2,0,0,1,0.22,0,0,0,0,247,998.63,1786,3454.61
Tinsukia,3874,3523.04,12910,9293.84,653,1488.42,1322,1777.9,33,192.62,215,575.09,212,595.42,432,677.5,4,8.55,43,92.84,29,409.37,473,924.35,4805,6217.42,15395,13341.52
Udalguri,729,2360.28,7720,9180.06,404,267.9,2417,1589.73,3,18.92,30,42.32,0,0,5,5,0,0,4,2.24,1,0.35,2,0.51,1137,2647.45,10178,10819.86
West Karbi Anglong,430,1537.34,1410,3298.76,247,244.72,11567,949.59,0,0,5,1.67,0,0,2,0.48,0,0,0,0,0,0,0,0,677,1782.06,12984,4250.5
