District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Khammam,94.0,0.0,0.0,1627.35,20.07,10.51,2336.0,56.35,12.63,869.42,0.5,1.73,221.0,9.66,54.27,153.61,83.04,0.0,2887.89,767.59,3655.48,163.74,779.9,4599.12,518.63,5001.23,86.21,0.0,190.96,446.02,28.96,17.8,0.0,5801.49
Kumuram Bheem Asifabad,23.0,0.0,0.0,116.25,0.93,2.79,106.0,5.32,8.14,41.58,0.0,0.0,55.0,0.0,0.0,22.19,11.27,0.0,1492.55,239.48,1732.03,130.96,172.49,2035.48,190.78,800.07,34.12,0.0,33.28,65.37,14.24,5.77,0.0,2344.92
Mahabubabad,26.0,0.0,0.0,231.38,5.02,47.99,538.0,9.59,50.71,140.84,0.0,0.0,0.0,0.0,0.0,53.13,40.56,0.0,1668.49,548.1,2216.59,136.77,57.71,2411.07,271.38,1844.48,67.76,0.0,10.46,18.91,9.29,0.96,0.0,2722.07
Mahabubnagar,106.0,0.0,0.0,1017.32,7.15,39.99,847.0,62.0,44.21,606.71,0.15,0.82,0.0,0.0,0.0,20.37,17.23,0.0,2951.43,636.15,3587.58,66.14,450.68,4104.4,535.6,2498.2,51.72,0.0,17.88,140.25,18.2,13.9,0.0,4830.23
Mancherial,65.0,0.0,0.0,581.28,5.66,4.68,773.0,36.86,15.51,448.41,1.32,3.39,55.0,0.0,0.0,41.33,27.15,0.0,1951.81,609.58,2561.39,131.49,274.9,2967.78,686.88,1868.41,46.01,0.0,120.97,237.65,38.98,8.42,0.0,4060.68
Medak,31.0,0.0,0.0,499.48,2.25,52.33,341.0,11.83,5.77,166.71,0.4,2.31,0.0,0.0,0.0,140.47,74.02,0.0,1540.18,494.66,2034.84,121.81,330.11,2486.76,447.99,2045.32,64.56,0.0,4.3,204.88,17.31,7.04,0.0,3168.28
Medchal Malkajgiri,311.0,0.0,0.0,10861.8,69.01,24.23,7246.0,365.82,40.76,3673.4,1.7,0.71,14.0,1.81,5.46,164.66,106.68,0.0,241.89,1093.02,1334.91,118.33,271.35,1724.59,4865.34,10559.4,131.25,0.0,284.76,897.56,240.06,33.12,0.0,8045.43
Mulugu,142.0,0.0,0.0,58.17,1.9,14.07,216.0,2.9,10.39,33.38,0.0,0.0,40.0,0.0,0.0,6.19,2.76,0.0,822.7,369.45,1192.15,46.11,43.81,1282.07,163.22,584.84,39.12,0.0,13.5,27.9,7.55,0.66,0.0,1494.9
Nagarkurnool,15.0,0.0,0.0,292.36,3.62,26.66,402.0,22.44,26.94,170.88,0.0,0.0,3.0,0.0,0.0,28.85,22.63,0.0,2824.66,944.54,3769.2,105.09,473.72,4348.01,307.09,2211.6,46.4,0.0,13.58,83.3,5.02,9.59,0.0,4766.59
Nalgonda,148.0,0.0,0.0,1979.72,16.84,28.45,1512.0,67.37,25.32,808.37,0.94,1.98,16.0,0.0,0.0,54.32,42.3,0.0,4600.25,586.71,5186.96,239.02,1120.92,6546.9,752.04,6207.83,80.38,0.0,59.19,266.03,47.41,51.9,0.0,7723.47
Narayanpet,23.0,0.0,0.0,133.35,2.92,61.6,395.0,7.78,81.55,79.69,0.0,0.0,0.0,0.0,0.0,9.46,11.0,0.0,1696.24,405.2,2101.44,51.47,73.59,2226.5,119.41,1172.06,49.31,0.0,4.74,9.54,11.28,5.35,0.0,2376.82
Nirmal,39.0,0.0,0.0,643.19,3.67,9.56,354.0,27.3,33.49,266.54,0.0,0.0,18.0,0.01,0.05,34.41,20.75,0.0,2153.21,474.47,2627.68,206.31,301.3,3135.29,454.97,2391.5,63.77,0.0,38.37,81.52,20.02,19.79,0.0,3749.96
Nizamabad,244.0,0.0,0.0,1706.28,13.11,26.24,1516.0,94.28,59.85,1102.37,0.91,2.56,6.0,0.0,0.0,156.64,74.05,0.0,3846.9,1014.87,4861.77,190.24,853.57,5905.58,1457.58,5330.95,69.93,0.0,49.96,157.52,35.58,17.22,0.0,7623.44
Peddapalli,39.0,0.0,0.0,560.11,10.28,81.72,874.0,27.92,40.01,266.27,0.07,0.43,203.0,7.53,70.77,51.38,40.23,0.0,1672.07,391.02,2063.09,42.17,355.89,2461.15,409.2,2040.45,68.48,0.0,12.58,69.79,16.17,10.64,0.0,2979.53
Rajanna Sircilla,17.0,0.0,0.0,284.73,4.45,41.13,401.0,21.84,80.95,242.08,0.0,0.0,438.0,17.35,270.67,107.68,54.87,0.0,1298.42,294.06,1592.48,117.35,269.3,1979.13,566.61,1271.89,48.96,0.0,10.82,26.98,7.78,6.41,0.0,2597.73
Ranga Reddy,1334.0,0.0,0.0,8474.56,58.77,62.22,6697.0,373.49,36.95,4499.4,1.61,1.28,37.0,0.06,0.34,168.15,120.1,0.0,2716.85,1634.25,4351.1,335.0,578.83,5264.93,7205.99,10828.74,78.93,0.0,94.45,1010.88,125.55,17.56,0.0,13719.36
Sangareddy,148.0,0.0,0.0,1519.56,58.0,72.55,2093.0,65.83,5.49,1515.42,0.32,0.71,2.0,0.12,1.79,184.56,107.53,0.0,2450.0,718.99,3168.99,115.03,415.03,3699.05,949.96,3946.05,65.98,0.0,79.94,1199.98,45.25,6.7,0.0,5980.88
Siddipet,49.0,0.0,0.0,510.69,6.35,75.24,797.0,39.35,13.52,462.98,0.0,0.0,12.0,0.05,1.1,157.82,97.79,0.0,2664.52,705.67,3370.19,120.0,406.1,3896.29,815.1,2804.86,55.39,0.0,8.44,291.09,48.81,4.56,0.0,5064.29
Suryapet,194.0,0.0,0.0,992.24,13.63,42.09,1440.0,52.2,29.0,660.5,0.01,0.03,14.0,0.0,0.0,66.33,51.57,0.0,2452.4,339.1,2791.5,202.01,676.02,3669.53,395.48,4166.54,95.31,0.0,32.38,180.03,30.25,64.01,0.0,4371.68
Vikarabad,72.0,0.0,0.0,227.95,1.95,1.29,332.0,14.79,1.58,156.39,0.0,0.0,18.0,0.16,0.22,94.34,79.6,0.0,2433.54,1053.35,3486.89,56.86,25.32,3569.07,1015.67,1900.74,32.65,0.0,150.84,936.0,76.09,73.68,0.0,5821.35
Wanaparthy,9.0,0.0,0.0,252.74,3.16,37.18,404.0,13.51,83.65,164.98,0.0,0.0,0.0,0.0,0.0,23.59,21.31,0.0,2158.3,576.37,2734.67,86.6,222.78,3044.05,120.26,1278.97,39.89,0.0,8.5,16.15,10.61,6.42,0.0,3205.99
Warangal,60.0,0.0,0.0,1360.49,9.24,85.4,1356.0,23.35,55.85,316.7,0.0,0.0,5.0,0.17,29.31,74.54,37.64,0.0,1383.55,443.5,1827.05,102.04,90.81,2019.9,494.43,2672.44,103.86,0.0,10.82,41.81,5.55,0.58,0.0,2573.09
Yadadri Bhuvanagiri,103.0,0.0,0.0,382.22,4.63,21.13,420.0,29.25,28.92,256.69,4.45,25.57,3.0,0.0,0.0,16.61,8.48,0.0,1807.46,272.99,2080.45,172.68,487.04,2740.17,321.26,2239.68,69.65,0.0,21.91,101.15,17.4,13.72,0.0,3215.61
