District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Dhubri,89,40484,29797.53,2993,1928.77,2877,1952.58,10,0.87,6608,9452.13,28118,9292.88,23868,31213.01,637,0.92,4930,6724.01,110525,90362.70
Dibrugarh,188,78773,62830.16,5795,6911.21,8278,12917.43,173,14.24,5941,16239.81,51768,28285.90,3868,12229.69,562,2.72,5700,7869.63,160858,147300.79
Dima Hasao,32,2652,3932.01,182,267.97,2907,7840.35,11,0.35,1385,2957.27,1712,1283.97,1290,2987.06,119,0.14,82,239.26,10340,19508.38
Goalpara,71,28159,23334.75,1610,1760.01,6631,6066.75,13,1.37,8386,17266.33,23485,9457.07,18104,22604.99,296,1.72,3664,3168.95,90348,83661.94
Golaghat,124,74416,53481.06,6313,5461.87,8276,8181.18,16,1.17,6983,18804.77,41667,19592.14,5392,8416.91,1024,4.75,3438,6585.87,147525,120529.72
Hailakandi,47,21275,13477.82,2735,2335.98,650,646.96,4,0.32,2724,4400.41,13823,6209.78,16083,16549.17,103,0.76,769,1382.42,58166,45003.62
Hojai,62,26533,20368.96,4452,4632.60,1699,2030.78,15,0.93,3190,6559.83,15932,10372.76,12839,19551.33,258,2.60,2220,2159.18,67138,65678.97
Jorhat,141,53846,34045.89,6806,6000.45,9965,10090.21,55,6.44,5977,16080.24,43277,22016.49,4369,11525.60,967,6.68,3411,4696.87,128673,104468.87
Kamrup Metro,176,99561,70670.70,8006,5857.40,8005,8451.15,44,3.22,10396,24476.47,50841,20555.59,20194,31762.95,558,4.47,7244,7738.40,204849,169520.35
Karbi Anglong,65,18819,16374.67,569,1135.04,8519,17093.92,11,0.92,7522,20877.41,12958,5417.34,1600,2359.71,215,0.70,2103,894.82,52316,64154.53
Karimganj,95,33555,21872.29,8868,5642.41,819,1001.21,34,2.77,3690,6029.02,33460,15254.23,15689,21533.64,343,1.76,967,1391.14,97425,72728.47
Kokrajhar,58,24393,25339.62,1700,1749.61,12372,19809.70,4,0.37,4012,7902.40,21464,7982.65,11566,12013.32,135,1.44,4799,6855.62,80445,81654.73
Lakhimpur,91,76818,61822.25,5154,5934.83,16468,22950.73,8,0.64,7364,15616.57,29317,19616.38,11499,16010.08,88,0.44,7400,5949.33,154116,147901.25
Majuli,17,9620,10337.76,987,1673.74,3522,6824.18,4,0.44,1169,2672.26,2161,3907.58,62,174.90,85,0.10,1002,1195.27,18612,26786.23
Morigaon,69,49997,91407.98,5455,4749.00,10215,8736.65,80,8.60,6120,10846.34,24068,15307.76,17676,22186.14,1884,4.75,2528,1843.86,118023,155091.08
Nagaon,153,98514,69245.78,9655,7828.40,5888,5544.40,70,4.74,11326,27189.19,58336,32354.61,47456,61079.23,1643,6.62,5101,7830.32,237989,211083.29
Nalbari,88,47720,35917.55,2936,2710.47,1506,2239.19,29,2.07,8625,20143.20,22953,8002.80,10673,15243.01,504,3.00,3046,4238.36,97992,88499.65
Sivasagar,102,41239,26102.84,3497,3724.28,2607,3676.31,63,5.08,4160,9520.97,32893,16173.17,5999,15192.01,1027,9.38,3779,4166.10,95264,78570.14
Sonitpur,132,48168,36407.83,5139,5382.57,6043,6952.38,25,2.02,8469,20040.99,37786,19291.76,9990,18579.43,883,4.37,7229,10788.15,123732,117449.50
South Salmara,14,2417,1438.52,22,62.33,34,35.01,7,0.58,912,1891.83,211,97.90,2489,5902.44,17,0.06,539,966.25,6648,10394.92
Tamulpur,22,7381,7188.06,736,866.41,2491,4110.15,-,-,2602,6571.16,3712,1209.89,800,1364.95,14,0.02,1361,1255.92,19097,22566.56
Tinsukia,153,52339,47494.01,2954,3826.34,4923,9062.43,86,6.89,6940,18902.60,33815,21053.90,2449,9583.43,1348,4.21,3648,5812.53,108502,115746.34
Udalguri,55,38337,27571.36,1327,1515.26,20452,24787.77,2,0.18,5512,11941.47,12017,4965.50,7603,11492.26,132,2.84,5258,6766.21,90640,89042.85
West Karbi Anglong,22,4080,3763.27,144,228.03,2140,3789.39,0,0,2971,6558.46,3179,1162.47,244,516.18,3,0.09,72,142.21,12833,16160.10
