district,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt.,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.,Agri NPA Amt %,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt.,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.,MSME NPA Amt %,Total Other PS O/S No.,Total Other PS O/S Amt.,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.,OTHER(PS) NPA Amt %,Total PS O/S No.,Total PS O/S Amt.,Total PSA NPA No.,Total PSA NPA Amt.,TOTAL PSA NPA Amt %
Hailakandi,47,24926,20025.66,10912,4832.50,24.13,7839,20157.39,2582,2891.64,14.35,9634,9882.16,223,332.89,3.37,42399,50065.21,13717,8057.03,16.09
Hojai,62,33060,31184.67,10669,5852.94,18.77,12836,47048.30,3990,4561.06,9.69,9419,13918.96,439,229.56,1.65,55315,92151.93,15098,10643.56,11.55
Jorhat,141,75310,91567.66,25993,11347.52,12.39,21497,148173.85,5293,10941.19,7.38,23865,52393.17,4341,943.58,1.80,120672,292134.68,35627,23232.29,7.95
Kamrup Metro,176,127991,104955.14,42204,21335.07,20.33,27184,103815.26,8664,7677.89,7.40,44202,60104.20,10556,1738.32,2.89,199377,268874.60,61424,30751.28,11.44
Karbi Anglong,65,43979,43376.87,9762,4961.70,11.44,10187,22120.15,1804,1461.10,6.61,5774,21994.94,630,357.06,1.62,59940,87491.96,12196,6779.86,7.75
Karimganj,95,39387,30032.26,16245,8836.24,29.42,11588,52620.81,3356,5475.39,10.41,24548,22517.86,1205,374.24,1.66,75523,105170.93,20806,14685.87,13.96
Kokrajhar,58,41508,42563.83,11997,6609.78,15.53,10862,31806.41,3968,4582.89,14.41,14690,15465.77,1128,220.70,1.43,67060,89836.01,17093,11413.37,12.70
Lakhimpur,91,89220,77916.30,35101,18127.40,23.27,24413,66587.13,9674,6266.85,9.41,14143,42502.62,1814,762.30,1.79,127776,187006.05,46589,25156.55,13.45
Majuli,17,11091,8956.06,2645,1536.78,17.16,2446,4831.29,575,459.99,9.52,1154,2986.92,549,26.31,0.88,14691,16774.27,3769,2023.08,12.06
Morigaon,69,59574,51373.23,21872,11093.67,21.59,12558,28779.55,4805,6093.61,21.17,9369,20133.03,593,251.73,1.25,81501,100285.81,27270,17439.01,17.39
Nagaon,153,131461,109988.65,56741,23691.41,21.54,28635,136439.39,9474,10128.63,7.42,30200,81885.23,2565,1097.88,1.34,190296,328313.27,68780,34917.92,10.64
Nalbari,88,61470,53395.65,22006,8990.95,16.84,14488,51995.72,5012,5001.58,9.62,16738,29739.30,3557,1040.13,3.50,92696,135130.67,30575,15032.66,11.12
Sivasagar,102,53665,51369.46,13527,6345.45,12.35,18811,90417.87,4261,5788.81,6.40,16135,34534.00,1457,713.77,2.07,88611,176321.33,19245,12848.03,7.29
Sonitpur,132,69358,70210.24,21112,10228.26,14.57,22179,118531.26,6860,8915.80,7.52,25936,52518.43,4024,2019.64,3.85,117473,241259.93,31996,21163.70,8.77
South Salmara,14,3343,3125.19,1737,711.86,22.78,1871,5172.56,930,1193.45,23.07,694,3291.32,218,307.82,9.35,5908,11589.07,2885,2213.13,19.10
Tamulpur,22,11289,12514.63,4080,2039.79,16.30,4216,6181.21,1284,878.57,14.21,2081,4523.59,159,132.58,2.93,17586,23219.43,5523,3050.94,13.14
Tinsukia,153,65224,102991.40,19769,13420.85,13.03,27136,175207.59,7308,11397.40,6.51,21271,39553.35,1701,423.73,1.07,113631,317752.34,28778,25241.98,7.94
Udalguri,55,49489,41208.13,27039,15614.36,37.89,11342,25134.08,5508,6310.58,25.11,9646,21197.12,2821,1413.39,6.67,70477,87539.33,35368,23338.33,26.66
West Karbi Anglong,22,14350,12649.45,3541,1439.33,11.38,1871,1736.00,305,115.07,6.63,565,5508.71,18,38.90,0.71,16786,19894.16,3864,1593.30,8.01
