district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Dima Hasao,32,165,145.90,-,-,0,0,8,14.95,0,0,49,104.85,33,142.52,260,622.18,2,6.5,44,119.37,561,"1,156.27"
Goalpara,71,"5,385","7,020.87",2,3.89,0,0,306,738.04,3,13.13,312,751.60,6,14.02,"2,801","5,206.39",12,23.98,"1,038","2,157.41","9,865","15,929.33"
Golaghat,124,"5,750","5,583.49",7,11.14,1,2.3,424,"1,493.43",4,9,586,"2,101.14",2,5.76,"7,324","10,148.14",180,663.76,"1,952","7,251.33","16,230","27,269.49"
Hailakandi,47,"2,578","1,758.76",0,0,0,0,234,256.31,0,0,122,225.03,30,64.88,"1,994","3,011.51",36,1059.13,425,428.90,"5,419","6,804.52"
Hojai,62,"3,005","3,275.35",-,-,0,0,582,"1,040.92",0,0,66,96.35,0,0,"2,185","3,592.98",31,57,479,846.93,"6,348","8,909.53"
Jorhat,141,"5,419","4,561.07",27,50.08,4,8.5,305,798.15,1,3.08,258,804.60,25,35.21,"6,668","8,254.86",148,490.39,"2,129","25,712.77","14,984","40,718.71"
Kamrup Metro,176,"6,797","10,047.03",17,32.50,0,0,977,"2,203.17",0,0,470,"1,673.45",12,30.68,"13,346","15,238.33",84,270.29,"3,011","4,864.64","24,714","34,360.09"
Karbi Anglong,65,"4,065","2,114.44",3,5.13,3,5.22,201,379.40,1,4,364,663.73,1,1.51,"1,630","3,550.64",9,13.03,442,508.64,"6,719","7,245.74"
Karimganj,95,"2,943","2,646.81",3,6.53,0,0,421,387.74,0,0,203,456.06,34,118.64,"4,951","5,369.35",92,534.1,665,933.99,"9,312","10,453.22"
Kokrajhar,58,"3,748","6,461.26",44,60.10,2,1.5,472,751.51,0,0,302,386.27,30,38.87,"4,657","6,714.38",22,90.58,907,829.29,"10,184","15,333.76"
Lakhimpur,91,"8,895","6,938.67",2,4.30,0,3.33,781,"2,680.18",2,2.45,554,"1,493.21",7,10.65,"4,624","7,436.07",102,441.99,973,"4,192.14","15,940","23,202.99"
Majuli,17,729,"1,123.61",-,-,0,0,-,-,1,6,60,243.79,3,5.07,799,864.18,17,18,2,1.50,"1,611","2,262.15"
Morigaon,69,"6,020","5,848.73",3,5.91,1,2.3,372,1675.28,0,0,584,518.87,65,81.67,"3,136","4,213.81",47,138.31,971,"1,444.41","11,199","13,929.29"
Nagaon,153,"8,714","9,159.58",21,42.52,0,0,"1,447","4,296.11",3,10.77,382,"1,227.80",44,49.57,"9,634","15,027.71",126,165.02,"1,836","3,847.19","22,207","33,826.27"
Nalbari,88,"4,009","5,912.26",8,17.37,0,0,856,"2,216.26",0,0,527,"1,354.91",110,77.18,"4,609","7,496.31",40,173.86,758,"3,038.40","10,917","20,286.55"
Sivasagar,102,"3,962","4,121.65",3,5.07,1,1.3,660,"1,294.20",0,0,350,445.46,4,10.22,"4,707","5,969.38",177,663.94,"1,762","6,690.76","11,626","19,201.98"
Sonitpur,132,"3,866","4,894.25",13,34.78,1,4.5,906,"2,423.54",0,0,413,"1,061.19",7,13.48,"6,815","9,507.76",62,150.6,"1,825","6,959.74","13,908","25,049.84"
South Salmara,14,176,287.22,-,-,0,0,-,-,0,0,4,5.54,0,0,192,368.48,0,0,4,60.59,376,721.83
Tamulpur,22,584,"1,600.47",0,0,0,0,14,13.75,0,0,90,213.41,0,0,873,"1,747.93",0,0,254,119.42,"1,815","3,694.98"
Tinsukia,153,"5,761","5,760.25",4,7.42,2,3.6,613,"1,486.61",2,7.2,304,"1,032.97",22,62.03,"3,940","6,499.83",38,862.65,"1,567","19,090.90","12,253","34,813.46"
Udalguri,55,"2,723","2,388.58",0,0,0,0,110,106.78,0,0,136,242.42,3,3.2,"3,011","5,662.36",24,20,507,460.08,"6,514","8,883.42"
West Karbi Anglong,22,"1,785",747.63,0,0,0,0,0,0,0,0,59,226.30,0,0,424,"1,305.09",0,0,1,8.00,"2,269","2,287.02"
