district,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amount,Agri (PS) Achieved No.,Agri (PS) Achieved Amount,Agri(PS) Achv% Amount,Crop Loan Target No.,Crop Loan Target Amount,Crop Loan Achieved No.,Crop Loan Achieved Amount,Crop Loan Achv% Amount,MSME (PS) Target No.,MSME (PS) Target Amount,MSME (PS) Achieved No.,MSME (PS) Achieved Amount,MSME (PS) Achv% Amount,Other PS Target No.,Other PS Target Amount,Other PS Achieved No.,Other PS Achieved Amount,Other PS Achv% Amount,Total (PS) Target No.,Total (PS) Target Amount,Total (PS) Achieved No.,Total (PS) Achieved Amount,Total(PS) Achv% Amount
Dibrugarh,182,"39,259","62,124.38","40,433","59,407.72",95.63,"23,673","29,976.94","15,950","15,956.23",53.23,"9,602","48,485.36","15,153","1,19,641.15",246.76,"3,044","18,143.52","17,831","14,325.06",78.95,"51,905","1,28,753.26","73,417","1,93,373.93",150.19
Dima Hasao,30,"7,548","11,387.84","1,071","1,861.91",16.35,"5,576","7,200.46",347,249.70,3.47,614,"1,904.00","1,151","3,047.35",160.05,333,765.40,"1,408","3,792.81",495.53,"8,495","14,057.24","3,630","8,702.07",61.90
Goalpara,69,"20,436","19,350.00","14,978","20,780.39",107.39,"11,865","11,321.00","5,103","5,705.14",50.39,"4,002","11,280.00","4,796","20,026.18",177.54,"4,882","8,230.00","7,904","5,762.71",70.02,"29,320","38,860.00","27,678","46,569.28",119.84
Golaghat,120,"27,202","28,267.00","30,951","43,961.52",155.52,"13,591","8,845.00","9,805","11,256.30",127.26,"6,137","26,323.00","7,753","34,949.07",132.77,"3,540","9,527.00","12,034","8,377.05",87.93,"36,879","64,117.00","50,738","87,287.64",136.14
Hailakandi,44,"16,988","16,326.42","5,146","6,771.99",41.48,"13,460","11,932.00","2,552","2,308.64",19.35,"1,594","5,713.20","2,332","14,645.63",256.35,510,"1,342.63","5,954","3,701.13",275.66,"19,092","23,382.25","13,432","25,118.75",107.43
Hojai,57,"8,641","9,896.45","12,864","13,500.64",136.42,"3,208","3,145.27","7,636","6,894.94",219.22,"4,190","12,656.00","4,458","30,334.12",239.68,"10,105","8,870.61","7,876","5,289.55",59.63,"22,936","31,423.06","25,198","49,124.31",156.33
Jorhat,132,"66,307","63,872.00","25,565","57,022.00",89.28,"40,164","37,996.00","7,900","7,705.72",20.28,"2,404","28,894.00","10,535","1,00,098.06",346.43,"5,238","16,645.00","10,446","10,615.34",63.77,"73,949","1,09,411.00","46,546","1,67,735.40",153.31
KARIMGANJ,88,"18,580","18,741.10","8,278","11,001.61",58.70,"10,725","10,744.22","3,924","3,554.94",33.09,"4,953","17,364.00","4,426","29,222.34",168.29,897,"2,336.86","19,131","10,984.63",470.06,"24,430","38,441.96","31,835","51,208.58",133.21
Kamrup,172,"30,748","36,212.83","46,335","43,234.70",119.39,"20,147","17,985.05","12,379","12,452.55",69.24,"14,059","68,055.45","14,159","63,928.09",93.94,"6,627","18,084.73","20,567","16,546.38",91.49,"51,434","1,22,353.01","81,061","1,23,709.17",101.11
Kamrup Metro,426,"22,960","50,343.00","17,272","89,016.58",176.82,"8,000","8,445.03","3,768","9,381.41",111.09,"68,302","4,41,600.00","26,782","9,70,335.62",219.73,"15,627","46,161.00","7,523","40,843.51",88.48,"1,06,889","5,38,104.00","51,577","11,00,195.71",204.46
Karbi Anglong,64,"71,189","66,857.38","18,081","22,488.59",33.64,"52,000","45,134.31","9,832","6,467.00",14.33,"1,550","8,569.80","4,102","10,408.12",121.45,"1,810","14,254.16","5,031","9,355.89",65.64,"74,549","89,681.34","27,214","42,252.60",47.11
Kokrajhar,51,"21,050","18,581.00","11,284","17,177.93",92.45,"11,041","8,145.00","5,587","8,288.42",101.76,"1,921","10,185.00","2,919","11,972.76",117.55,"4,074","12,340.00","11,097","6,750.04",54.70,"27,045","41,106.00","25,300","35,900.73",87.34
Lakhimpur,91,"36,770","32,065.00","25,896","24,881.88",77.60,"21,000","13,340.00","12,244","10,984.55",82.34,"6,650","20,845.00","11,801","36,312.29",174.20,"4,922","9,970.00","9,172","7,741.89",77.65,"48,342","62,880.00","46,869","68,936.06",109.63
Majuli,16,"10,620","8,771.50","2,240","5,622.46",64.10,"8,606","7,125.00","1,531","3,414.49",47.92,283,878.00,"1,354","3,230.75",367.97,745,"2,301.00","1,015","1,455.33",63.25,"11,648","11,950.50","4,609","10,308.54",86.26
Morigaon,67,"29,401","27,629.80","18,042","16,213.98",56.01,"24,220","12,289.90","8,617","6,250.06",49.92,"1,300","15,370.76","4,738","18,117.23",115.31,"2,413","5,705.63","6,138","4,589.36",71.41,"33,114","48,706.19","28,918","38,920.57",76.19
Nagaon,152,"47,451","46,599.28","40,546","41,376.00",88.79,"31,463","30,775.54","12,317","12,588.24",40.90,"14,514","41,023.26","7,358","63,014.38",153.61,"38,072","29,009.91","16,356","13,289.51",45.81,"1,00,037","1,16,632.45","64,260","1,17,679.89",100.90
Nalbari,84,"12,063","17,580.00","20,440","19,081.51",108.54,"5,570","5,570.00","4,501","5,028.29",90.27,"13,083","15,920.00","4,441","23,241.07",145.99,"2,816","7,679.00","7,425","6,981.03",90.91,"27,962","41,179.00","32,306","49,303.61",119.73
Sivasagar,97,"18,196","32,478.07","25,436","25,125.32",77.36,"11,122","13,816.46","5,487","6,175.83",44.70,"4,549","12,155.30","8,763","62,731.08",516.08,"1,910","7,375.14","4,556","5,896.91",79.96,"24,655","52,008.51","38,755","93,753.31",180.27
Sonitpur,125,"27,596","33,632.00","24,105","37,505.00",110.61,"17,740","16,085.03","6,872","7,991.25",48.03,"14,190","52,311.01","7,046","62,005.29",120.92,"4,790","18,806.99","13,675","13,518.20",72.69,"46,576","1,04,750.00","44,826","1,13,028.49",108.91
South Salmara,12,"1,930","1,958.06",664,"1,718.11",87.75,270,270.00,368,587.06,217.43,173,"1,218.72",341,"2,041.98",167.55,171,782.22,126,921.61,117.82,"2,274","3,959.00","1,131","4,681.70",118.25
Tinsukia,148,"40,033","43,102.25","28,195","51,410.98",119.28,"18,471","14,114.95","10,629","14,543.56",103.04,"5,693","57,600.70","9,873","1,20,273.14",208.80,"6,391","12,653.38","11,319","9,657.69",76.32,"52,117","1,13,356.33","49,387","1,81,341.81",159.98
Udalguri,49,"6,253","10,352.19","10,005","12,852.41",124.15,"3,932","4,016.00","4,242","3,465.47",86.29,"1,085","3,377.37","2,942","7,439.72",220.28,"1,376","8,690.75","3,601","3,458.06",39.79,"8,714","22,420.31","16,548","23,750.19",105.93
West Karbi Anglong,22,"36,182","36,170.37","3,906","4,871.16",13.47,"25,946","25,233.39","2,204",945.36,3.75,148,569.16,411,640.89,112.60,"2,692","8,313.84",301,"1,785.97",21.48,"39,022","45,053.37","4,618","7,298.02",16.20
