district,Total Branch,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficiaries No,women beneficiaries Amt,Minority communities No,Minority communities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Hailakandi,44,"21,371","13,071.94","7,075","4,480.15","1,597","1,289.60",62,9.89,"2,662","2,956.89","17,761","6,210.10","19,963","17,542.33",139,19.42,"3,982","3,280.40","74,612","48,860.72"
Hojai,57,"24,201","16,071.21","9,563","6,778.50","4,219","3,207.06",128,15.18,"4,741","4,107.64","23,916","9,202.21","17,395","14,547.64",179,23.29,"12,988","6,756.37","97,330","60,709.10"
Jorhat,132,"45,729","27,978.16","11,747","8,221.57","12,580","9,580.01",155,19.22,"10,143","11,642.54","51,662","17,316.19","5,648","7,912.97",929,29.22,"17,485","8,992.61","1,56,078","91,692.49"
KARIMGANJ,88,"34,310","26,336.49","19,642","10,480.29","2,981","2,050.78",131,25.53,"4,295","4,283.14","44,605","14,352.33","19,531","15,670.21",410,44.40,"8,331","5,342.11","1,34,236","78,585.28"
Kamrup,172,"80,069","51,223.68","15,382","9,847.68","13,208","9,406.03",256,31.26,"30,116","20,198.97","87,918","28,369.83","22,660","26,099.09",733,29.67,"23,501","11,416.59","2,73,843","1,56,622.80"
Kamrup Metro,426,"28,632","29,091.22","14,902","18,482.52","15,145","26,128.20",318,53.46,"3,905","4,368.99","67,694","27,783.74","15,451","59,079.40","1,861",184.30,"19,539","15,484.21","1,67,447","1,80,656.04"
Karbi Anglong,64,"15,549","10,632.49",993,"1,399.70","10,462","15,479.47",19,2.27,"7,172","11,427.51","13,488","4,485.95","2,133","2,377.54",183,2.65,"12,051","3,729.59","62,050","49,537.17"
Kokrajhar,51,"19,652","15,750.64","3,369","2,379.50","14,133","17,244.28",13,2.10,"4,201","4,401.76","24,182","8,661.98","9,295","7,083.81",113,3.06,"4,947","4,550.39","79,905","60,077.52"
Lakhimpur,91,"66,368","47,043.46","12,687","9,916.56","17,875","20,463.35",153,23.16,"18,274","12,714.99","44,743","17,329.94","11,404","11,831.15",138,37.12,"28,851","14,346.32","2,00,493","1,33,706.05"
Majuli,16,"6,081","3,519.82",623,583.67,"2,767","2,436.87",8,4.81,"1,181","2,125.64",943,430.00,611,352.66,83,3.83,"2,133","1,467.59","14,430","10,924.89"
Morigaon,67,"47,894","36,210.85","10,291","6,627.73","13,613","9,171.49",206,31.08,"9,060","7,545.95","32,313","11,196.70","21,961","15,468.16","1,902",41.76,"9,959","4,944.19","1,47,199","91,237.91"
Nagaon,152,"98,361","62,028.82","20,895","13,877.75","13,170","9,027.07",310,45.75,"27,123","20,352.21","95,287","32,329.56","54,845","50,182.76","1,916",69.03,"26,554","19,227.68","3,38,461","2,07,140.63"
Nalbari,84,"39,393","24,762.89","5,624","3,631.40","3,482","3,319.75",69,9.68,"19,827","15,687.74","42,372","11,609.39","11,998","11,635.71",497,11.93,"9,180","4,517.86","1,32,442","75,186.35"
Sivasagar,97,"42,270","23,169.36","6,886","5,761.82","5,109","4,681.64",127,14.39,"8,440","5,923.26","40,637","13,381.76","6,645","10,510.17","1,053",22.87,"16,018","7,846.62","1,27,185","71,311.89"
Sonitpur,125,"43,036","31,752.14","10,292","7,264.36","10,745","8,449.74",117,10.26,"14,331","14,425.52","51,410","18,341.72","10,855","13,480.68",938,16.08,"23,348","15,389.39","1,65,072","1,09,129.89"
South Salmara,12,"2,402","1,183.28",28,76.49,32,35.41,4,0.54,698,"1,024.84",252,96.96,"2,332","5,695.50",11,0.05,290,396.63,"6,049","8,509.70"
Tinsukia,148,"53,745","45,098.69","6,498","7,376.34","8,479","9,837.61",148,27.60,"16,006","10,935.52","40,868","14,542.07","5,670","10,575.83","1,387",38.89,"10,187","6,919.51","1,42,988","1,05,352.06"
Udalguri,49,"36,111","24,259.42","2,166","1,795.23","23,393","24,127.65",6,1.04,"4,574","7,071.36","13,447","5,431.91","7,846","9,882.03",77,2.71,"10,711","5,543.03","98,331","78,114.38"
West Karbi Anglong,22,"3,313","2,466.27",124,181.91,"2,094","3,560.60",0,0,"2,685","3,393.83","3,783","1,265.96",229,434.67,15,0.25,"1,360",274.47,"13,603","11,577.96"
