district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Hailakandi,44,829,460.46,0,0,443,548.96,25,35.47,216,312.98,33,36.91,0,0,9,10.13,"1,195","1,735.18","2,750","3,140.09"
Hojai,57,"1,066",431.56,0,0,373,490.06,"1,713",410.54,105,113.55,38,36.56,2,0.53,2,1.63,"1,182","1,189.97","4,481","2,674.40"
Jorhat,132,"3,399","1,653.93",62,20.53,834,774.60,"3,235",749.82,159,231.72,59,75.43,1,0.65,5,7.36,"4,066","6,957.23","11,820","10,471.27"
KARIMGANJ,88,"1,265",832.45,5,2.32,520,727.18,452,159.78,122,177.48,294,472.97,0,0,3,2.21,"1,861","2,097.27","4,522","4,471.66"
Kamrup,172,"12,843","7,763.88",165,97.65,"1,314","1,059.06","15,388","3,320.71",741,"1,266.92",490,248.89,2,16.75,7,8.97,"7,944","11,873.34","38,894","25,656.17"
Kamrup Metro,426,"1,089","1,011.93",0,0,"4,410","2,592.75","1,117",742.43,"1,018","1,373.80",660,386.13,13,533.22,8,48.91,"10,142","1,38,624.14","18,457","1,45,313.31"
Karbi Anglong,64,"2,783",828.97,0,0,461,224.56,"1,291",279.14,49,65.93,33,32.81,0,0,0,0,892,"1,623.13","5,509","3,054.54"
Kokrajhar,51,494,312.57,0,0,412,371.25,528,86.79,163,182.22,37,352.99,0,0,3,10.76,943,"1,529.15","2,580","2,845.73"
Lakhimpur,91,561,321.33,53,34.02,503,624.91,"8,073","1,620.10",313,596.01,140,229.33,1,0.26,6,9.61,"3,963","3,030.04","13,613","6,465.61"
Majuli,16,35,25.61,0,0,8,6.12,30,46.19,9,13.08,6,5.99,0,0,1,0.07,135,102.51,224,199.57
Morigaon,67,"1,281",968.06,325,145,979,"1,291.06","3,287","1,314.68",301,340.34,257,483.58,1,14.03,1,0.87,"3,204","3,429.53","9,636","7,987.15"
Nagaon,152,"7,803","3,372.77",27,37.48,"2,233","1,733.30","16,728","3,753.62",340,394.37,231,678.07,0,0,64,102.46,"10,569","6,139.86","37,995","16,211.93"
Nalbari,84,"3,859","1,835.49",27,15.96,866,836.09,"11,629","2,619.16",476,355.63,167,138.53,2,10.82,2,1.19,"4,249","4,777.16","21,277","10,590.03"
Sivasagar,97,"1,167",681.70,47,12.77,"6,492","2,392.83","4,971",991.81,"1,088","1,325.21",50,31.76,0,0,10,11.28,"4,861","4,885.18","18,686","10,332.54"
Sonitpur,125,"5,146","3,976.84",200,126.54,324,428.57,"6,608","1,487.54",415,488.25,82,162.58,1,0.2,5,14.82,"3,650","5,680.18","16,431","12,365.52"
South Salmara,12,0,0,0,0,2,5.57,1,0.90,2,6.92,1,2.18,0,0,0,0,49,144.01,55,159.58
Tinsukia,148,"6,836","3,590.24",158,76.67,927,"1,233.26","10,321","1,796.25",399,807.67,74,63.04,0,0,7,64.43,"3,271","11,616.42","21,993","19,247.98"
Udalguri,49,"3,886","1,988.09",3,1.28,144,238.71,38,47.05,196,211.52,68,58.48,1,0.2,2,2.28,"1,696","2,527.66","6,034","5,075.27"
West Karbi Anglong,22,3,4.31,0,0,110,40.09,0,0,1,3.79,5,-,0,0,0,0,47,81.40,166,129.59
