district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Goalpara,69,"3,791","8,092.64",615,"3,103.23",114,"5,362.16",70,"1,889.63",5,93.15,7,"1,195.82",16,55.04,0,0,178,234.51,"4,796","20,026.18"
Golaghat,120,"5,239","16,546.84",764,"4,676.26",222,"9,116.17",73,"2,842.36",19,354.80,1,14.4,9,27.77,1,0.5,"1,425","1,369.97","7,753","34,949.07"
Hailakandi,44,"1,563","4,913.33",478,"4,202.89",46,"1,328.92",60,"3,477.30",7,409.48,2,9.34,22,61.67,5,16.62,149,226.08,"2,332","14,645.63"
Hojai,57,"3,309","14,277.37",843,"7,878.79",149,"5,031.56",120,"2,922.42",-,-,4,41.18,21,97.40,0,0,12,85.40,"4,458","30,334.12"
Jorhat,132,"7,036","31,811.80","1,146","14,581.38",315,"18,195.05",161,"10,159.09",51,"18,395.97",14,"4,746.80",9,39.02,0,0,"1,803","2,168.95","10,535","1,00,098.06"
Kamrup Metro,172,"9,788","26,767.89","1,352","13,815.49",354,"9,643.60",202,"10,046.46",9,723.20,9,400.79,164,392.45,1,0.5,"2,280","2,137.71","14,159","63,928.09"
Karbi Anglong,64,"3,555","6,959.61",334,"1,860.84",17,374.92,16,955.72,0,0,1,12,22,79.45,3,5.09,154,160.49,"4,102","10,408.12"
Karimganj,88,"2,579","12,368.63",717,"6,409.27",146,"4,891.42",112,"3,056.31",11,818.51,4,579.16,26,108.84,0,0,831,990.20,"4,426","29,222.34"
Kokrajhar,51,"2,483","5,444.04",220,"2,207.33",88,"2,178.73",33,"1,984.04",4,16.14,2,7.74,4,4.27,0,0,85,130.47,"2,919","11,972.76"
Lakhimpur,91,"6,823","14,878.46",639,"5,019.80",146,"4,857.39",135,"6,072.40",22,"1,006.18",6,819.25,30,172.35,5,16.79,"3,995","3,469.67","11,801","36,312.29"
Majuli,16,889,"1,879.91",109,532.01,18,254.83,16,188.63,1,1.44,0,0.96,1,3.25,0,0,320,369.72,"1,354","3,230.75"
Morigaon,67,"2,709","7,499.22",394,"4,328.14",72,"1,266.55",96,"2,752.73",1,151,5,875.00,9,47.07,0,0,"1,452","1,197.52","4,738","18,117.23"
Nagaon,152,"5,038","24,106.78","1,000","12,226.09",261,"13,153.62",249,"9,358.32",33,"2,398.39",15,607.76,47,303.33,9,47.49,706,812.60,"7,358","63,014.38"
Nalbari,84,"2,855","8,506.56",554,"5,289.03",148,"4,923.42",59,"3,159.69",3,48.4,1,10.4,44,137.91,6,16.07,771,"1,149.59","4,441","23,241.07"
Sivasagar,97,"6,611","26,166.56","1,097","9,804.27",249,"12,767.10",150,"7,437.07",32,"5,677.64",3,57.00,56,229.53,0,0,565,591.91,"8,763","62,731.08"
Sonitpur,125,"4,746","22,543.63","1,112","11,818.30",251,"14,704.24",145,"8,689.75",54,"2,924.41",9,481.53,28,79.33,3,13.12,698,750.98,"7,046","62,005.29"
South Salmara,12,278,"1,396.92",38,108.28,20,449.55,2,27.43,1,21.00,0,0,1,3.80,0,0,1,35,341,"2,041.98"
Tinsukia,148,"6,620","49,102.10","1,819","20,652.82",462,"26,607.87",364,"15,824.05",21,"3,562.84",23,"3,926.03",17,103.70,0,0,547,493.73,"9,873","1,20,273.14"
Udalguri,49,"1,339","2,900.50",224,"2,231.66",31,611.32,9,218.86,1,9.90,1,0.40,5,9.15,0,0,"1,332","1,457.93","2,942","7,439.72"
West Karbi Anglong,22,368,582.77,36,44.50,0,0,0,0,6,7.32,0,0,1,6.3,0,0,0,0,411,640.89
