District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Budaun,862695.0,441077.0,578675.0,725097.0,1303772.0,1285129.0,291.51,53220.0,1159733.0,933259.0,72.62,90.24
Bulandshahr,779995.0,303449.0,459611.0,623833.0,1083444.0,1016379.0,354.12,74873.0,962070.0,762499.0,75.02,94.66
Chandauli,8.0,0.65,597.97,498278.0,867853.0,758663.0,284.88,87777.0,475639.0,673871.0,88.82,62.69
Chitrakoot,239373.0,62099.0,149537.0,151935.0,301472.0,261256.0,101.6,17570.0,135306.0,236399.0,90.49,51.79
Deoria,699417.0,290610.0,374945.0,615082.0,990027.0,926071.0,303.71,154551.0,690837.0,722241.0,77.99,74.6
Etah,334079.6,46771.14,14.0,356389.0,679672.0,642562.0,202.65,74043.0,542954.0,495186.0,77.06,84.5
Etawah,291360.0,190398.0,215586.0,266172.0,481758.0,451841.0,173.32,52327.0,381373.0,360948.0,79.88,84.4
Farrukhabad,412114.0,323926.0,336486.0,399554.0,736040.0,650586.0,210.8,78381.0,600513.0,573850.0,88.21,92.3
Fatehpur,724271.0,177896.0,438770.0,463397.0,902167.0,833963.0,461.68,26645.0,755777.0,753924.0,90.4,90.62
Gautam Buddha Nagar,215516.0,619559.0,526548.0,308527.0,835075.0,759250.0,357.05,67271.0,734249.0,656346.0,86.45,96.71
Ghaziabad,941535.68,228279.67,24.25,439338.0,840512.0,794269.0,350.76,57848.0,734025.0,612942.0,77.17,92.42
Ghazipur,1057967.0,183844.0,542833.0,698978.0,1241811.0,1161997.0,465.21,208285.0,755035.0,960739.0,82.68,64.98
Gonda,739071.0,220686.0,434307.0,525450.0,959757.0,868477.0,961.13,42640.0,615287.0,788409.0,90.78,70.85
Gorakhpur,417164.4,74916.83,17.96,952357.0,1532836.0,1461378.0,450.83,168435.0,1123120.0,1069164.0,73.16,76.85
Hapur,136113.0,82596.0,95285.0,123424.0,218709.0,178751.0,76.51,19927.0,173004.0,155260.0,86.86,96.78
Hardoi,1056315.0,399844.0,663006.0,793153.0,1456159.0,1382442.0,501.44,112087.0,1154108.0,1123453.0,81.27,83.48
Jaunpur,1536411.0,279995.0,755311.0,1061095.0,1816406.0,1680189.0,522.04,333971.0,1032412.0,1461082.0,86.96,61.45
Kannauj,202781.78,37099.0,18.3,322903.0,600103.0,504507.0,197.35,61020.0,470271.0,482885.0,95.71,93.21
Kanpur Dehat,448617.0,153140.0,301725.0,300032.0,601757.0,575460.0,199.12,37470.0,523499.0,496743.0,86.32,90.97
Kanpur Nagar,455667.0,780629.0,590106.0,646190.0,1236296.0,1140854.0,512.86,75724.0,1057161.0,1003137.0,87.93,92.66
Kasganj,178196.0,316123.0,218274.0,276045.0,494319.0,462139.0,126.38,50512.0,391384.0,368256.0,79.69,84.69
Kaushambi,518222.0,73952.0,282612.0,309562.0,592174.0,508026.0,211.72,29097.0,518373.0,495675.0,97.57,102.04
Kushi Nagar,913617.0,165617.0,453119.0,626115.0,1079234.0,1021063.0,277.03,148216.0,666336.0,751525.0,73.6,65.26
Lucknow,410769.0,825059.0,587162.0,648666.0,1235828.0,1186293.0,608.08,103398.0,987946.0,962637.0,81.15,83.28
Mahoba,193487.0,70340.0,127033.0,136794.0,263827.0,224464.0,131.32,6870.0,135185.0,200013.0,89.11,60.23
Mainpuri,370835.0,453353.0,404259.0,419929.0,824188.0,728994.0,224.88,75310.0,690693.0,606126.0,83.15,94.75
Mathura,390141.0,292664.0,335273.0,347532.0,682805.0,612203.0,217.53,42502.0,571669.0,528266.0,86.29,93.38
Mau,172221.8,13106.96,7.61,711481.0,1204988.0,1184128.0,362.64,171606.0,590449.0,965745.0,81.56,49.86
Meerut,432918.0,500185.0,405989.0,527114.0,933103.0,811053.0,329.61,61078.0,794393.0,704658.0,86.88,97.95
Mirzapur,671999.0,145336.0,365992.0,451343.0,817335.0,729553.0,324.35,28650.0,474368.0,634250.0,86.94,65.02
Moradabad,395080.0,553815.0,415654.0,533241.0,948895.0,763671.0,307.22,62206.0,753771.0,700543.0,91.73,98.7
Muzaffarnagar,451202.0,393356.0,356111.0,488447.0,844558.0,784558.0,297.31,42715.0,736461.0,623700.0,79.5,93.87
Pratapgarh,1169228.0,61535.0,605661.0,625102.0,1230763.0,1147256.0,595.47,60938.0,814708.0,1037587.0,90.44,71.01
Prayagraj,350873.2,79632.9,22.7,1240206.0,2410124.0,2311731.0,932.09,135230.0,2032214.0,1955093.0,84.57,87.91
Rae Bareli,782140.0,90913.0,428367.0,444686.0,873053.0,824110.0,470.45,35393.0,726748.0,783070.0,95.02,88.19
Rampur,407562.0,192446.0,279314.0,320694.0,600008.0,521827.0,211.95,33741.0,509000.0,475620.0,91.15,97.54
Saharanpur,722042.15,145131.42,20.1,702334.0,1276463.0,1196223.0,354.75,106150.0,1062518.0,978150.0,81.77,88.82
Sambhal,375746.0,235827.0,262460.0,349113.0,611573.0,555247.0,162.3,49536.0,484835.0,397875.0,71.66,87.32
Shahjahanpur,1020534.0,350074.0,667467.0,703141.0,1370608.0,1284397.0,375.97,64646.0,1231110.0,1163305.0,90.57,95.85
Shravasti,240205.0,4268.0,117582.0,126891.0,244473.0,233473.0,119.59,5818.0,86722.0,210897.0,90.33,37.14
Siddharth Nagar,769903.0,24383.0,316253.0,478033.0,794286.0,721659.0,223.42,117563.0,571685.0,525653.0,72.84,79.22
Sitapur,1123437.0,306053.0,655319.0,774171.0,1429490.0,1361668.0,424.66,111291.0,639135.0,1077456.0,79.13,46.94
Sonbhadra,473629.0,47379.0,246804.0,274204.0,521008.0,467959.0,211.0,23390.0,318810.0,414118.0,88.49,68.13
Sultanpur,1202727.0,103921.0,615699.0,690949.0,1306648.0,1275591.0,703.41,50698.0,1131377.0,1144030.0,89.69,88.69
Unnao,600208.0,182463.0,344420.0,438251.0,782671.0,737511.0,355.49,71742.0,632302.0,599230.0,81.25,85.73
