District,"1 AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"2 MSME TOTAL
0/S","TOTAL
NPA",%AGE,"3 OPS TOTAL
0/S","TOTAL
NPA",%AGE,4 TOTAL PRIORITY SECTOR TOTAL 0/S,"TOTAL
NPA",%AGE,5 NPS TOTAL 0/S,"TOTAL
NPA",%AGE,6 NPA IN TOTAL ADVANCE TOTAL 0/S,"TOTAL
NPA",%AGE
Gopalganj,2169.19,354.79,16.36,1008.71,70.78,7.02,265.71,23.64,8.90,3443.61,449.21,13.04,1653.00,32.40,1.96,5096.58,481.61,9.45
Jamui,1145.10,402.54,35.15,526.46,61.69,11.72,159.59,12.10,7.58,1831.15,476.33,26.01,1123.00,25.66,2.28,2954.34,501.99,16.99
Jehanabad,658.04,192.83,29.30,421.40,63.73,15.12,113.37,14.86,13.11,1192.81,271.42,22.75,859.00,23.39,2.72,2052.00,294.81,14.37
Kaimur (Bhabua),1440.75,459.26,31.88,531.17,77.63,14.61,173.22,18.41,10.63,2145.14,555.30,25.89,946.00,17.81,1.88,3090.69,573.11,18.54
Katihar,2498.43,333.02,13.33,1290.10,78.40,6.08,408.88,16.42,4.02,4197.41,427.84,10.19,2492.00,38.23,1.53,6689.24,466.07,6.97
Khagaria,1360.05,338.63,24.90,532.21,43.91,8.25,135.33,17.09,12.63,2027.59,399.63,19.71,1056.00,24.07,2.28,3083.85,423.70,13.74
Kishanganj,1406.23,212.08,15.08,576.84,44.14,7.65,248.93,11.13,4.47,2232.00,267.35,11.98,1240.00,22.86,1.84,3471.86,290.21,8.36
Lakhisarai,676.09,234.45,34.68,315.61,28.51,9.03,122.94,13.43,10.92,1114.63,276.39,24.80,739.00,12.18,1.65,1853.60,288.57,15.57
Madhepura,1533.14,243.92,15.91,597.57,71.52,11.97,153.38,13.69,8.93,2284.09,329.13,14.41,1279.00,17.70,1.38,3562.70,346.83,9.74
Madhubani,2337.99,260.13,11.13,1244.47,105.80,8.50,361.94,33.02,9.12,3944.42,398.95,10.11,2582.00,36.90,1.43,6526.31,435.85,6.68
Munger,671.97,192.17,28.60,606.38,83.28,13.73,225.72,13.67,6.06,1504.08,289.12,19.22,1649.00,31.70,1.92,3152.78,320.82,10.18
Muzaffarpur,4538.30,596.78,13.15,4344.44,261.26,6.01,1142.35,63.87,5.59,10025.08,921.91,9.20,8812.00,171.99,1.95,18836.75,1093.90,5.81
Nalanda,1818.49,511.91,28.15,1381.33,157.09,11.37,356.21,34.16,9.59,3556.04,703.16,19.77,2371.00,43.59,1.84,5927.37,746.75,12.60
Nawada,1359.63,388.65,28.58,786.08,72.95,9.28,296.46,18.48,6.23,2442.16,480.08,19.66,1376.00,26.67,1.94,3817.94,506.75,13.27
Pashchim Champaran,2696.08,435.89,16.17,1458.46,112.38,7.71,472.03,38.95,8.25,4626.57,587.22,12.69,2627.00,49.57,1.89,7253.85,636.79,8.78
Patna,10392.34,1082.78,10.42,17116.12,1179.07,6.89,4961.25,119.05,2.40,32469.71,2380.90,7.33,52504.00,719.09,1.37,84974.17,3099.99,3.65
Purbi Champaran,4360.53,712.79,16.35,2190.35,148.50,6.78,594.33,41.71,7.02,7145.20,903.00,12.64,3820.00,83.35,2.18,10965.12,986.35,9.00
Purnia,2774.78,466.66,16.82,2603.44,132.30,5.08,604.39,23.81,3.94,5982.60,622.77,10.41,3435.00,54.44,1.58,9417.90,677.21,7.19
Rohtas,2359.41,789.08,33.44,1662.67,206.77,12.44,462.53,46.14,9.98,4484.60,1041.99,23.23,2424.00,48.79,2.01,6908.25,1090.78,15.79
Saharsa,1403.32,230.70,16.44,845.49,77.91,9.21,167.47,10.85,6.48,2416.26,319.46,13.22,1425.00,21.02,1.48,3841.07,340.48,8.86
Samastipur,3189.45,682.97,21.41,1966.60,128.22,6.52,551.58,40.27,7.30,5707.63,851.46,14.92,3254.00,72.39,2.22,8961.91,923.85,10.31
Saran,2577.77,409.57,15.89,1468.40,167.88,11.43,484.94,34.79,7.17,4531.11,612.24,13.51,2881.00,52.66,1.83,7411.72,664.90,8.97
Sheikhpura,451.66,117.71,26.06,294.64,32.85,11.15,92.57,7.91,8.54,838.87,158.47,18.89,538.00,8.68,1.61,1376.40,167.15,12.14
Sheohar,469.16,76.86,16.38,168.40,28.32,16.82,38.88,3.87,9.95,676.45,109.05,16.12,346.00,10.90,3.15,1022.42,119.95,11.73
Sitamarhi,1859.22,376.51,20.25,1133.57,93.84,8.28,271.65,23.43,8.63,3264.42,493.78,15.13,2004.00,38.91,1.94,5267.93,532.69,10.11
Siwan,3421.38,337.83,9.87,1449.64,122.41,8.44,442.24,34.66,7.84,5313.26,494.90,9.31,2418.00,162.13,6.71,7730.85,657.03,8.50
Supaul,1377.65,312.73,22.70,641.68,58.52,9.12,134.37,14.48,10.78,2153.70,385.73,17.91,1545.00,19.68,1.27,3698.59,405.41,10.96
Vaishali,5329.56,474.50,8.90,1664.69,131.62,7.91,495.95,38.71,7.81,7490.20,644.83,8.61,3155.00,79.64,2.52,10644.85,724.47,6.81
