district,lead_bank,date_of_establishment_of_rseti,land_allotted_by_state_govt_yes_no,mou_for_land_executed_with_the_district_administra_tion_yes,grant_received_from_nird_yes_no,map_approved_by_local_authority_yes_no,constructio_n_started_yes_no,details_of_training_programme_organised_during_financial_yea,no_of_training_programm_es_organised,no_of_persons_trained,since_inception_no_of_training_programm_es_organised,no_of_persons_trained,as_on_30_09_2024_no_of_trainees_settled,no_of_trainees_settled_with_bank_finance,as_on_sept_2024_name_of_the_agency_viz_drda_kvic_nabard_etc,amt_of_reimburseme_nt_claim_pending_amt_in_lacs
Lakhisarai,PUNJAB NATIONAL BANK,28/09/2010,YES,YES,YES,YES,YES,0,27,8807,325,8807,5849,1901,SRLM,112
Madhepura,STATE BANK OF INDIA,27/03/2009,YES,YES,YES,YES,YES,0,32,8033,291,8033,5688,3157,SRLM,99
Madhubani,CENTRAL BANK OF INDIA,29/01/2011,YES,YES,YES,YES,YES,5,25,8249,791,8249,586,262,SRLM,31
Munger,UCO BANK,1/2/2011,YES,YES,YES,YES,YES,94,27,7649,243,7649,4126,2507,SRLM,91
Muzaffarpur,CENTRAL BANK OF INDIA,19/02/2007,YES,YES,YES,YES,YES,75,20,9879,640,9879,7968,3688,SRLM,17
Nalanda,PUNJAB NATIONAL BANK,15/02/2010,YES,YES,YES,YES,NO,10,34,11243,395,11243,6682,3329,SRLM,72
Nawada,PUNJAB NATIONAL BANK,28/03/2010,YES,YES,YES,YES,YES,1,30,10371,374,10371,7874,3612,SRLM,154
Pashchim Champaran,CENTRAL BANK OF INDIA,27/01/2011,YES,YES,YES,YES,YES,20,20,8705,630,8705,308,166,SRLM,43
Patna,PUNJAB NATIONAL BANK,15/01/2007,NO,NO,YES,NO,NO,133,31,10418,378,10418,7580,2715,SRLM,59
Purbi Champaran,CENTRAL BANK OF INDIA,19/12/2011,YES,YES,YES,YES,YES,21,21,8880,680,8880,6312,3191,SRLM,64
Purnia,STATE BANK OF INDIA,30/03/2007,YES,YES,YES,YES,YES,0,26,8807,310,8807,6905,3796,SRLM,71
Rohtas,PUNJAB NATIONAL BANK,27/01/2012,YES,YES,YES,YES,YES,0,27,8984,291,8984,855,2890,SRLM,1
Saharsa,STATE BANK OF INDIA,27/03/2009,YES,YES,YES,YES,YES,0,29,8427,307,8427,6017,3450,SRLM,66
Samastipur,UNION BANK OF INDIA,31/03/2009,YES,YES,YES,YES,YES,3,28,8519,284,8519,6056,2563,SRLM,95
Saran,CENTRAL BANK OF INDIA,8/2/2011,YES,YES,YES,YES,YES,14,24,6591,541,6591,4184,1754,SRLM,0
Sheikhpura,CANARA BANK,19/01/2010,YES,YES,YES,YES,YES,44,33,12424,397,12424,3387,790,SRLMKVIC,11
Sheohar,BANK OF BARODA,31/03/2010,YES,YES,YES,YES,YES,410,32,12405,413,12405,9546,4427,SRLM,107
Sitamarhi,BANK OF BARODA,28/03/2012,YES,YES,YES,YES,NO,661,28,8624,300,8624,5654,3266,SRLM,97
Siwan,CENTRAL BANK OF INDIA,15/03/2011,YES,YES,YES,YES,YES,15,21,6524,622,6524,5445,2933,SRLM,87
Supaul,STATE BANK OF INDIA,25/03/2009,YES,YES,YES,YES,YES,0,21,8297,287,8297,6789,4310,SRLM,31
Vaishali,CANARA BANK,30/01/2008,YES,YES,YES,YES,YES,98,35,15278,516,15278,10385,4143,SRLMKVIC,17
