district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_infrastructure_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Jamui,1572.59,28.01,28.01,1195.49,28.01,28.01,0.00,28.01,28.01,56.53,28.01,28.01,131.41,28.01,28.01,8.63,28.01,28.01,55.10,28.01,28.01,109.89,28.01,28.01,3129.64,28.01,28.01
Jehanabad,1260.05,27.00,27.00,1284.99,27.00,27.00,0.00,27.00,27.00,35.61,27.00,27.00,65.03,27.00,27.00,6.03,27.00,27.00,69.91,27.00,27.00,41.81,27.00,27.00,2763.43,27.00,27.00
Kaimur (Bhabua),2833.68,27.90,27.90,1482.82,27.90,27.90,0.00,27.90,27.90,40.98,27.90,27.90,64.03,27.90,27.90,124.41,27.90,27.90,8.37,27.90,27.90,82.74,27.90,27.90,4637.03,27.90,27.90
Katihar,2403.56,41.90,41.90,2768.31,41.90,41.90,0.00,41.90,41.90,136.00,41.90,41.90,148.24,41.90,41.90,95.20,41.90,41.90,111.86,41.90,41.90,386.10,41.90,41.90,6049.27,41.90,41.90
Khagaria,2067.50,29.18,29.18,1338.97,29.18,29.18,0.00,29.18,29.18,37.00,29.18,29.18,66.90,29.18,29.18,32.30,29.18,29.18,7.01,29.18,29.18,70.98,29.18,29.18,3620.66,29.18,29.18
Kishanganj,1343.42,43.96,43.96,1363.51,43.96,43.96,0.00,43.96,43.96,28.64,43.96,43.96,213.01,43.96,43.96,86.56,43.96,43.96,11.07,43.96,43.96,320.05,43.96,43.96,3366.26,43.96,43.96
Lakhisarai,1327.89,25.08,25.08,1068.19,25.08,25.08,0.00,25.08,25.08,4.67,25.08,25.08,44.07,25.08,25.08,40.11,25.08,25.08,1.49,25.08,25.08,50.11,25.08,25.08,2536.53,25.08,25.08
Madhepura,1836.71,28.82,28.82,1476.00,28.82,28.82,0.00,28.82,28.82,88.40,28.82,28.82,223.98,28.82,28.82,166.08,28.82,28.82,28.53,28.82,28.82,240.49,28.82,28.82,4060.19,28.82,28.82
Madhubani,3989.84,30.41,30.41,3015.37,30.41,30.41,0.00,30.41,30.41,196.35,30.41,30.41,235.88,30.41,30.41,14.90,30.41,30.41,186.69,30.41,30.41,69.65,30.41,30.41,7708.68,30.41,30.41
Munger,1721.64,21.95,21.95,1641.70,21.95,21.95,0.00,21.95,21.95,47.77,21.95,21.95,112.31,21.95,21.95,32.43,21.95,21.95,0.72,21.95,21.95,167.82,21.95,21.95,3724.39,21.95,21.95
Muzaffarpur,5368.16,51.88,51.88,5583.63,51.88,51.88,0.00,51.88,51.88,182.33,51.88,51.88,214.62,51.88,51.88,582.41,51.88,51.88,15.91,51.88,51.88,280.59,51.88,51.88,12227.65,51.88,51.88
Nalanda,3461.58,32.51,32.51,2676.51,32.51,32.51,0.00,32.51,32.51,91.73,32.51,32.51,141.36,32.51,32.51,227.10,32.51,32.51,55.28,32.51,32.51,136.71,32.51,32.51,6790.27,32.51,32.51
Nawada,1868.36,35.31,35.31,1421.62,35.31,35.31,0.00,35.31,35.31,40.38,35.31,35.31,160.01,35.31,35.31,279.57,35.31,35.31,17.37,35.31,35.31,50.27,35.31,35.31,3837.58,35.31,35.31
Pashchim Champaran,2996.91,42.58,42.58,2562.91,42.58,42.58,0.00,42.58,42.58,104.55,42.58,42.58,63.58,42.58,42.58,51.81,42.58,42.58,8.11,42.58,42.58,383.13,42.58,42.58,6171.00,42.58,42.58
Patna,6998.67,65.81,65.81,19653.02,65.81,65.81,0.00,65.81,65.81,701.25,65.81,65.81,3890.03,65.81,65.81,322.83,65.81,65.81,103.96,65.81,65.81,593.67,65.81,65.81,32263.43,65.81,65.81
Purbi Champaran,4585.68,46.86,46.86,3560.45,46.86,46.86,0.00,46.86,46.86,131.95,46.86,46.86,207.18,46.86,46.86,193.20,46.86,46.86,110.87,46.86,46.86,202.44,46.86,46.86,8991.77,46.86,46.86
Purnia,3387.02,51.58,51.58,3136.49,51.58,51.58,0.00,51.58,51.58,148.75,51.58,51.58,366.18,51.58,51.58,277.28,51.58,51.58,50.24,51.58,51.58,440.13,51.58,51.58,7806.09,51.58,51.58
Rohtas,3236.04,39.35,39.35,2796.50,39.35,39.35,0.00,39.35,39.35,85.00,39.35,39.35,164.90,39.35,39.35,176.37,39.35,39.35,15.10,39.35,39.35,96.13,39.35,39.35,6570.04,39.35,39.35
Saharsa,1691.67,42.86,42.86,1318.05,42.86,42.86,0.00,42.86,42.86,33.57,42.86,42.86,55.25,42.86,42.86,6.95,42.86,42.86,73.70,42.86,42.86,80.16,42.86,42.86,3259.35,42.86,42.86
Samastipur,4184.91,42.66,42.66,3517.88,42.66,42.66,0.00,42.66,42.66,140.63,42.66,42.66,232.56,42.66,42.66,105.45,42.66,42.66,10.16,42.66,42.66,183.43,42.66,42.66,8375.02,42.66,42.66
Saran,3851.56,30.22,30.22,3346.16,30.22,30.22,0.00,30.22,30.22,251.60,30.22,30.22,646.00,30.22,30.22,319.77,30.22,30.22,44.54,30.22,30.22,300.71,30.22,30.22,8760.34,30.22,30.22
Sheikhpura,792.36,25.97,25.97,693.46,25.97,25.97,0.00,25.97,25.97,23.58,25.97,25.97,38.67,25.97,25.97,25.78,25.97,25.97,10.91,25.97,25.97,49.95,25.97,25.97,1634.71,25.97,25.97
Sheohar,687.83,24.02,24.02,586.50,24.02,24.02,0.00,24.02,24.02,15.13,24.02,24.02,26.90,24.02,24.02,13.30,24.02,24.02,1.91,24.02,24.02,60.00,24.02,24.02,1391.57,24.02,24.02
Sitamarhi,2335.03,38.44,38.44,2008.13,38.44,38.44,0.00,38.44,38.44,43.18,38.44,38.44,79.69,38.44,38.44,6.81,38.44,38.44,50.36,38.44,38.44,241.50,38.44,38.44,4764.70,38.44,38.44
Siwan,3667.92,42.78,42.78,2944.35,42.78,42.78,0.00,42.78,42.78,129.71,42.78,42.78,314.60,42.78,42.78,177.95,42.78,42.78,34.92,42.78,42.78,234.18,42.78,42.78,7503.63,42.78,42.78
Supaul,1681.94,33.97,33.97,1603.35,33.97,33.97,0.00,33.97,33.97,42.07,33.97,33.97,76.33,33.97,33.97,10.06,33.97,33.97,102.30,33.97,33.97,61.27,33.97,33.97,3577.32,33.97,33.97
Vaishali,3801.66,65.95,65.95,2154.60,65.95,65.95,0.00,65.95,65.95,551.88,65.95,65.95,657.00,65.95,65.95,289.27,65.95,65.95,79.19,65.95,65.95,199.92,65.95,65.95,7733.52,65.95,65.95
