district,non_priority_sector_agriculture_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,personal_loan_target,achie,achie,other_target,achie,achie,total_non_priority_sector_target,achie,achie
Purbi Champaran,0.00,62.32,62.32,28.16,62.32,62.32,112.77,62.32,62.32,732.98,62.32,62.32,1945.19,62.32,62.32,2819.10,62.32,62.32
Purnia,0.00,64.35,64.35,22.92,64.35,64.35,91.77,64.35,64.35,596.40,64.35,64.35,1582.82,64.35,64.35,2293.91,64.35,64.35
Rohtas,0.00,51.26,51.26,18.70,51.26,51.26,74.83,51.26,51.26,486.32,51.26,51.26,1290.58,51.26,51.26,1870.43,51.26,51.26
Saharsa,0.00,62.45,62.45,10.05,62.45,62.45,40.25,62.45,62.45,261.47,62.45,62.45,693.88,62.45,62.45,1005.65,62.45,62.45
Samastipur,0.00,59.07,59.07,24.31,59.07,59.07,97.16,59.07,59.07,631.49,59.07,59.07,1675.86,59.07,59.07,2428.82,59.07,59.07
Saran,0.00,54.88,54.88,23.00,54.88,54.88,92.03,54.88,54.88,598.10,54.88,54.88,1587.28,54.88,54.88,2300.41,54.88,54.88
Sheikhpura,0.00,47.48,47.48,4.70,47.48,47.48,18.82,47.48,47.48,122.11,47.48,47.48,324.10,47.48,47.48,469.73,47.48,47.48
Sheohar,0.00,35.40,35.40,3.98,35.40,35.40,15.91,35.40,35.40,103.28,35.40,35.40,274.11,35.40,35.40,397.28,35.40,35.40
Sitamarhi,0.00,59.33,59.33,13.94,59.33,59.33,55.66,59.33,59.33,361.82,59.33,59.33,960.24,59.33,59.33,1391.66,59.33,59.33
Siwan,0.00,60.81,60.81,19.41,60.81,60.81,77.67,60.81,60.81,504.77,60.81,60.81,1339.64,60.81,60.81,1941.49,60.81,60.81
Supaul,0.00,58.89,58.89,11.71,58.89,58.89,46.90,58.89,58.89,304.93,58.89,58.89,809.25,58.89,58.89,1172.79,58.89,58.89
Vaishali,0.00,56.00,56.00,23.29,56.00,56.00,92.99,56.00,56.00,605.02,56.00,56.00,1605.72,56.00,56.00,2327.02,56.00,56.00
