District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Nalgonda,524.0,0.0,0.0,2688.01,12.62,19.6,1665.0,86.57,30.0,1073.75,0.06,0.09,593.0,8.24,23.09,162.15,146.18,371.0,5948.3,2863.98,8812.25,666.11,945.88,10424.25,4401.94,11777.93,76.88,0.0,64.42,288.68,64.82,35.68,39.35,15319.14
Narayanpet,10.0,0.0,0.0,176.13,2.29,47.0,306.0,12.32,59.8,93.0,0.0,0.0,12.0,0.16,2.93,59.88,58.25,626.0,2277.2,837.69,3114.89,63.18,375.0,3553.07,310.3,1938.71,49.51,0.0,4.87,20.6,12.0,5.47,9.3,3915.61
Nirmal,113.0,0.0,0.0,881.18,4.91,12.3,564.0,41.25,47.7,361.72,0.02,0.08,166.0,2.61,12.71,18.75,9.31,37.0,3033.3,1009.01,4042.29,539.07,249.2,4830.56,1217.3,3675.62,58.87,0.0,40.0,86.45,23.67,20.54,25.15,6243.67
Nizamabad,542.0,0.0,0.0,2314.63,13.43,14.8,1928.0,152.84,83.2,1462.4,4.94,13.4,667.0,9.82,47.21,117.86,67.96,4854.0,4907.0,3152.47,8059.49,280.81,1334.9,9675.2,4000.0,9146.67,65.29,0.0,91.0,183.75,37.0,20.8,1.4,14009.15
Peddapalli,174.0,0.0,0.0,887.85,7.02,24.0,821.0,26.96,41.3,367.3,0.0,0.0,448.0,3.56,17.05,42.84,21.26,70.9,1958.5,1556.73,3515.22,53.04,145.72,3713.97,1215.96,3150.67,61.71,12.8,29.25,65.22,17.61,20.88,30.0,5105.7
Rajanna Sircilla,118.0,0.0,0.0,473.36,3.94,14.1,462.0,24.8,61.9,432.0,0.0,0.0,602.0,2.74,8.81,97.56,38.46,115.0,1741.2,1283.72,3024.94,157.1,48.57,3230.61,612.3,2129.19,53.37,3.2,28.0,40.04,10.8,31.1,33.5,3989.55
Ranga Reddy,886.0,137.2,357.0,14684.0,81.54,65.3,7389.0,717.63,57.6,6036.01,5.32,22.4,1015.0,14.31,412.4,333.74,243.48,88.7,3341.4,3441.18,6782.54,803.19,2464.3,10050.04,20342.65,20608.81,64.19,38.4,124.93,1246.52,23.74,3.47,274.4,32104.15
Sangareddy,149.0,0.0,0.0,3040.23,25.34,51.3,2831.0,256.48,173.0,3157.89,0.14,0.26,192.0,2.71,184.4,283.78,170.41,187.0,3499.2,2066.51,5565.71,345.68,905.18,6816.57,3414.92,6926.39,65.48,3.2,49.4,148.1,53.83,1.47,90.97,10578.45
Siddipet,161.0,0.0,0.0,1066.53,5.1,26.6,840.0,63.79,28.5,642.33,0.0,0.0,305.0,2.25,71.2,290.17,174.09,44.9,3828.5,1407.97,5236.47,352.59,1317.68,6906.74,1243.3,5226.2,59.08,0.0,19.2,223.78,62.84,3.16,387.5,8846.5
Suryapet,714.0,0.0,0.0,1412.29,9.77,26.9,1286.0,67.73,37.5,849.19,0.0,0.0,765.0,11.09,16.22,115.02,103.67,162.0,3915.2,1832.38,5747.53,299.78,867.32,6914.63,2418.38,7826.27,80.49,0.0,36.3,180.45,40.92,68.39,64.06,9723.13
Vikarabad,23.0,0.0,0.0,510.71,3.52,13.1,465.0,10.64,1.05,211.77,0.0,0.0,27.0,0.37,1.17,56.52,26.1,31.0,3643.7,1604.45,5248.14,150.02,331.28,5729.45,608.48,3165.58,42.05,0.0,26.9,1009.85,38.4,31.71,84.12,7528.91
Wanaparthy,63.0,0.0,0.0,335.86,3.97,15.6,497.0,15.05,12.0,197.27,0.0,0.0,74.0,1.46,20.65,51.0,44.92,186.0,2556.6,1301.85,3858.47,105.46,67.32,4031.25,429.5,2502.0,53.75,0.0,25.5,125.0,12.0,7.07,24.2,4654.52
Warangal,228.0,0.0,0.0,2111.82,8.49,26.8,1230.0,71.7,99.1,474.97,0.0,0.0,281.0,3.89,201.6,109.18,59.2,73.8,1946.0,2003.76,3949.71,264.15,436.06,4649.92,1884.84,5028.42,74.72,0.0,31.63,72.35,9.07,1.93,80.25,6729.99
Yadadri Bhuvanagiri,122.0,0.0,0.0,827.35,3.58,17.7,508.0,29.42,41.7,353.64,0.0,0.0,135.0,2.21,23.97,25.99,10.86,41.0,2448.7,1599.67,4048.36,145.5,147.96,4341.82,902.67,4219.14,78.24,0.0,20.25,70.64,21.11,9.22,26.51,5392.22
