district,period,aadhaar_authentication__no_of_aadhaar_seeded_casa,aadhaar_authentication__no_of_authenticated_casa,aadhaar_authentication__no_of_operative_casa,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit,kcc__ah_applications_accepted,kcc__ah_applications_received,kcc__ah_applications_sanctioned,kcc__kcc_insured,kcc__kcc_pending,kcc__total_no_of_kcc,pmjdy__female_no,pmjdy__male_no,pmjdy__no_of_aadhaar_seeded,pmjdy__no_of_rupay_card_issued,pmjdy__rural_no,pmjdy__target_no,pmjdy__total_pmjdy_no,pmjdy__urban_no,sc_st_finance__sc_applications_no,sc_st_finance__sc_disbursement_no,sc_st_finance__sc_sponsored_no,shg__credit_linked_amt,shg__credit_linked_no,shg__savings_linked_amt,shg__savings_linked_no
Rohtak,December 2014,,,,52.09,523073.0,1004110.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,December 2014,,,,101.38,660952.0,651926.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,December 2014,,,,62.27,588819.0,945621.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,December 2014,,,,65.66,490627.0,747190.0,,,,,,,,,,,,,,,,,,,,,
Ambala,March 2015,,,,53.92,568608.0,1054455.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,March 2015,,,,111.7,668680.0,567157.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,March 2015,,,,70.19,1766264.0,2516522.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,March 2015,,,,136.51,367213.0,269004.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,March 2015,,,,61.16,3746122.0,6124639.0,,,,,,,,,,,,,,,,,,,,,
Hisar,March 2015,,,,156.38,1361928.0,870937.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,March 2015,,,,80.03,473126.0,591201.0,,,,,,,,,,,,,,,,,,,,,
Jind,March 2015,,,,131.35,459225.0,349616.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,March 2015,,,,169.11,527304.0,311811.0,,,,,,,,,,,,,,,,,,,,,
Karnal,March 2015,,,,172.86,1638142.0,947686.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,March 2015,,,,89.23,533609.0,598047.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,March 2015,,,,59.59,186830.0,313513.0,,,,,,,,,,,,,,,,,,,,,
Nuh,March 2015,,,,87.15,121405.0,139308.0,,,,,,,,,,,,,,,,,,,,,
Palwal,March 2015,,,,78.59,211145.0,268672.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,March 2015,,,,100.12,1685664.0,1683677.0,,,,,,,,,,,,,,,,,,,,,
Panipat,March 2015,,,,131.08,942227.0,718844.0,,,,,,,,,,,,,,,,,,,,,
Rewari,March 2015,,,,46.94,284958.0,607021.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,March 2015,,,,54.82,560289.0,1022139.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,March 2015,,,,112.6,522426.0,463946.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,March 2015,,,,60.73,607007.0,999544.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,March 2015,,,,65.28,508805.0,779439.0,,,,,,,,,,,,,,,,,,,,,
Ambala,June 2015,,,,53.92,568608.0,1054455.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,June 2015,,,,111.7,668680.0,567157.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,June 2015,,,,70.19,1766264.0,2516522.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,June 2015,,,,136.51,367213.0,269004.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,June 2015,,,,61.16,3746122.0,6124639.0,,,,,,,,,,,,,,,,,,,,,
Hisar,June 2015,,,,156.38,1361928.0,870937.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,June 2015,,,,80.03,473126.0,591201.0,,,,,,,,,,,,,,,,,,,,,
Jind,June 2015,,,,131.35,459225.0,349616.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,June 2015,,,,169.11,527304.0,311811.0,,,,,,,,,,,,,,,,,,,,,
Karnal,June 2015,,,,172.86,1638142.0,947686.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,June 2015,,,,89.23,533609.0,598047.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,June 2015,,,,59.59,186830.0,313513.0,,,,,,,,,,,,,,,,,,,,,
Nuh,June 2015,,,,87.15,121405.0,139308.0,,,,,,,,,,,,,,,,,,,,,
Palwal,June 2015,,,,78.59,211145.0,268672.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,June 2015,,,,100.12,1685664.0,1683677.0,,,,,,,,,,,,,,,,,,,,,
Panipat,June 2015,,,,131.08,942227.0,718844.0,,,,,,,,,,,,,,,,,,,,,
Rewari,June 2015,,,,46.94,284958.0,607021.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,June 2015,,,,54.82,560289.0,1022139.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,June 2015,,,,112.6,522426.0,463946.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,June 2015,,,,60.73,607007.0,999544.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,June 2015,,,,65.28,508805.0,779439.0,,,,,,,,,,,,,,,,,,,,,
Ambala,December 2015,,,,52.07,595767.48,1144200.96,,,,,,,,,,,,,,,,,,,,,
Bhiwani,December 2015,,,,72.97,488262.0,606364.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,December 2015,,,,66.25,1870595.0,2823417.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,December 2015,,,,121.54,497495.0,409332.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,December 2015,,,,62.33,4146956.0,6653745.0,,,,,,,,,,,,,,,,,,,,,
Hisar,December 2015,,,,146.61,1360029.0,927659.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,December 2015,,,,68.37,438203.5,640968.0,,,,,,,,,,,,,,,,,,,,,
Jind,December 2015,,,,133.63,487526.0,364821.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,December 2015,,,,160.47,508228.0,316706.0,,,,,,,,,,,,,,,,,,,,,
Karnal,December 2015,,,,135.76,1498191.0,1103543.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,December 2015,,,,84.07,541263.0,643806.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,December 2015,,,,51.93,184913.0,356100.0,,,,,,,,,,,,,,,,,,,,,
Nuh,December 2015,,,,80.8,116865.0,144641.0,,,,,,,,,,,,,,,,,,,,,
Palwal,December 2015,,,,78.4,232662.0,296752.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,December 2015,,,,108.3,1625112.0,1500504.0,,,,,,,,,,,,,,,,,,,,,
Panipat,December 2015,,,,106.83,810502.98,758692.47,,,,,,,,,,,,,,,,,,,,,
Rewari,December 2015,,,,44.82,289715.0,646424.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,December 2015,,,,47.04,530796.0,1128367.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,December 2015,,,,126.0,558896.3,443581.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,December 2015,,,,60.31,638137.54,1058078.3,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,December 2015,,,,65.45,528821.0,807949.0,,,,,,,,,,,,,,,,,,,,,
Ambala,June 2016,,,,49.44,613000.0,1239900.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,June 2016,,,,76.18,543800.0,656400.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,June 2016,,,,63.12,1998300.0,3165800.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,June 2016,,,,126.36,402200.0,318300.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,June 2016,,,,52.8,4989461.0,9449984.0,,,,,,,,,,,,,,,,,,,,,
Hisar,June 2016,,,,110.78,1159600.0,1046800.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,June 2016,,,,74.43,508200.0,682800.0,,,,,,,,,,,,,,,,,,,,,
Jind,June 2016,,,,122.1,513200.0,420300.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,June 2016,,,,157.79,548000.0,347300.0,,,,,,,,,,,,,,,,,,,,,
Karnal,June 2016,,,,153.25,1655100.0,1080000.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,June 2016,,,,82.32,576100.0,699800.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,June 2016,,,,58.45,220600.0,377400.0,,,,,,,,,,,,,,,,,,,,,
Nuh,June 2016,,,,74.52,115800.0,155400.0,,,,,,,,,,,,,,,,,,,,,
Palwal,June 2016,,,,79.94,271000.0,339000.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,June 2016,,,,64.66,1166600.0,1804200.0,,,,,,,,,,,,,,,,,,,,,
Panipat,June 2016,,,,127.34,987900.0,775800.0,,,,,,,,,,,,,,,,,,,,,
Rewari,June 2016,,,,46.08,320500.0,695500.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,June 2016,,,,45.29,559400.0,1235200.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,June 2016,,,,126.93,607500.0,478600.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,June 2016,,,,56.36,653900.0,1160200.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,June 2016,,,,68.27,579500.0,848800.0,,,,,,,,,,,,,,,,,,,,,
Ambala,September 2016,,,,52.07,655775.6,1259431.48,,,,,,,,,,,,,,,,,,,,,
Bhiwani,September 2016,,,,78.96,543682.0,688560.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,September 2016,,,,62.18,1885176.0,3031828.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,September 2016,,,,135.56,433452.0,319758.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,September 2016,,,,57.12,5129349.0,8980062.0,,,,,,,,,,,,,,,,,,,,,
Hisar,September 2016,,,,108.68,1131861.0,1041509.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,September 2016,,,,66.85,467643.0,699577.0,,,,,,,,,,,,,,,,,,,,,
Jind,September 2016,,,,123.06,538240.0,437379.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,September 2016,,,,160.16,564914.0,352719.0,,,,,,,,,,,,,,,,,,,,,
Karnal,September 2016,,,,145.37,1629136.0,1120652.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,September 2016,,,,82.67,605033.0,731855.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,September 2016,,,,47.81,198156.0,414423.0,,,,,,,,,,,,,,,,,,,,,
Nuh,September 2016,,,,80.74,125493.0,155427.0,,,,,,,,,,,,,,,,,,,,,
Palwal,September 2016,,,,73.37,233366.0,318072.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,September 2016,,,,64.14,1179583.0,1839066.0,,,,,,,,,,,,,,,,,,,,,
Panipat,September 2016,,,,128.13,1018296.0,794746.0,,,,,,,,,,,,,,,,,,,,,
Rewari,September 2016,,,,44.41,330212.0,743535.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,September 2016,,,,45.92,571801.0,1245219.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,September 2016,,,,137.56,631165.0,458814.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,September 2016,,,,57.71,699988.0,1212859.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,September 2016,,,,67.64,593728.0,877730.0,,,,,,,,,,,,,,,,,,,,,
Ambala,December 2016,,,,47.72,654174.0,1370794.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,December 2016,,,,67.24,542972.0,807504.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,December 2016,,,,53.94,1935860.0,3588600.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,December 2016,,,,103.04,440904.0,427901.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,December 2016,,,,55.48,5207695.0,9386065.0,,,,,,,,,,,,,,,,,,,,,
Hisar,December 2016,,,,83.44,1081578.0,1296188.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,December 2016,,,,61.77,458512.0,742340.0,,,,,,,,,,,,,,,,,,,,,
Jind,December 2016,,,,91.48,518557.0,566831.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,December 2016,,,,122.04,557809.0,457077.0,,,,,,,,,,,,,,,,,,,,,
Karnal,December 2016,,,,135.07,1718375.0,1272231.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,December 2016,,,,63.88,560213.0,877043.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,December 2016,,,,40.91,195211.0,477228.0,,,,,,,,,,,,,,,,,,,,,
Nuh,December 2016,,,,67.59,132481.0,196020.0,,,,,,,,,,,,,,,,,,,,,
Palwal,December 2016,,,,71.84,302173.0,420598.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,December 2016,,,,60.12,1163032.0,1934497.0,,,,,,,,,,,,,,,,,,,,,
Panipat,December 2016,,,,109.87,990188.0,901245.0,,,,,,,,,,,,,,,,,,,,,
Rewari,December 2016,,,,38.56,334339.0,867160.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,December 2016,,,,37.51,565028.0,1506464.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,December 2016,,,,103.12,637902.0,618582.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,December 2016,,,,47.55,659370.0,1386657.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,December 2016,,,,55.36,567898.0,1025751.0,,,,,,,,,,,,,,,,,,,,,
Ambala,March 2017,,,,45.97,677149.0,1473056.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,March 2017,,,,74.46,607807.0,816246.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,March 2017,,,,59.13,2038939.0,3448374.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,March 2017,,,,118.57,470308.0,396638.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,March 2017,,,,53.55,5432555.0,10144679.0,,,,,,,,,,,,,,,,,,,,,
Hisar,March 2017,,,,93.53,1204281.0,1287593.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,March 2017,,,,64.82,510583.0,787750.0,,,,,,,,,,,,,,,,,,,,,
Jind,March 2017,,,,107.23,540635.0,504198.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,March 2017,,,,145.39,612216.0,421082.0,,,,,,,,,,,,,,,,,,,,,
Karnal,March 2017,,,,146.52,1755055.0,1197796.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,March 2017,,,,75.46,616357.0,816784.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,March 2017,,,,43.85,211882.0,483175.0,,,,,,,,,,,,,,,,,,,,,
Nuh,March 2017,,,,70.55,139261.0,197384.0,,,,,,,,,,,,,,,,,,,,,
Palwal,March 2017,,,,76.99,321235.0,417252.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,March 2017,,,,60.3,1087868.0,1804000.0,,,,,,,,,,,,,,,,,,,,,
Panipat,March 2017,,,,114.97,1064291.0,925734.0,,,,,,,,,,,,,,,,,,,,,
Rewari,March 2017,,,,39.4,354891.0,900656.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,March 2017,,,,42.05,608223.0,1446548.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,March 2017,,,,122.79,706992.0,575794.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,March 2017,,,,49.62,711855.0,1434600.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,March 2017,,,,61.99,628511.0,1013873.0,,,,,,,,,,,,,,,,,,,,,
Ambala,June 2017,,,,52.27,758917.0,1451864.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,June 2017,,,,78.46,446777.0,569432.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,June 2017,,,,71.29,147401.0,206761.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,June 2017,,,,58.7,1964332.0,3346556.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,June 2017,,,,117.09,456703.0,390041.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,June 2017,,,,51.44,5389045.0,10476048.0,,,,,,,,,,,,,,,,,,,,,
Hisar,June 2017,,,,85.37,1055370.0,1236261.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,June 2017,,,,67.22,518987.0,772121.0,,,,,,,,,,,,,,,,,,,,,
Jind,June 2017,,,,102.88,544125.0,528896.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,June 2017,,,,135.23,596656.0,441212.0,,,,,,,,,,,,,,,,,,,,,
Karnal,June 2017,,,,124.27,1638397.0,1318451.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,June 2017,,,,73.12,610750.0,835321.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,June 2017,,,,45.3,224268.0,495040.0,,,,,,,,,,,,,,,,,,,,,
Nuh,June 2017,,,,73.31,142863.0,194866.0,,,,,,,,,,,,,,,,,,,,,
Palwal,June 2017,,,,68.16,294676.0,432314.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,June 2017,,,,62.52,1379733.0,2206934.0,,,,,,,,,,,,,,,,,,,,,
Panipat,June 2017,,,,121.56,1058072.0,870417.0,,,,,,,,,,,,,,,,,,,,,
Rewari,June 2017,,,,41.25,370922.0,899180.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,June 2017,,,,42.49,620155.0,1459601.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,June 2017,,,,116.67,705735.0,604911.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,June 2017,,,,51.66,742081.0,1436493.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,June 2017,,,,61.04,631334.0,1034223.0,,,,,,,,,,,,,,,,,,,,,
Ambala,September 2017,,,,51.52,757296.0,1469992.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,September 2017,,,,79.49,467996.0,588775.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,September 2017,,,,104.42,179574.0,171970.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,September 2017,,,,59.35,2085921.0,3514636.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,September 2017,,,,123.25,486998.0,395142.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,September 2017,,,,50.01,5952634.0,11902166.0,,,,,,,,,,,,,,,,,,,,,
Hisar,September 2017,,,,91.03,1159076.0,1273276.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,September 2017,,,,53.5,455105.0,850625.0,,,,,,,,,,,,,,,,,,,,,
Jind,September 2017,,,,100.12,560831.0,560148.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,September 2017,,,,136.86,594146.0,434126.0,,,,,,,,,,,,,,,,,,,,,
Karnal,September 2017,,,,124.79,1675564.0,1342710.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,September 2017,,,,73.13,662448.0,905884.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,September 2017,,,,46.77,239743.0,512653.0,,,,,,,,,,,,,,,,,,,,,
Nuh,September 2017,,,,71.9,144860.0,201469.0,,,,,,,,,,,,,,,,,,,,,
Palwal,September 2017,,,,64.92,287377.0,442636.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,September 2017,,,,63.27,1521038.0,2403997.0,,,,,,,,,,,,,,,,,,,,,
Panipat,September 2017,,,,119.96,1066176.0,888812.0,,,,,,,,,,,,,,,,,,,,,
Rewari,September 2017,,,,42.81,390983.0,913362.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,September 2017,,,,42.44,637626.0,1502399.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,September 2017,,,,114.74,738969.0,644033.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,September 2017,,,,54.91,800262.0,1457368.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,September 2017,,,,62.83,651919.0,1037576.0,,,,,,,,,,,,,,,,,,,,,
Ambala,December 2017,,,,50.26,769228.0,1530393.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,December 2017,,,,79.27,481205.0,607030.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,December 2017,,,,110.61,194848.0,176157.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,December 2017,,,,59.65,2169549.0,3637173.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,December 2017,,,,115.98,515794.0,444737.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,December 2017,,,,48.59,6222270.0,12805776.0,,,,,,,,,,,,,,,,,,,,,
Hisar,December 2017,,,,99.12,1222578.0,1233372.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,December 2017,,,,57.25,480734.0,839693.0,,,,,,,,,,,,,,,,,,,,,
Jind,December 2017,,,,98.12,559379.0,570080.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,December 2017,,,,132.19,621156.0,469881.0,,,,,,,,,,,,,,,,,,,,,
Karnal,December 2017,,,,138.16,1857766.0,1344676.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,December 2017,,,,71.18,678051.0,952551.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,December 2017,,,,62.29,238040.0,382169.0,,,,,,,,,,,,,,,,,,,,,
Nuh,December 2017,,,,71.94,143539.0,199532.0,,,,,,,,,,,,,,,,,,,,,
Palwal,December 2017,,,,70.31,305031.0,433820.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,December 2017,,,,57.5,1567757.0,2726553.0,,,,,,,,,,,,,,,,,,,,,
Panipat,December 2017,,,,113.11,1129845.0,998883.0,,,,,,,,,,,,,,,,,,,,,
Rewari,December 2017,,,,42.23,403994.0,956723.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,December 2017,,,,41.83,660470.0,1578903.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,December 2017,,,,109.74,753858.0,686977.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,December 2017,,,,51.63,792703.0,1535221.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,December 2017,,,,60.67,629515.0,1037548.0,,,,,,,,,,,,,,,,,,,,,
Ambala,March 2018,,,,53.92,875963.0,1624692.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,March 2018,,,,83.1,511996.0,616093.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,March 2018,,,,92.75,191252.0,206203.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,March 2018,,,,59.23,2168727.0,3661605.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,March 2018,,,,113.73,509493.0,448004.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,March 2018,,,,48.79,6605807.0,13539780.0,,,,,,,,,,,,,,,,,,,,,
Hisar,March 2018,,,,92.11,1237501.0,1343473.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,March 2018,,,,45.58,378936.0,831453.0,,,,,,,,,,,,,,,,,,,,,
Jind,March 2018,,,,104.27,611738.0,586711.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,March 2018,,,,133.88,642534.0,479922.0,,,,,,,,,,,,,,,,,,,,,
Karnal,March 2018,,,,136.74,1844331.0,1348801.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,March 2018,,,,76.23,740869.0,971834.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,March 2018,,,,50.32,258478.0,513691.0,,,,,,,,,,,,,,,,,,,,,
Nuh,March 2018,,,,72.71,153734.0,211438.0,,,,,,,,,,,,,,,,,,,,,
Palwal,March 2018,,,,74.1,328439.0,443246.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,March 2018,,,,74.87,1442669.0,1926866.0,,,,,,,,,,,,,,,,,,,,,
Panipat,March 2018,,,,110.45,1143013.0,1034846.0,,,,,,,,,,,,,,,,,,,,,
Rewari,March 2018,,,,46.3,442922.0,956547.0,,,,,,,,,,,,,,,,,,,,,
Rohtak,March 2018,,,,42.81,710557.0,1659790.0,,,,,,,,,,,,,,,,,,,,,
Sirsa,March 2018,,,,122.4,793168.0,648000.0,,,,,,,,,,,,,,,,,,,,,
Sonipat,March 2018,,,,53.79,849299.0,1578834.0,,,,,,,,,,,,,,,,,,,,,
Yamunanagar,March 2018,,,,61.02,655926.0,1074979.0,,,,,,,,,,,,,,,,,,,,,
Ambala,June 2019,,,,50.13,812215.0,1620056.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,June 2019,,,,72.5,535337.0,738372.0,,,,,,,,,,,,,,,,,,,,,
Charki Dadri,June 2019,,,,59.11,182079.0,308059.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,June 2019,,,,62.01,2542735.0,4100774.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,June 2019,,,,102.14,545097.0,533682.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,June 2019,,,,46.52,8034460.0,17272477.0,,,,,,,,,,,,,,,,,,,,,
Hisar,June 2019,,,,87.08,1375073.0,1579089.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,June 2019,,,,54.2,522530.0,964141.0,,,,,,,,,,,,,,,,,,,,,
Jind,June 2019,,,,87.65,623193.0,711002.0,,,,,,,,,,,,,,,,,,,,,
