district,Small and Marginal Farmers No.,Small and Marginal Farmers Amt.,Scheduled Castes No.,Scheduled Castes Amt.,Scheduled Tribes No.,Scheduled Tribes Amt.,DRI scheme No.,DRI scheme Amt.,Self Help Groups No.,Self Help Groups Amt.,women beneficiaries No.,women beneficiaries Amt.,MiNo.rity communities No.,MiNo.rity communities Amt.,PMJDY No.,PMJDY Amt.,Others No.,Others Amt.,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Golaghat,101400,50242.73,16730,9934.81,17426,9803.32,204,1.52,4019,3641.23,52000,14886.73,6365,6655.74,184,5.02,23436,16946.01,221764,112117.11
Hailakandi,22435,11724.18,8337,4850.1,1787,1413.12,104,6.86,1570,1050.57,5318,2961.28,15369,12310.33,35,0.68,15501,8980.24,70456,43297.35999999999
Hojai,30246,17106.27,15425,8525.81,6220,3835.33,200,2.2,1863,1463.2,11291,6268.81,10401,8017.38,123,4.25,27727,16723.74,103496,61946.990000000005
Jorhat,66226,33542,14231,8932.73,13787,8732.24,217,53.06,3185,2752.16,32245,13158.25,4997,9066.33,90,1.58,30580,20544.06,165558,96782.40999999999
KARIMGANJ,26520,13934.81,27149,14035.18,3704,2351.34,166,1.6,2523,1469.34,15955,6671.28,11578,10218.38,85,2.42,35141,19897.95,122821,68582.29999999999
Kamrup,77256,44991.55,20830,11932.97,18566,10090.47,214,9.51,5565,4212.41,42219,16515.45,22925,21787.14,79,1.36,35656,20729.63,223310,130270.49
Kamrup Metro,24908,22083.3,14124,17211.65,14122,21562.24,228,21.56,2151,2147.32,38860,20177.89,11045,57229.65,152,7.43,14685,15603.79,120275,156044.83
Karbi Anglong,12264,5746.8,830,989.28,13588,12428.14,24,0.75,3380,1554.41,12322,3418.31,981,1999.7,8,0.11,1971,2230.74,45368,28368.240000000005
Kokrajhar,26638,12548.48,4064,2494.52,14420,11966.59,59,0.13,1842,1509.36,7849,4011.93,10867,6360.79,28,1.2,16621,9088.63,82388,47981.63
Lakhimpur,68025,47119.52,16866,11547.92,22527,16501.57,340,1.2,5817,4950.8,26257,11725.35,14437,12390.15,49,0.1,33356,37153.89,187674,141390.5
Majuli,5686,2886.38,1329,659.69,2470,1577.17,9,0.21,657,434.23,618,371.23,75,120.51,6,0.09,1083,1153.03,11933,7202.54
Morigaon,44388,23785.57,14222,8450.21,18902,10360.65,183,3.53,3361,2575.57,15185,7270.14,10287,8382.77,77,1.6,28318,16285.49,134923,77115.53
Nagaon,87181,50546.16,30734,18056.32,19826,11856.2,413,4.38,5196,4546.12,57521,23618.15,45588,34824.23,253,7.1,85528,55941.99,332240,199400.65000000002
Nalbari,35200,19783.34,7379,4358.68,4672,3067.04,116,21.71,5098,5463.47,25788,8853.04,13149,10208.7,51,2.52,20029,11008.78,111482,62767.27999999999
Sivasagar,56414,26684.96,9666,5786.74,5614,3761.45,157,3.87,2098,1841.62,28872,10430.07,6152,9281.85,150,5.6,20120,12511.53,129243,70307.69
Sonitpur,48537,28623.14,15212,9627.19,15296,9353,163,0.83,5633,4771.08,21948,12281.81,14643,15575.21,154,194.59,44298,28787.21,165884,109214.06
South Salmara,2468,954.92,28,36.39,23,4.94,0,0,185,130.79,245,101.63,2115,2609.06,15,0.09,164,208.14,5243,4045.96
Tinsukia,52881,33469.94,6389,4910.13,9216,7196.89,151,4.96,3139,2599.56,28050,10975.24,3300,7536.61,60,0.41,12092,9949.53,115278,76643.26999999999
Udalguri,36992,21603.19,3537,1742.76,27957,20305.59,13,0.59,2136,1850.92,5487,3223.8,7019,6285.32,50,1.48,3569,2985.17,86760,57998.81999999999
West Karbi Anglong,2356,1276.8,88,126.42,1671,2058.42,1,0.01,2285,995.48,4068,1232.18,209,258.88,16,0.35,1,0.95,10695,5949.490000000002
