district,allied_advance_fishery_t,a,pct,others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Khordha,105.02,61.28,58.35,13.60,295.34,2171.59,3138.60,4440.55,141.48,172.80,54.60,31.60,17.70,60.93,344.26,32.00,3.52,11.00,222.50,119.05,53.51
Koraput,129.87,48.19,37.10,0.00,3.82,,1362.60,1549.22,113.70,88.94,114.50,128.74,4.41,16.21,367.68,0.81,1.34,164.85,94.16,132.05,140.24
Malkangiri,14.67,28.46,194.02,0.43,0.04,8.95,469.59,519.51,110.63,12.16,4.64,38.18,4.55,1.41,31.04,0.37,1.39,376.57,17.08,7.45,43.61
Mayurbhanj,48.60,48.61,100.02,20.27,0.52,2.57,2288.61,1768.95,77.29,19.71,6.18,31.38,8.47,4.22,49.83,10.26,2.47,24.08,38.44,12.87,33.49
Nabarangpur,21.57,28.18,130.63,2.31,2.13,92.05,1053.63,965.13,91.60,18.73,42.61,227.49,8.21,3.13,38.07,1.28,1.07,83.86,28.22,46.81,165.87
Nayagarh,13.17,10.63,80.72,1.67,9.47,566.97,1485.56,1990.67,134.00,35.24,10.32,29.30,8.13,21.58,265.41,2.34,0.24,10.27,45.71,32.14,70.32
Nuapada,9.33,17.09,183.14,1.97,0.06,2.95,462.88,682.52,147.45,20.23,50.56,249.93,5.48,5.72,104.41,1.70,0.24,14.10,27.41,56.52,206.21
Puri,112.06,104.81,93.53,3.97,5.81,146.45,2101.71,2773.43,131.96,79.22,48.91,61.74,10.75,20.14,187.31,7.66,3.23,42.14,97.63,72.27,74.03
Rayagada,17.66,16.11,91.20,5.59,0.04,0.77,912.54,875.78,95.97,20.64,12.48,60.46,5.86,1.97,33.67,2.18,0.03,1.27,28.68,14.48,50.48
Sambalpur,43.12,33.11,76.79,1.65,37.73,2286.71,1780.18,1647.02,92.52,46.28,10.54,22.76,21.64,2.46,11.35,9.94,11.31,113.81,77.86,24.31,31.22
Subarnapur,10.52,19.75,187.70,2.75,0.26,9.54,770.24,1264.94,164.23,38.10,1.29,3.38,9.38,4.04,43.03,2.42,0.77,31.72,49.90,6.09,12.21
Sundargarh,31.16,9.23,29.61,2.71,2.81,103.60,3551.09,2339.99,65.90,199.75,44.58,22.32,24.91,4.31,17.30,19.64,0.42,2.12,244.30,49.31,20.18
