district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Jharsuguda,575.82,435.51,75.63,17.92,14.64,81.71,126.12,82.40,65.33,33.07,27.45,83.02,1.40,2.47,176.46,32.05,30.99,96.68,8.28,19.23,232.21,9.76,43.29,443.58
Kalahandi,1155.96,1363.87,117.99,20.79,12.67,60.93,176.90,152.45,86.18,144.71,21.95,15.17,15.34,3.11,20.28,54.91,138.08,251.47,32.54,87.23,268.06,14.43,99.64,690.51
Kandhamal,535.17,555.74,103.84,28.99,16.84,58.09,44.02,66.14,150.26,34.87,29.06,83.35,5.30,2.45,46.24,10.15,23.29,229.41,19.71,11.71,59.43,38.22,14.25,37.27
Kendrapara,1942.90,2055.82,105.81,31.05,19.29,62.11,60.68,123.29,203.18,45.21,28.89,63.89,5.44,4.27,78.44,129.58,120.67,93.12,25.46,65.86,258.67,22.66,91.13,402.15
Keonjhar,1240.42,1006.14,81.11,83.78,7.08,8.45,228.79,81.20,35.49,205.44,12.74,6.20,17.56,2.73,15.54,188.74,42.69,22.62,236.71,33.35,14.09,85.46,47.23,55.26
Khordha,2001.92,2619.31,130.84,58.31,42.46,72.83,190.12,778.65,409.56,331.38,82.28,24.83,14.55,18.96,130.33,243.46,305.30,125.40,106.98,136.65,127.73,73.26,100.32,136.94
Koraput,1050.00,971.05,92.48,11.73,11.48,97.88,22.84,101.07,442.52,38.90,27.65,71.07,11.32,6.41,56.59,58.19,51.42,88.36,25.40,27.93,109.96,14.35,300.21,2092.04
Malkangiri,377.35,359.65,95.31,9.56,5.77,60.39,18.88,59.05,312.79,14.75,8.73,59.20,7.56,1.71,22.66,15.02,22.83,151.99,7.17,14.53,202.65,4.20,18.73,445.91
Mayurbhanj,1688.46,1234.54,73.12,66.57,25.27,37.97,176.92,147.31,83.26,82.28,59.90,72.80,3.09,4.57,147.85,84.75,113.83,134.31,30.67,61.45,200.37,87.00,72.96,83.86
Nabarangpur,824.49,682.63,82.79,35.75,11.61,32.46,47.61,82.26,172.77,20.44,25.39,124.19,17.92,2.58,14.37,72.47,32.59,44.97,9.52,10.55,110.78,1.55,87.24,5628.19
Nayagarh,1171.27,1423.85,121.56,29.58,33.04,111.70,73.99,197.03,266.30,77.80,56.66,72.82,3.82,6.55,171.59,63.46,112.74,177.66,26.38,30.33,114.98,24.42,110.36,451.92
Nuapada,340.41,407.29,119.65,23.54,10.57,44.91,31.46,71.49,227.25,13.48,33.45,248.11,5.64,2.06,36.57,10.03,40.74,406.21,15.31,10.09,65.92,11.71,89.68,765.83
Puri,1482.65,1555.47,104.91,81.01,48.01,59.27,127.48,276.07,216.56,83.23,92.33,110.94,3.45,8.64,250.34,149.42,232.93,155.89,54.65,111.12,203.33,3.79,338.22,8924.06
Rayagada,753.76,621.39,82.44,18.81,9.46,50.29,22.43,75.26,335.53,17.79,20.80,116.94,5.27,1.28,24.25,21.09,59.34,281.38,36.10,29.15,80.73,14.04,42.95,305.93
Sambalpur,1260.21,1139.91,90.45,38.91,30.20,77.61,125.16,169.94,135.78,59.56,49.83,83.66,9.67,6.43,66.45,41.52,63.62,153.23,41.03,54.94,133.90,159.35,61.31,38.48
Subarnapur,567.60,1001.52,176.45,12.69,17.12,134.92,80.29,73.88,92.02,20.39,29.08,142.60,9.44,1.89,20.02,33.00,42.99,130.28,20.18,27.28,135.20,13.38,51.17,382.45
Sundargarh,2000.00,1808.91,90.45,99.21,46.39,46.76,1110.09,248.04,22.34,118.86,103.19,86.81,39.19,19.20,48.98,73.21,64.98,88.76,40.42,20.38,50.43,36.24,16.87,46.56
