district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Hojai,497,431.97,13679,7937.91,5,3.5,110,53.56,2,3,16,32.04,0,0,0,0,0,0,0,0,0,0,12,37,504,438.47,13817,8060.51
Jorhat,3126,3851.85,24250,22111.89,253,392.2,1552,1500,22,86.16,332,644.94,14,19.35,172,197.57,0,0,20,20.58,61,727.61,500,2330.02,3476,5077.17,26826,26805
Kamrup,14449,10714.93,61505,38024.24,161,135.67,996,791.6,16,2.9,78,332.47,1,0.6,12,33.13,0,0,1,0.24,0,0,86,1545.96,14627,10854.1,62678,40727.64
Kamrup Metro,5054,13145.11,21050,47850.84,330,1345.6,1625,4850.18,57,766.74,397,2954.01,12,31.82,90,1006.46,0,0,3,0.67,122,961.96,145,2050.3,5575,16251.23,23310,58712.46
Karbi Anglong,59,28.78,872,837.93,736,421.17,1638,1662.94,20,7.75,41,32.24,1,0.1,30,43.51,0,0,20,18.5,0,0,0,0,816,457.8,2601,2595.12
Karimganj,8811,5033.39,45480,24806.81,179,121.2,681,395.15,3,6,57,134.47,2,2.5,14,9.54,0,0,0,0,0,0,21,103.66,8995,5163.09,46253,25449.63
Kokrajhar,63,64.14,5311,4594.11,19,29.15,2894,1733.54,0,0,1,2.16,0,0,4,8.08,0,0,2,0.48,1,4.8,8,39.5,83,98.09,8220,6377.87
Lakhimpur,4355,2182.46,20339,11562.72,175,89.44,1135,588.8,14,16.17,131,509.12,2,1.18,72,76.94,0,0,35,19.13,2,4.9,115,1664.65,4548,2294.15,21827,14421.36
Majuli,21,16.03,602,331.62,0,0,16,10,0,0,5,9.35,0,0,0,0,0,0,0,0,0,0,3,8,21,16.03,626,358.97
Morigaon,10689,7392.8,48105,23549.02,38,32.91,339,221.52,2,0.81,28,42.78,2,0.6,19,15.9,0,0,2,0.6,0,0,17,47.38,10731,7427.12,48510,23877.2
Nagaon,27319,16829.74,106763,61149.51,111,129.58,820,815.4,16,20.83,205,455.2,1,0.6,33,42.45,0,0,2,0.27,3,2.16,54,180.89,27450,16982.91,107877,62643.72
Nalbari,4236,2978.32,20645,12885.19,4,2.56,111,80.35,0,0,28,44.85,0,0,7,5,0,0,2,0.72,0,0,25,168.42,4240,2980.88,20818,13184.53
Sivasagar,3775,3002.53,18683,13602.09,104,64.26,903,797.75,6,5.03,127,174.22,27,17.95,160,142.85,0,0,23,32.17,11,34.08,142,1060.92,3923,3123.85,20038,15810
Sonitpur,10730,7499.55,42652,22037.08,281,229.13,1428,1123.31,12,19.71,81,262.86,8,14.38,76,137.67,10,5.19,28,10.4,0,0,36,161.87,11041,7767.96,44301,23733.19
South Salmara,91,58.14,1201,1390.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,58.14,1201,1390.79
Tinsukia,1965,1815.93,11347,8440.92,327,439.35,1072,1673.55,30,160.89,257,546.39,77,144.78,696,1025.08,7,40.55,22,18.94,20,66.1,570,845.98,2426,2667.6,13964,12550.86
Udalguri,31,22.64,3708,2888.37,234,273.88,4123,6973.29,0,0,27,30.91,0,0,9,17,0,0,4,2.16,0,0,1,0.22,265,296.52,7872,9911.95
West Karbi Anglong,5,0.8,201,165,190,200,11410,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,200.8,11611,965
