District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Khammam,549468.0,12.67,46.89,729.05,12.94,18.0,1379.0,250.75,44.07,4085.38,174.29,32.5,155328.0,715.96,41.9,9356.13,1166.61,40.05,27.02,71.87,568.96,536.22,1708.84,2912.91
Kumuram Bheem Asifabad,48999.0,5.56,84.63,59.5,0.3,51.72,13.0,8.93,62.1,112.62,28.69,41.22,9821.0,54.21,57.17,487.6,97.69,52.53,6.57,0.58,14.38,69.61,94.83,185.97
Mahabubabad,250459.0,1.77,41.16,260.1,0.98,18.28,144.0,48.13,45.16,368.6,29.22,27.39,39886.0,128.9,41.66,1236.1,209.0,39.26,4.3,5.36,106.57,106.67,309.43,532.33
Mahabubnagar,242214.0,11.7,64.64,256.48,3.79,18.92,434.0,92.15,32.59,1829.02,115.93,29.51,86829.0,280.97,33.93,4753.22,504.54,32.73,18.1,20.03,282.76,392.81,827.99,1541.69
Mancherial,104091.0,5.82,113.7,132.08,4.96,54.75,183.0,80.66,38.75,1305.18,150.45,27.76,76633.0,291.28,45.77,3849.38,533.17,38.06,5.12,9.06,208.15,542.01,636.44,1400.78
Medak,222802.0,1.83,46.68,259.59,1.03,12.64,122.0,35.73,24.67,689.32,29.89,18.66,61866.0,202.06,41.67,2012.05,270.54,33.73,3.92,8.15,144.86,160.22,484.95,802.1
Medchal Malkajgiri,165204.0,94.16,49.24,223.47,47.22,20.59,4282.0,3114.03,39.7,44847.77,1275.27,16.76,1375389.0,5964.08,44.16,90896.65,10494.76,35.72,191.22,229.33,7844.79,7610.84,13504.6,29380.8
Mulugu,76471.0,0.04,0.0,108.95,0.0,0.0,22.0,12.62,35.14,92.09,13.29,37.31,9459.0,39.08,28.29,410.65,65.03,30.85,0.0,1.14,35.91,35.62,138.14,210.81
Nagarkurnool,303244.0,5.68,91.61,383.88,2.26,32.1,165.0,38.72,40.51,491.41,45.64,31.09,47086.0,198.04,42.13,1725.14,290.34,40.01,6.2,7.04,95.59,146.82,470.1,725.75
Nalgonda,573521.0,23.6,121.0,748.79,7.77,16.34,906.0,163.07,38.19,2552.7,160.01,31.34,160138.0,897.9,50.68,7630.24,1252.35,45.11,19.51,47.55,426.95,510.63,1771.69,2776.33
Narayanpet,158988.0,0.07,350.0,186.68,0.3,8.82,47.0,14.16,40.65,153.32,12.26,36.19,12888.0,49.78,36.91,569.56,76.57,36.99,0.02,3.4,34.83,33.88,134.88,207.01
Nirmal,144870.0,6.81,147.7,197.23,2.43,21.87,175.0,45.34,39.99,608.89,96.34,23.31,36797.0,151.3,47.19,2102.94,302.22,35.02,4.61,11.11,113.39,413.26,320.62,862.99
Nizamabad,450315.0,13.44,96.97,509.94,9.48,24.09,861.0,192.27,39.92,2976.65,265.62,31.79,145578.0,535.25,42.74,7574.19,1016.06,38.74,13.86,39.35,481.66,835.55,1252.23,2622.65
Peddapalli,158468.0,6.48,29.9,211.31,3.29,18.73,308.0,68.52,38.88,972.04,105.8,30.96,73514.0,234.9,38.46,2994.34,418.99,35.87,21.67,17.57,176.25,341.71,610.77,1167.97
Rajanna Sircilla,113402.0,2.5,103.7,191.07,2.24,24.37,206.0,35.8,25.71,570.17,55.87,20.96,51689.0,145.26,46.33,1635.6,241.67,33.06,2.41,9.19,139.26,266.54,313.52,730.92
Ranga Reddy,394218.0,161.09,40.38,551.41,59.33,19.53,5146.0,2072.06,38.32,26136.53,1437.16,44.31,751925.0,6708.06,41.17,57523.08,10437.7,40.7,398.92,303.79,5407.54,3243.31,16294.8,25648.3
Sangareddy,301160.0,10.3,108.0,352.03,5.46,17.58,650.0,971.85,37.26,11820.65,148.3,14.9,153002.0,788.65,18.6,18721.66,1924.56,24.41,9.54,31.06,2608.09,995.18,4239.53,7883.4
Siddipet,292221.0,35.46,98.55,336.87,2.72,17.04,272.0,104.61,42.74,1264.35,57.02,29.96,61795.0,171.99,32.61,2941.88,371.8,36.65,35.98,15.96,244.77,190.32,527.35,1014.38
Suryapet,436261.0,10.06,103.1,596.8,4.93,17.15,642.0,114.21,36.86,1843.42,79.97,37.46,78028.0,318.39,36.95,4160.37,527.56,37.06,9.76,28.75,309.84,213.48,861.67,1423.5
Vikarabad,234929.0,1.15,57.5,298.28,0.97,24.43,74.0,22.87,35.12,351.88,66.76,37.06,94614.0,163.55,41.89,1581.22,255.3,39.79,2.0,3.97,65.12,180.12,390.41,641.62
Wanaparthy,165200.0,1.24,68.51,181.23,1.04,19.37,120.0,27.62,39.39,468.14,23.36,27.88,21239.0,65.24,27.23,1193.46,118.5,29.58,1.81,5.37,70.12,83.79,239.55,400.64
Warangal,232439.0,1.41,5.25,256.74,4.52,17.34,472.0,123.69,40.96,1528.54,119.18,38.8,76436.0,428.14,39.3,4686.98,676.94,38.65,26.84,26.06,302.0,307.15,1089.44,1751.49
Yadadri Bhuvanagiri,229733.0,2.94,34.39,269.62,2.43,20.82,246.0,58.25,37.16,790.99,52.63,36.12,47668.0,136.77,30.84,2149.17,253.02,33.02,8.55,11.67,156.75,145.72,443.52,766.21
