district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Kandhamal,3.15,0.00,0.00,8.82,3.40,38.58,51.01,23.08,45.25,1.30,3.20,247.09,94.03,79.78,84.84,40.94,61.85,151.09,2115.48,1658.36,78.39
Kendrapara,20.60,0.00,0.00,17.18,14.78,86.03,74.69,62.15,83.21,2.66,0.30,11.45,247.00,224.13,90.74,81.99,0.71,0.86,4406.81,3982.67,90.38
Keonjhar,2.00,0.00,0.00,15.22,13.90,91.30,140.98,100.69,71.42,2.64,0.69,26.21,767.93,519.63,67.67,59.97,69.56,115.98,5773.93,5502.26,95.29
Khordha,6315.58,4563.09,72.25,430.30,309.11,71.84,1510.79,818.89,54.20,34.56,67.97,196.68,3752.48,1200.41,31.99,887.04,93.45,10.53,50909.60,41451.59,81.42
Koraput,1.12,0.00,0.00,39.85,16.30,40.89,169.98,152.80,89.89,31.21,0.40,1.29,226.25,193.08,85.34,131.15,1.53,1.17,5900.02,3899.23,66.09
Malkangiri,5.20,0.00,0.00,2.15,1.20,56.03,48.02,13.20,27.48,0.07,0.61,854.98,87.36,49.55,56.73,59.07,0.00,0.00,1044.21,944.84,90.48
Mayurbhanj,22.44,3.00,13.37,51.88,14.23,27.43,199.65,109.17,54.68,3.59,1.15,32.02,925.57,666.09,71.97,22.47,3.25,14.48,5788.23,6009.65,103.83
Nabarangpur,2.46,0.00,0.00,22.36,4.73,21.14,55.45,51.06,92.08,3.79,0.40,10.46,115.99,90.84,78.31,53.84,3.47,6.44,1970.39,1842.11,93.49
Nayagarh,25.00,0.00,0.00,11.63,12.79,110.01,219.56,118.90,54.16,1.21,3.94,325.79,282.67,376.21,133.09,48.12,1.59,3.30,3790.01,3711.53,97.93
Nuapada,4.25,0.00,0.00,7.65,2.88,37.67,80.20,30.93,38.56,3.23,0.53,16.35,75.85,39.05,51.49,47.50,191.91,404.03,1454.75,1700.61,116.90
Puri,6.12,7.00,114.38,22.81,61.34,268.86,157.63,168.21,106.72,1.39,75.14,5406.72,556.95,790.04,141.85,67.84,3.04,4.48,6270.47,6404.34,102.13
Rayagada,2.00,0.00,0.00,19.59,10.85,55.39,179.41,98.41,54.85,6.71,0.17,2.53,89.33,96.61,108.15,57.27,1.68,2.94,2639.88,3215.22,121.79
Sambalpur,27.30,2.91,10.65,77.55,44.31,57.13,219.40,172.83,78.77,3.25,0.24,7.49,187.37,132.35,70.63,192.46,2.79,1.45,6584.68,5920.86,89.92
Subarnapur,5.10,0.00,0.00,10.34,5.62,54.36,74.70,59.85,80.12,1.90,0.27,13.99,56.83,56.11,98.73,40.25,0.95,2.36,2314.90,1957.50,84.56
Sundargarh,550.00,3050.78,554.69,65.52,74.65,113.94,432.73,115.92,26.79,21.48,0.47,2.20,481.62,209.27,43.45,90.33,1.47,1.63,15328.49,16055.16,104.74
