district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Ganjam,308.91,731.00,236.64,20.97,325.25,1550.90,329.88,1056.25,320.19,5706.28,6883.07,120.62,1305.02,1386.58,106.25,1631.27,2075.39,127.23,913.51,653.56,71.54
Jagatsinghpur,67.88,12.02,17.70,51.68,23.68,45.81,119.56,35.69,29.85,1741.46,1767.93,101.52,401.69,261.37,65.07,502.11,554.51,110.44,281.18,124.04,44.11
Jajpur,143.28,66.09,46.13,49.39,27.96,56.60,192.68,94.05,48.81,3936.58,3404.07,86.47,719.60,480.35,66.75,899.50,804.79,89.47,503.72,492.83,97.84
Jharsuguda,34.07,15.57,45.70,55.69,165.56,297.28,89.77,181.13,201.78,1130.40,1304.81,115.43,408.70,462.67,113.21,510.88,819.89,160.49,286.09,377.35,131.90
Kalahandi,106.22,137.36,129.32,14.40,128.88,894.87,120.62,266.24,220.73,2413.25,2209.87,91.57,291.99,462.12,158.27,364.99,626.45,171.64,204.39,251.20,122.90
Kandhamal,7.19,6.32,87.82,2.20,65.38,2977.82,9.39,71.70,763.81,916.73,816.12,89.03,199.90,208.48,104.29,249.88,194.43,77.81,139.93,129.62,92.63
Kendrapara,28.07,20.94,74.59,47.06,65.79,139.80,75.13,86.73,115.43,2697.55,2702.76,100.19,253.03,272.08,107.53,316.29,422.25,133.50,177.12,70.20,39.63
Keonjhar,49.75,24.26,48.75,1.35,167.47,12442.06,51.10,191.73,375.22,2275.20,1903.70,83.67,502.00,463.18,92.27,627.50,894.02,142.47,351.40,535.11,152.28
Khordha,756.19,1625.06,214.90,964.40,1063.50,110.28,1720.59,2688.56,156.26,6133.85,8007.45,130.55,6369.00,2788.18,43.78,7961.25,5834.78,73.29,4458.30,3239.84,72.67
Koraput,134.02,183.05,136.59,12.66,131.83,1040.93,146.69,314.89,214.67,2288.35,1641.50,71.73,602.42,423.28,70.26,753.03,692.05,91.90,421.70,219.25,51.99
Malkangiri,16.20,8.99,55.47,3.37,56.92,1687.47,19.58,65.91,336.68,587.34,618.71,105.34,51.00,60.33,118.30,63.75,99.12,155.49,35.70,19.35,54.19
Mayurbhanj,116.18,26.10,22.47,85.86,211.53,246.36,202.04,237.63,117.62,2608.93,2310.26,88.55,390.74,653.05,167.13,488.43,804.66,164.75,273.52,627.36,229.37
Nabarangpur,1.09,35.19,3232.29,1.82,99.69,5473.38,2.91,134.88,4635.01,1190.73,1101.75,92.53,105.15,164.29,156.24,131.44,235.67,179.30,73.61,54.72,74.34
Nayagarh,24.66,53.76,218.05,98.94,31.29,31.62,123.59,85.05,68.81,2126.03,2313.15,108.80,215.16,243.00,112.94,268.95,399.17,148.42,150.61,75.81,50.34
Nuapada,8.81,23.30,264.35,3.82,67.87,1778.01,12.63,91.16,721.79,748.49,999.33,133.51,97.52,112.98,115.85,121.90,191.02,156.71,68.26,58.78,86.11
Puri,114.74,51.49,44.88,79.25,69.59,87.80,193.99,121.08,62.42,2865.08,3480.46,121.48,518.53,413.24,79.69,648.16,804.26,124.08,362.97,146.36,40.32
Rayagada,47.12,78.83,167.29,9.38,106.27,1132.97,56.50,185.10,327.59,1142.85,1721.94,150.67,228.54,344.29,150.65,285.68,378.19,132.38,159.98,295.77,184.88
Sambalpur,38.52,194.92,505.99,28.78,180.84,628.26,67.31,375.75,558.28,2573.34,2614.14,101.59,660.80,480.25,72.68,826.00,902.72,109.29,462.56,501.34,108.38
Subarnapur,44.11,41.43,93.92,44.79,88.96,198.61,88.90,130.39,146.67,1346.95,1336.14,99.20,147.98,159.57,107.83,124.61,197.78,158.72,109.04,51.68,47.40
Sundargarh,116.52,173.33,148.75,42.33,158.09,373.45,158.85,331.42,208.63,3884.18,3120.01,80.33,1960.53,1297.03,66.16,2450.66,2095.60,85.51,1372.37,1115.45,81.28
