District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Mahabubabad,269065.0,13.03,303.0,52.3,5.42,101.1,157.0,89.41,83.9,384.03,139.98,131.23,51567.0,408.68,132.08,1439.13,656.52,123.33,4.3,5.36,106.57,106.67,309.43,532.33
Mahabubnagar,266364.0,41.22,227.7,25.66,23.97,119.7,472.0,315.36,111.53,2003.11,460.42,117.21,117621.0,1077.32,130.11,5317.35,1918.29,124.43,18.1,20.03,282.76,392.81,827.99,1541.69
Mancherial,108437.0,10.34,202.0,42.14,13.37,147.6,202.0,253.32,121.7,1401.61,456.67,84.25,82444.0,732.4,115.08,4071.6,1466.1,104.66,5.12,9.06,208.15,542.01,636.44,1400.78
Medak,247323.0,12.35,315.1,28.36,5.41,66.38,120.0,110.16,76.05,680.73,148.58,92.73,70135.0,490.68,101.18,2009.4,767.18,95.65,3.92,8.15,144.86,160.22,484.95,802.1
Medchal Malkajgiri,136444.0,325.81,170.4,79.46,357.61,155.9,5419.0,10674.23,136.07,52759.06,8905.71,117.01,1687383.0,24169.16,178.97,111710.6,44432.52,151.23,191.22,229.33,7844.79,7610.84,13504.6,29380.8
Mulugu,81683.0,0.36,0.0,0.58,0.83,72.81,21.0,28.05,78.11,88.8,45.8,128.58,18991.0,169.59,122.77,446.8,244.63,116.04,0.0,1.14,35.91,35.62,138.14,210.81
Nagarkurnool,325521.0,18.54,299.0,28.74,9.97,141.6,180.0,115.36,120.68,513.72,127.42,86.79,59083.0,504.69,107.36,1725.22,775.98,106.92,6.2,7.04,95.59,146.82,470.1,725.75
Nalgonda,610554.0,61.8,316.8,47.6,43.56,91.61,954.0,499.54,117.0,2712.22,585.33,114.63,197676.0,2120.95,119.71,8074.09,3311.18,119.26,19.51,47.55,426.95,510.63,1771.69,2776.33
Narayanpet,170703.0,0.39,1950.0,15.97,2.02,59.41,53.0,33.72,96.81,162.29,59.32,175.09,22377.0,210.95,156.4,666.75,306.4,148.01,0.02,3.4,34.83,33.88,134.88,207.01
Nirmal,152141.0,14.23,308.7,22.36,8.97,80.74,186.0,127.65,112.58,672.38,307.15,74.32,41850.0,425.71,132.78,2208.96,883.71,102.4,4.61,11.11,113.39,413.26,320.62,862.99
Nizamabad,456807.0,62.69,452.3,90.94,45.91,116.7,928.0,560.3,116.33,3201.26,967.36,115.78,161032.0,1501.31,119.89,8351.46,3137.57,119.63,13.86,39.35,481.66,835.55,1252.23,2622.65
Peddapalli,167793.0,26.76,123.5,45.4,15.67,89.19,334.0,195.88,111.14,1064.02,357.63,104.66,83029.0,668.64,109.47,3283.5,1264.58,108.27,21.67,17.57,176.25,341.71,610.77,1167.97
Rajanna Sircilla,117355.0,12.42,515.4,20.28,8.68,94.45,220.0,112.82,81.01,631.36,188.13,70.58,58103.0,394.48,125.82,1817.56,716.53,98.03,2.41,9.19,139.26,266.54,313.52,730.92
Ranga Reddy,388819.0,646.09,162.0,142.65,349.82,115.2,5680.0,6786.5,125.5,30433.08,5095.34,157.1,735739.0,27364.33,167.93,80675.47,40242.08,156.9,398.92,303.79,5407.54,3243.31,16294.8,25648.3
Sangareddy,324458.0,34.34,360.0,30.35,42.06,135.4,734.0,3076.89,117.97,13415.87,1092.52,109.78,214360.0,6242.05,147.23,21504.32,10487.86,133.04,9.54,31.06,2608.09,995.18,4239.53,7883.4
Siddipet,319360.0,96.45,268.1,24.96,14.18,88.85,316.0,316.26,129.21,1462.32,286.77,150.68,87939.0,838.2,158.95,3677.16,1551.86,152.99,35.98,15.96,244.77,190.32,527.35,1014.38
Suryapet,459464.0,32.23,330.2,66.23,27.34,95.1,666.0,351.7,113.51,2015.79,334.02,156.46,100831.0,933.74,108.36,4706.88,1679.03,117.95,9.76,28.75,309.84,213.48,861.67,1423.5
Vikarabad,255576.0,3.05,152.5,24.67,7.03,177.1,101.0,86.3,132.52,422.23,227.82,126.48,111335.0,565.56,144.86,1936.92,889.76,138.67,2.0,3.97,65.12,180.12,390.41,641.62
Wanaparthy,181467.0,1.98,109.4,28.68,4.65,86.59,132.0,95.08,135.6,533.87,126.65,151.15,33747.0,335.14,139.9,1433.96,563.5,140.65,1.81,5.37,70.12,83.79,239.55,400.64
Warangal,238719.0,12.28,45.75,40.39,24.16,92.71,489.0,337.88,111.88,1685.8,375.98,122.41,93714.0,1258.62,115.53,5553.85,2008.92,114.7,26.84,26.06,302.0,307.15,1089.44,1751.49
Yadadri Bhuvanagiri,240993.0,22.43,262.3,8.76,15.35,131.5,267.0,172.37,109.96,881.18,200.0,137.25,77531.0,675.61,152.33,2550.94,1085.76,141.71,8.55,11.67,156.75,145.72,443.52,766.21
