District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Nagarkurnool,16.0,0.0,0.0,471.59,8.8,64.8,797.0,20.46,12.18,163.49,0.0,0.0,0.0,0.0,0.0,22.32,17.57,0.0,3456.16,804.59,4260.75,95.32,608.73,4964.8,413.85,3317.01,59.5,0.0,13.58,168.0,5.02,9.59,0.0,5574.84
Nalgonda,87.0,0.0,0.0,2256.77,27.52,46.47,2275.0,73.48,27.62,766.17,0.59,1.02,0.0,0.0,0.0,56.46,63.06,0.0,4909.21,610.53,5519.74,275.38,1379.86,7174.98,821.5,9834.62,116.6,0.0,59.22,266.03,57.91,55.2,0.0,8434.84
Narayanpet,11.0,0.0,0.0,153.18,2.85,59.13,367.0,8.3,43.23,75.76,0.01,0.09,0.0,0.0,0.0,17.59,24.84,0.0,1834.09,407.37,2241.46,76.26,134.88,2452.6,176.45,1613.36,60.43,0.0,4.82,19.2,11.24,5.33,0.0,2669.64
Nirmal,30.0,0.0,0.0,739.98,6.32,15.43,570.0,29.01,33.58,253.92,0.0,0.0,13.0,0.0,0.0,44.52,38.36,0.0,2316.68,232.28,2548.96,225.73,521.32,3296.01,564.5,3517.69,87.29,0.0,40.97,86.4,21.66,20.33,0.0,4029.87
Nizamabad,149.0,0.0,0.0,2083.67,29.78,37.84,2997.0,100.07,60.76,1027.1,7.43,20.85,0.0,0.0,0.0,209.19,166.17,0.0,4062.25,980.3,5042.55,252.39,1273.5,6568.44,1646.89,7863.92,92.37,0.0,78.71,164.69,35.64,19.17,0.0,8513.54
Peddapalli,31.0,0.0,0.0,757.64,21.96,143.5,1871.0,27.68,35.13,268.06,0.0,0.0,309.0,10.01,53.96,87.89,90.63,0.0,1854.26,330.46,2184.72,49.17,409.87,2643.76,484.98,3321.52,101.91,0.0,15.3,78.8,17.91,18.55,0.0,3259.3
Rajanna Sircilla,5.0,0.0,0.0,373.75,9.7,74.44,900.0,18.52,61.14,271.4,0.0,0.0,599.0,18.92,259.53,96.64,54.23,0.0,1401.85,226.58,1628.43,117.65,387.94,2134.02,640.69,2053.62,72.46,0.0,13.03,30.29,8.91,7.29,0.0,2834.23
Ranga Reddy,766.0,29.28,0.0,8749.04,87.02,69.55,8627.0,593.59,51.31,4046.51,1.0,1.19,28.0,0.73,2.6,177.54,188.58,0.0,2792.6,1823.49,4616.09,447.19,768.73,5832.01,7686.35,16365.93,109.74,0.0,125.11,1156.76,84.38,28.11,0.0,14912.72
Sangareddy,93.0,0.0,0.0,2161.29,26.25,30.74,2775.0,130.04,10.25,1693.86,7.57,16.63,0.0,0.0,0.0,224.52,174.64,0.0,2722.81,325.86,3048.67,122.88,972.5,4144.05,1000.58,5959.23,90.96,0.0,85.39,1269.28,45.52,6.71,0.0,6551.53
Siddipet,37.0,0.0,0.0,664.72,30.72,224.4,2660.0,53.03,15.67,450.27,0.1,0.19,126.0,4.28,141.25,226.35,175.4,0.0,3088.94,740.54,3829.48,142.74,538.66,4510.88,661.86,4268.53,76.48,0.0,13.69,338.32,53.35,3.03,0.0,5581.13
Suryapet,122.0,0.0,0.0,1189.07,19.64,54.56,1985.0,66.5,36.94,618.63,0.04,0.11,0.0,0.0,0.0,56.21,66.26,0.0,2614.67,362.6,2977.27,226.64,774.69,3978.6,457.47,6216.73,130.73,0.0,36.0,180.03,35.65,67.79,0.0,4755.54
Vikarabad,50.0,0.0,0.0,326.59,5.24,3.32,634.0,17.34,1.75,145.24,0.0,0.0,1.0,0.1,0.11,45.65,46.97,0.0,2582.24,683.54,3265.78,76.84,487.24,3829.86,1200.55,2797.93,43.98,0.0,158.03,991.18,91.29,90.61,0.0,6361.52
Wanaparthy,11.0,0.0,0.0,267.53,17.19,168.4,1972.0,17.45,47.68,154.41,0.0,0.0,0.0,0.0,0.0,34.21,38.09,0.0,2307.13,536.09,2843.22,94.04,324.2,3261.46,185.26,1882.61,53.63,0.0,10.21,36.6,10.61,6.42,0.0,3510.56
Warangal,53.0,0.0,0.0,1572.62,21.66,184.8,2389.0,33.32,76.72,297.82,7.5,127.3,9.0,2.22,358.06,86.61,67.88,0.0,1578.36,632.46,2210.82,108.21,56.93,2375.96,205.76,4506.0,170.46,0.0,11.72,43.43,5.89,0.62,0.0,2643.38
Yadadri Bhuvanagiri,68.0,0.0,0.0,515.19,9.94,38.86,889.0,33.59,28.97,231.28,4.45,21.09,0.0,0.0,0.0,21.91,21.01,0.0,1929.44,307.1,2236.54,176.33,563.88,2976.75,353.54,3275.41,93.37,0.0,25.58,115.93,21.1,15.05,0.0,3507.95
