District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Khammam,586954.0,44.22,221.5,742.82,93.72,393.3,1445.0,799.64,2490.3,3984.26,640.85,1259.5,170739.0,2108.28,3116.91,8984.61,3686.71,1896.3,19.96,23.83,32.11,50.88,67.64,194.42
Kumuram Bheem Asifabad,50215.0,12.56,94.94,54.32,0.9,4.84,11.0,23.78,85.08,107.86,77.7,195.13,11257.0,115.48,219.25,462.94,230.42,151.32,13.23,18.6,27.95,39.82,52.67,152.27
Mahabubabad,267991.0,21.8,99.05,264.48,8.29,25.4,142.0,124.02,251.1,357.02,119.29,180.11,38997.0,353.81,368.74,1166.0,627.21,235.6,22.01,32.64,49.39,66.23,95.95,266.22
Mahabubnagar,275641.0,29.09,101.4,252.43,30.89,71.19,431.0,374.79,631.7,1783.23,470.09,543.27,87441.0,998.14,785.88,4616.39,1903.0,551.69,28.68,43.39,59.33,86.53,127.01,344.94
Mancherial,110460.0,11.12,35.02,134.6,14.58,33.65,181.0,291.65,463.89,1259.53,607.1,673.28,84062.0,823.5,710.47,3703.49,1747.95,508.08,31.75,43.33,62.87,90.17,115.91,344.03
Medak,241834.0,15.8,58.69,266.25,10.67,45.91,125.0,186.52,444.31,724.36,192.82,234.29,62582.0,592.1,624.45,2005.24,997.91,370.61,26.92,23.24,41.98,82.3,94.82,269.26
Medchal Malkajgiri,182501.0,234.05,42.55,248.51,337.2,30.25,4445.0,10727.34,484.34,43920.7,8956.76,348.86,1437005.0,16349.2,484.46,88124.85,36604.55,372.69,550.03,1114.77,2214.82,2567.43,3374.72,9821.77
Mulugu,95286.0,0.04,0.62,126.31,1.44,26.33,22.0,40.98,425.55,91.57,40.56,457.79,10906.0,149.04,3661.92,402.59,232.06,672.44,6.48,5.47,9.63,8.86,4.07,34.51
Nagarkurnool,320086.0,6.4,32.16,371.43,10.43,63.06,169.0,127.05,360.02,475.4,183.27,328.38,47931.0,548.76,881.12,1683.89,875.91,461.44,19.9,16.54,35.29,55.81,62.28,189.82
Nalgonda,621331.0,37.75,66.92,762.72,66.46,93.17,939.0,575.47,577.96,2502.73,616.61,472.5,168472.0,2540.99,1766.42,7228.78,3837.28,764.92,56.41,71.33,99.57,130.5,143.85,501.66
Narayanpet,188328.0,0.29,6.03,193.56,4.56,65.71,45.0,50.49,495.97,146.85,41.29,289.75,14949.0,156.23,866.98,545.82,252.86,466.53,4.81,6.94,10.18,14.25,18.02,54.2
Nirmal,160451.0,5.5,21.4,196.3,15.48,39.71,175.0,148.4,259.08,597.89,454.3,536.62,42551.0,409.69,373.6,1899.57,1033.37,326.73,25.7,38.98,57.28,84.66,109.66,316.28
Nizamabad,504114.0,51.24,212.8,509.75,56.87,178.3,897.0,661.21,1167.4,2878.76,987.04,3037.1,160399.0,1552.32,2829.09,7328.24,3308.68,1654.5,24.08,31.89,56.64,32.5,54.87,199.98
Peddapalli,176252.0,31.75,95.0,219.11,23.02,79.88,320.0,230.14,390.27,969.46,406.22,477.29,84118.0,728.73,620.2,2951.02,1419.86,438.47,33.42,28.82,58.97,85.11,117.5,323.82
Rajanna Sircilla,119567.0,16.55,112.4,191.38,13.83,117.5,220.0,175.41,661.92,656.64,289.63,656.16,54675.0,395.35,789.91,1687.42,890.77,605.18,14.73,11.77,26.5,44.14,50.05,147.19
Ranga Reddy,431098.0,437.09,55.43,558.05,454.38,17.64,5324.0,7175.7,1153.2,24970.75,3812.37,174.62,667228.0,20418.49,663.97,55134.85,32298.03,349.35,788.59,2575.88,622.27,2183.28,3075.2,9245.22
Sangareddy,324252.0,21.8,25.36,356.24,46.59,86.25,664.0,3569.92,1741.4,11232.43,1188.43,339.56,175127.0,4712.69,872.72,17891.09,9539.43,772.44,85.97,54.02,205.0,349.99,540.0,1234.98
Siddipet,293189.0,45.38,163.2,321.78,21.72,48.91,291.0,336.89,412.7,1243.01,229.87,259.74,66244.0,626.29,647.93,2846.04,1260.15,371.71,27.81,44.41,81.63,88.5,96.66,339.01
Suryapet,478396.0,29.78,78.97,609.31,39.49,130.9,652.0,420.6,556.79,1797.41,253.54,239.69,82810.0,1068.23,831.95,4060.65,1811.64,479.79,37.71,30.16,75.54,105.78,128.4,377.59
Vikarabad,264525.0,0.33,0.22,300.66,6.05,6.74,74.0,84.71,49.3,348.54,211.99,151.52,100321.0,482.99,97.23,1522.2,786.07,75.11,148.21,89.82,171.82,139.91,496.74,1046.5
Wanaparthy,190702.0,1.14,8.55,188.39,7.64,37.11,122.0,96.32,321.28,457.08,103.69,234.43,24330.0,276.64,491.63,1175.14,485.43,295.26,13.34,20.59,29.98,44.23,56.27,164.41
Warangal,241504.0,32.7,263.9,265.34,35.28,359.3,482.0,377.2,2044.4,1468.61,364.7,868.95,93606.0,1345.44,3063.39,5032.97,2155.32,1703.1,12.39,9.82,18.45,41.97,43.92,126.55
Yadadri Bhuvanagiri,252979.0,24.43,133.0,270.01,15.32,61.3,249.0,202.74,683.09,760.08,172.98,317.22,50627.0,520.71,719.01,2072.11,936.18,468.11,18.37,24.99,29.68,54.53,72.42,199.99
